date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,oscillococcinum,bronchitis,contagious flu,flu fever,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,reduce fever,influenza symptoms,how long contagious,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,thermoscan,flu treatment,the flu virus,how long does flu last,human temperature,is flu contagious,cold or flu,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,how long flu,fever cough,ear thermometer
2010-01-01,37,80,0,17,64,0,17,0,0,31,0,0,0,0,74,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,78,72,0,0,0,0,0,0
2010-02-01,16,0,0,71,0,0,0,0,0,0,0,0,79,0,0,79,0,0,0,0,0,44,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,58,0,0,0,0,0
2010-03-01,10,0,0,16,0,60,16,0,0,59,0,0,0,0,72,0,0,100,0,0,86,20,54,0,0,51,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,37,69,27,0,0,0,0,0
2010-04-01,8,0,38,0,0,0,0,0,0,90,0,95,0,0,0,0,0,0,0,0,0,34,0,0,0,52,0,0,0,50,75,95,36,0,0,0,0,0,0,0,0,0,19,0,27,100,0,0,0,0
2010-05-01,9,0,0,27,0,67,18,0,0,100,0,0,0,0,80,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,83,0,39,0,0,0,0,100,0,0,0,0,21,0,30,0,0,0,0,0
2010-06-01,7,0,0,0,0,0,0,0,0,34,0,0,0,0,81,0,0,0,0,0,0,38,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,34,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,74,0,0,19,0,0,0,100,0,0,0
2010-08-01,14,0,0,0,0,0,16,0,0,0,0,0,70,0,0,70,100,0,0,0,0,13,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
2010-09-01,33,0,37,32,0,0,17,0,0,44,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,51,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,53,0,0,0,100,0
2010-10-01,14,0,35,15,0,57,55,49,0,42,0,89,0,0,68,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,49,0,0
2010-11-01,23,0,0,23,0,0,16,0,0,42,0,0,67,0,67,67,0,0,0,0,0,63,100,0,0,48,73,0,0,93,0,0,0,0,0,0,0,0,0,0,100,0,18,0,100,0,0,0,0,0
2010-12-01,23,0,34,60,0,0,15,0,0,41,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
2011-01-01,17,35,74,11,0,0,22,34,0,20,0,0,48,0,72,48,0,0,0,0,0,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,25,0,54,0,0,34,0,0
2011-02-01,27,36,26,29,0,0,0,73,0,31,40,0,51,40,51,51,0,72,0,0,0,24,38,0,0,36,0,0,0,35,0,0,50,84,81,0,0,0,71,0,0,89,13,49,19,70,0,73,36,0
2011-03-01,16,0,48,21,0,39,0,34,0,19,0,0,0,0,0,0,0,0,0,0,0,44,0,77,0,33,0,0,0,0,0,0,23,77,0,0,0,0,66,0,0,0,25,45,0,0,0,34,0,0
2011-04-01,17,34,24,16,0,0,11,34,0,79,37,0,0,37,47,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,34,34,0
2011-05-01,11,36,25,17,0,42,0,70,0,20,0,0,0,0,50,0,71,70,0,0,0,28,0,0,0,0,0,0,0,34,0,0,0,81,0,0,0,62,69,0,0,0,0,0,0,68,66,70,0,0
2011-06-01,9,0,25,11,0,0,0,0,77,62,0,0,0,0,50,0,71,0,0,0,0,33,0,0,0,53,0,0,0,0,0,0,24,0,0,0,0,0,0,49,0,0,26,0,18,0,0,0,0,0
2011-07-01,9,0,26,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,36,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
2011-08-01,5,0,24,10,0,0,0,0,0,19,0,0,47,0,0,47,0,0,0,0,0,22,0,0,0,33,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,12,45,0,0,0,0,0,0
2011-09-01,25,33,23,10,40,0,21,0,0,57,0,0,46,0,92,46,0,0,0,0,0,43,0,0,0,0,100,0,57,31,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
2011-10-01,30,63,0,10,0,37,20,0,0,18,0,0,0,0,44,0,0,0,74,78,0,20,0,0,0,0,72,0,0,0,0,0,22,0,70,0,0,0,0,0,0,0,29,0,16,0,59,0,0,0
2011-11-01,25,64,34,15,0,0,21,0,0,36,34,0,0,34,0,0,0,0,75,0,0,8,0,74,0,0,0,0,0,0,46,0,21,0,0,0,0,0,0,0,0,77,29,0,0,0,0,0,0,0
2011-12-01,20,0,22,15,0,0,10,31,0,0,0,57,0,0,86,0,0,0,0,0,0,37,0,72,0,31,47,0,0,30,0,57,0,0,0,0,0,0,61,0,64,0,12,42,32,0,0,31,30,0
2012-01-01,22,28,20,17,33,32,18,28,0,47,30,0,0,30,39,0,0,0,0,0,0,29,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,28,27,0
2012-02-01,17,0,37,8,32,62,9,26,0,30,0,0,0,0,0,0,0,0,0,0,0,27,27,61,0,0,0,0,0,25,0,0,0,59,0,0,0,0,0,0,0,0,19,35,27,51,0,26,26,0
2012-03-01,24,21,30,23,0,25,7,21,0,49,0,0,30,0,0,30,0,0,0,0,37,33,22,0,0,21,0,74,0,71,30,0,0,96,0,0,0,0,41,0,0,0,8,0,33,0,0,21,21,0
2012-04-01,13,0,26,23,0,29,0,24,0,63,26,0,0,26,68,0,0,0,58,61,42,19,0,0,0,49,0,85,0,23,35,0,17,0,54,0,0,42,0,34,0,0,18,33,25,0,0,24,0,54
2012-05-01,9,0,20,13,33,49,0,28,0,40,0,0,0,0,58,0,0,0,0,0,0,29,29,0,0,28,0,0,0,27,40,0,0,64,0,0,0,0,0,0,57,0,20,0,29,0,0,28,0,0
2012-06-01,10,31,22,10,0,0,10,0,0,90,0,0,0,0,44,0,0,0,0,0,54,29,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,16,0,0,0,0,0
2012-07-01,7,0,0,0,0,0,0,0,0,51,0,54,0,0,0,0,0,0,0,0,0,27,0,0,0,29,0,0,0,0,0,54,0,67,0,0,56,51,0,0,0,0,11,39,30,0,0,0,0,0
2012-08-01,10,0,0,26,0,65,0,0,0,47,0,0,0,0,38,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10,37,14,0,0,0,0,0
2012-09-01,21,0,20,45,0,49,23,0,0,56,0,0,0,0,39,0,0,0,0,70,0,48,0,0,0,28,0,0,0,54,0,0,0,0,63,0,0,0,0,0,0,0,36,0,14,55,0,0,0,0
2012-10-01,25,0,37,24,0,0,17,26,0,30,0,0,0,0,71,0,0,0,0,0,0,33,0,0,0,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,52,13,0,49,26,0,0
2012-11-01,39,39,38,62,32,0,21,26,0,45,28,48,0,28,37,0,0,0,0,0,0,31,28,0,0,0,40,92,46,50,75,48,0,0,0,0,100,0,0,37,0,0,24,0,41,50,0,26,0,0
2012-12-01,32,58,62,14,0,0,19,58,0,100,0,0,41,0,40,41,58,0,0,0,100,68,0,0,0,29,44,0,100,0,0,0,0,66,0,0,55,0,56,0,0,0,42,0,15,0,0,58,29,0
2013-01-01,74,41,69,52,100,48,67,41,0,71,0,75,77,0,38,77,55,0,0,68,0,39,0,64,0,27,0,0,0,26,0,75,19,0,60,0,53,0,53,0,0,0,90,0,14,0,52,41,0,0
2013-02-01,26,27,38,29,32,63,17,53,0,53,43,48,0,43,0,0,0,0,0,0,0,45,28,0,0,26,0,0,46,64,0,48,18,0,0,0,0,46,52,0,55,0,10,36,28,0,0,53,0,58
