date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,arizona flu,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,19,0,76,0,0,0,14,0,0,0,0,0,0,0,0,49,0,0,0,2,14,0,0,8,0,0,0,0,0,0,0,35,14,0,33,0,0,0,0,0,4,0,11,11,0,54,0,0,18,0,33,32,0,51,0,0,0,0,32,0,16,0,100,31,8,0,0,0,98,14,0,0,14,0,29,0,0,0,44,0,1,0,0,0,0,0,46,46,47,0,0,0,0,0,0,46
2010-02-01,14,0,0,80,0,0,0,15,0,0,0,0,0,0,2,61,2,3,0,0,9,9,0,9,0,0,0,0,0,0,15,29,0,0,34,0,0,0,0,4,4,0,11,0,0,18,0,0,18,0,34,0,0,54,0,0,0,0,33,0,16,0,72,16,8,0,0,0,98,14,0,29,29,0,0,0,60,0,47,0,1,17,0,17,0,0,48,24,0,0,22,22,0,0,0,83
2010-03-01,11,0,0,0,0,0,0,0,13,53,0,0,0,0,0,52,5,0,0,0,9,0,0,16,8,0,0,0,0,0,14,20,13,0,0,0,0,0,0,0,0,0,10,0,0,51,17,0,0,0,31,0,0,0,0,0,0,0,0,0,31,7,66,11,7,0,0,0,90,0,13,26,33,27,28,0,28,0,40,0,1,0,0,0,0,22,0,0,0,0,0,20,0,13,0,38
2010-04-01,8,0,0,0,0,0,0,0,0,0,54,0,0,0,0,43,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,26,0,0,0,0,32,0,0,51,0,0,100,0,0,0,0,0,37,22,0,0,0,0,100,0,0,13,27,0,0,0,0,0,39,0,0,0,0,16,0,0,23,0,23,0,0,0,0,0,0,39
2010-05-01,5,0,0,0,0,0,0,0,0,58,0,0,0,0,0,31,0,0,0,0,8,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,73,0,0,0,0,0,33,0,0,0,0,0,0,0,0,16,8,12,16,0,1,0,0,97,0,0,14,14,0,0,0,30,0,44,0,2,17,0,33,0,0,48,0,0,21,0,43,0,0,0,61
2010-06-01,7,0,81,0,0,0,0,0,15,0,0,0,0,0,2,17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,37,0,0,19,0,0,0,0,54,0,0,54,0,17,0,17,0,16,0,8,0,0,0,92,0,0,0,22,0,0,0,0,0,55,0,0,0,0,17,17,0,0,0,0,0,44,0,0,0,0,56
2010-07-01,7,0,0,0,0,0,14,0,0,0,57,0,0,0,5,26,0,0,0,0,5,17,0,8,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,11,0,0,36,0,0,0,33,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,81,28,0,14,14,0,0,0,30,0,45,0,1,0,0,16,0,0,24,0,0,0,0,0,0,0,0,74
2010-08-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,76,0,0,17,0,31,0,0,0,0,0,50,0,0,0,15,0,11,15,7,0,0,0,84,0,0,13,26,0,0,0,55,0,40,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2010-09-01,18,0,0,0,0,0,0,13,0,0,52,0,0,0,2,22,0,3,0,2,12,8,0,0,0,27,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,35,0,0,25,0,0,0,0,0,0,0,49,0,0,49,0,15,0,15,0,18,29,0,0,0,0,83,0,0,0,13,0,0,0,0,0,45,0,1,0,15,0,0,22,0,0,0,0,20,20,0,0,12,81
2010-10-01,22,71,0,0,0,0,0,13,20,0,0,0,0,0,0,44,4,2,0,0,11,8,0,15,11,13,13,0,0,0,0,33,13,30,30,0,0,0,0,0,3,10,39,10,0,49,17,0,16,0,0,30,0,0,0,0,0,15,22,15,29,7,11,32,0,0,0,0,79,0,0,19,0,0,27,0,27,0,36,1,1,15,0,15,0,0,32,22,43,19,20,0,0,0,0,31
