date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu arkansas,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,type b flu,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu type a,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,cdc flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,8,0,0,0,0,0,0,0,0,0,0,0,0,21,25,8,8,0,0,6,9,0,46,0,31,0,0,0,0,0,0,34,0,0,0,34,0,7,0,0,0,0,0,0,0,44,43,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,89,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,7,0,0,0,0,0,62,0,22,0,0,0,46,0,0,0,32
2010-02-01,8,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,0,0,6,6,0,0,0,16,0,0,0,0,0,0,36,0,70,0,0,0,0,0,0,0,0,0,0,0,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,48,0,0,0,0,67
2010-03-01,4,0,93,0,0,0,0,0,0,0,0,0,0,33,0,8,0,0,0,6,6,0,0,0,15,0,0,0,0,0,0,51,0,100,0,0,0,10,0,0,0,27,0,0,0,87,43,0,0,37,0,37,0,0,95,94,0,24,0,0,0,0,29,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,7,0,0,0,0,0,61,0,44,0,0,0,0,0,0,0,0
2010-04-01,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,88,66,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,59,0,0,0,0,0,0,0,48,0,0,0,0,25,0,7,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,66
2010-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,7,3,0,0,0,17,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,32,0,0,0,0,0,0,52,0,0,0,0,0,0,8,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,35,35
2010-06-01,3,0,0,0,0,0,0,0,64,0,0,0,0,55,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,0,0,0,0,0,0,0,0,0
2010-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,8,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,25,0,0,0,53,0,0,0,37
2010-08-01,2,0,0,0,0,0,0,0,0,88,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,32,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,0,0,0,0,71
2010-09-01,5,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,3,0,0,0,0,32,0,0,0,0,0,0,36,0,0,0,0,0,15,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,61,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,36,0,23,0,23,0,0,0,0,0,34
2010-10-01,12,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,31,0,0,6,3,0,0,0,0,0,0,0,58,0,0,0,0,36,0,0,0,26,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,62,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,29,0,0,0,0,0,0,0,0,0,0
