date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,colorado flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu shot walgreens,flu denver,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,symptoms,fever,signs of flu,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,18,0,50,100,0,18,0,0,0,10,0,0,0,0,0,0,40,35,0,0,0,24,0,0,3,57,0,0,0,7,0,7,0,21,75,0,21,0,3,0,3,0,0,0,24,0,87,22,22,0,0,0,24,0,54,0,0,27,0,54,27,0,6,18,0,26,10,10,0,0,95,8,0,18,0,0,0,0,32,0,0,15,15,0,0,59,0,20,6,0,0,42,21,0,0,0,21
2010-02-01,15,0,51,0,0,12,0,0,4,4,0,4,0,0,0,0,77,28,28,0,19,18,0,0,2,36,9,14,0,8,0,15,0,22,77,22,0,0,4,0,3,0,0,0,0,0,0,23,0,0,0,0,25,57,0,0,0,0,28,28,0,0,6,25,0,11,0,0,11,0,98,12,0,37,0,0,0,0,22,0,0,0,0,0,16,49,0,6,6,0,0,21,22,0,0,0,55
2010-03-01,13,0,0,48,0,10,0,0,0,7,0,0,0,0,3,0,47,17,17,0,0,7,0,0,2,17,0,8,8,7,0,14,0,0,62,0,0,0,3,0,2,0,46,0,23,0,31,42,0,46,0,0,0,53,0,0,0,0,0,0,0,6,12,17,6,10,0,0,20,0,98,12,0,34,0,0,0,20,30,0,0,0,0,0,30,54,0,8,8,30,0,0,0,0,0,0,20
2010-04-01,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,7,0,21,0,21,0,2,0,0,0,0,24,0,0,33,33,0,0,0,0,24,55,0,54,0,0,0,0,0,0,0,24,0,10,0,0,0,1,88,11,0,36,0,0,0,42,21,0,0,0,15,0,0,34,0,8,0,0,0,0,21,0,0,0,53
2010-05-01,6,0,0,0,0,9,0,0,0,4,0,4,0,0,0,0,40,19,19,0,19,6,2,0,2,19,0,9,0,0,0,8,8,0,46,0,0,0,2,0,0,0,0,26,0,0,24,24,0,0,0,0,0,59,0,59,0,0,29,58,0,0,0,7,0,11,0,0,0,0,88,11,0,77,0,0,0,0,23,0,0,0,17,0,0,42,0,0,6,0,0,23,0,0,0,0,46
2010-06-01,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,24,20,40,0,0,7,0,0,4,0,20,20,0,0,0,8,0,0,49,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,27,0,63,62,0,0,0,31,0,0,0,34,0,0,12,0,0,0,91,12,0,20,0,0,0,24,24,0,0,0,0,0,0,32,6,10,0,0,0,0,0,0,0,0,36
2010-07-01,4,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,36,19,19,0,0,10,0,0,0,9,14,9,0,0,0,8,0,0,45,0,0,2,4,0,0,0,0,0,0,0,0,23,0,0,0,0,25,0,58,58,0,0,0,29,0,0,6,6,0,11,11,0,0,0,93,12,0,94,0,0,0,0,22,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,11,0,78
2010-08-01,7,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,45,0,0,0,18,7,0,0,2,35,0,0,0,7,0,7,0,0,21,0,0,0,7,2,2,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,31,0,0,10,0,82,10,0,54,0,0,0,0,0,0,0,15,15,0,15,28,0,6,6,0,0,0,0,0,0,0,64
2010-09-01,18,0,48,0,0,19,0,0,0,23,0,0,0,0,0,3,36,17,0,0,0,5,0,0,5,13,0,0,0,0,0,21,0,21,42,0,0,2,14,2,3,0,0,23,0,0,42,42,0,0,0,0,0,53,53,53,0,0,0,79,0,0,0,23,0,76,0,0,20,0,85,9,0,35,17,0,0,0,21,0,0,0,0,0,30,35,0,5,11,0,20,0,0,0,0,0,31
2010-10-01,27,48,0,0,0,13,0,0,0,42,0,0,0,3,0,0,57,0,17,0,17,10,0,0,4,8,0,8,0,0,0,38,0,0,100,0,20,0,29,2,4,0,22,0,23,0,31,21,0,22,0,0,22,51,0,52,0,0,26,64,0,6,11,34,6,79,0,0,10,0,85,11,0,100,0,0,17,0,30,0,20,0,0,0,15,29,0,5,8,0,0,80,0,10,0,0,60
