date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu connecticut,flu headache,flu vs. cold,ct flu,high fever,cvs flu shot,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu in ct,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu clinic,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,19,85,0,0,0,0,0,0,12,0,0,0,0,0,59,3,0,0,0,4,16,0,7,0,13,0,0,0,0,0,17,0,35,3,0,0,9,0,0,0,0,8,0,0,12,28,0,0,0,0,0,0,0,0,40,0,0,15,0,0,0,8,0,100,17,0,0,0,0,0,0,0,0,0,0,0,71,23,0,0,0,0,0,20,0,49,0,7,13,0,20,0,0,0,0,0,24
2010-02-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11,0,0,0,4,7,0,21,0,14,44,0,0,30,0,18,0,37,0,0,0,4,0,0,0,0,4,0,0,9,30,20,0,0,0,0,0,0,0,28,0,0,0,0,0,0,18,9,71,26,0,19,0,0,0,0,11,0,0,37,0,0,0,0,24,0,0,0,0,11,59,0,7,7,0,0,0,0,0,0,0,26
2010-03-01,3,0,0,0,0,0,0,0,12,0,0,0,0,0,52,3,0,0,0,5,8,0,7,0,10,28,0,0,0,17,34,0,26,2,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37,0,45,0,0,0,0,0,0,16,0,25,8,0,0,0,0,0,0,11,11,0,35,0,35,0,0,23,0,0,0,0,0,58,0,6,0,0,0,0,0,0,0,0,48
2010-04-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,3,4,0,0,0,10,29,0,0,0,18,18,0,27,2,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,9,0,43,0,0,19,0,0,0,0,11,22,0,0,0,0,0,0,48,0,0,0,0,10,44,7,7,7,21,0,0,0,0,0,0,25
2010-05-01,3,0,0,0,0,0,0,0,0,0,53,0,0,0,33,4,0,0,0,3,6,0,7,0,7,0,0,0,0,0,28,0,38,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,0,0,40,0,0,25,0,0,0,0,17,0,9,0,18,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,32,0,7,0,0,0,22,0,0,0,0,79
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,2,0,0,0,0,0,0,0,32,0,39,19,20,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,43,0,0,39,0,0,17,0,0,0,9,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,7,0,0,0,0,0,0,0,46
2010-07-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,2,0,0,0,7,31,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,3,32,0,0,0,0,17,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,44
2010-08-01,6,0,0,0,0,0,0,0,0,53,0,0,0,0,31,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,19,0,56,0,0,0,5,0,0,0,0,0,4,0,4,20,20,0,0,0,0,0,0,0,33,0,0,0,0,16,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,7,0,0,0,0,17,0,0,61
2010-09-01,9,0,0,0,0,0,0,0,13,0,0,0,0,0,39,3,0,0,0,6,5,0,7,0,14,28,0,0,28,0,0,0,26,0,0,0,20,0,0,0,0,4,4,0,6,47,37,0,0,0,0,0,0,0,26,0,0,46,0,0,0,0,0,25,25,0,0,0,0,11,0,11,21,35,0,0,0,0,0,0,0,0,0,10,0,59,0,10,7,0,40,0,0,0,0,0,73
2010-10-01,21,0,81,0,0,0,0,12,24,47,0,0,47,0,52,7,0,0,0,10,6,0,13,6,6,27,0,0,27,17,33,17,42,0,0,0,38,0,0,0,0,0,4,0,25,18,36,0,0,0,0,0,36,0,39,0,0,15,0,0,0,8,0,16,40,0,18,0,0,0,0,10,41,34,0,0,0,0,22,45,0,10,0,10,10,44,0,0,0,0,77,19,19,0,16,16,55
2010-11-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,3,0,0,6,5,0,0,0,13,27,0,0,0,0,17,33,0,2,0,2,14,0,0,0,0,0,8,0,8,36,18,0,0,36,0,0,0,3,33,3,0,0,0,14,0,8,0,0,8,0,0,0,0,10,0,15,20,0,0,0,0,0,0,22,0,0,0,9,0,56,0,19,13,0,19,19,0,0,16,0,16
