date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu game,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,10,33,33,0,0,0,5,5,5,0,0,0,0,0,0,45,3,2,0,0,6,2,0,0,5,17,2,9,0,0,6,0,17,78,0,24,0,6,0,0,0,12,0,0,0,52,0,0,13,0,0,8,17,0,0,0,40,4,10,4,10,0,100,28,0,0,0,0,95,4,0,11,11,0,10,10,10,0,7,21,0,5,0,0,5,45,0,7,2,0,0,9,0,0,0,74
2010-02-01,8,0,0,0,0,0,0,0,5,0,24,0,0,1,0,49,2,0,0,0,5,0,2,0,3,8,3,0,0,0,0,12,15,63,0,44,0,7,0,0,0,0,13,0,0,69,0,0,27,0,0,0,0,0,0,0,42,0,4,4,0,0,49,7,0,0,0,0,96,4,0,10,18,0,0,0,10,0,0,14,7,5,0,5,0,36,0,2,3,0,6,0,0,0,7,41
2010-03-01,7,0,31,0,0,0,0,0,4,21,21,0,0,0,1,37,3,0,0,0,2,5,2,0,6,13,2,2,0,11,0,0,19,74,11,23,0,1,0,0,0,11,11,0,0,37,0,0,12,0,8,0,8,0,0,0,38,0,11,0,7,4,69,8,6,0,0,0,95,0,0,7,9,0,18,0,0,0,6,13,0,0,0,9,0,37,0,0,2,17,5,0,0,7,0,60
2010-04-01,5,0,0,0,33,0,0,0,0,23,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,8,0,0,0,11,0,0,6,61,0,12,0,0,0,0,0,12,0,0,0,40,0,0,0,0,8,0,0,0,81,0,0,4,4,0,8,4,26,6,4,0,0,0,98,4,0,11,15,0,10,0,0,0,0,21,0,7,0,5,0,25,2,2,0,0,0,12,0,0,0,57
2010-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,2,0,0,0,2,4,3,3,0,6,0,0,9,50,0,0,0,2,0,0,0,0,0,0,0,34,14,14,0,0,9,0,0,41,0,0,0,0,0,0,4,0,7,4,4,0,0,0,94,0,0,4,23,10,0,0,10,0,0,7,0,5,0,0,0,30,0,2,2,0,0,0,0,7,7,40
2010-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,15,26,0,0,0,1,0,0,0,0,13,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,95,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,17,0,2,0,0,6,0,0,0,0,38
2010-07-01,3,0,0,0,0,0,0,0,4,0,0,0,0,0,2,23,1,0,0,0,0,2,0,0,2,5,5,2,0,0,0,5,11,57,0,12,0,1,0,0,0,0,0,11,0,37,0,0,0,0,0,0,0,38,38,0,38,0,0,0,7,0,8,4,0,0,0,0,84,0,0,4,7,0,0,0,9,0,0,0,0,9,0,0,0,23,0,0,2,0,5,6,0,0,0,33
2010-08-01,3,0,0,0,0,0,0,0,0,20,0,0,20,0,1,17,1,0,0,0,4,0,0,0,2,2,2,0,0,5,0,0,10,27,0,22,0,1,0,0,0,0,0,11,0,29,0,0,0,0,7,0,0,36,0,0,0,0,5,3,0,4,15,13,0,0,0,0,84,0,0,3,13,0,0,0,13,0,6,0,0,0,0,4,0,22,0,2,2,0,5,5,0,0,0,53
2010-09-01,10,0,0,30,0,0,0,0,4,0,0,0,20,0,1,24,2,1,0,0,5,0,2,0,4,3,2,4,0,5,0,5,15,16,0,32,0,31,0,0,0,0,11,11,0,41,0,0,0,0,8,8,8,36,0,0,0,0,16,3,3,4,9,25,4,0,0,0,82,3,0,5,13,9,0,0,9,0,6,9,12,4,0,4,4,30,0,2,4,0,0,0,0,0,6,41
2010-10-01,10,0,0,0,0,0,0,4,20,0,19,0,0,1,1,32,3,0,0,0,6,2,0,0,5,6,4,2,0,14,0,0,5,51,10,10,10,29,0,0,0,10,0,31,0,17,0,0,17,0,0,14,0,34,34,0,0,3,3,0,7,7,11,49,0,0,0,0,80,0,0,5,26,0,0,0,8,6,0,23,0,0,0,4,0,26,2,2,5,5,10,5,0,0,0,42
2010-11-01,9,0,0,0,0,0,0,0,0,0,19,0,0,0,3,36,4,1,0,0,3,0,0,0,7,3,2,3,0,7,5,5,23,45,10,0,0,20,0,0,0,10,10,10,0,71,11,0,11,0,21,0,7,0,0,0,0,0,5,3,3,4,19,30,0,0,0,0,77,3,0,14,12,8,16,0,0,0,6,20,0,6,4,4,0,46,0,5,4,14,5,7,5,6,6,61
2010-12-01,12,0,55,0,28,0,0,4,4,19,0,0,0,0,1,35,4,1,0,0,10,0,2,0,7,12,4,5,2,14,5,5,23,20,10,20,10,15,0,0,1,10,0,10,0,44,11,0,11,0,7,7,7,100,33,0,33,3,15,0,19,4,11,14,4,1,0,0,80,0,3,22,12,8,16,0,16,6,0,9,6,4,0,18,0,42,0,11,5,10,5,24,0,12,0,44
2011-01-01,12,0,35,17,17,0,5,2,5,12,24,0,0,2,1,44,6,2,0,0,12,1,2,0,10,17,1,7,0,10,0,3,16,63,0,13,31,9,0,0,0,25,12,15,0,51,7,7,7,0,18,0,4,73,21,0,31,0,10,6,18,10,28,8,2,0,0,0,90,3,0,18,18,10,15,0,5,5,14,27,4,4,0,4,0,49,2,2,3,6,5,8,0,11,4,74
2011-02-01,13,0,0,18,37,0,0,3,5,0,13,0,13,0,2,44,7,1,0,0,13,3,3,0,12,18,5,3,1,9,3,5,31,77,7,20,20,6,0,0,0,10,7,7,0,54,7,7,22,0,14,9,0,77,22,22,22,2,8,8,17,5,5,7,9,0,0,0,86,6,2,25,20,11,34,0,0,4,4,30,4,3,0,15,0,57,1,2,3,5,16,6,3,6,4,64
2011-03-01,7,0,16,16,16,2,0,0,2,0,0,0,11,0,1,39,4,1,0,0,8,1,0,0,7,11,1,2,0,5,5,3,10,55,6,12,6,2,0,0,1,6,6,0,0,48,13,0,6,0,12,8,4,39,0,0,58,2,9,5,10,10,11,2,6,0,0,0,82,4,2,7,9,14,9,5,5,3,3,20,3,2,2,8,0,39,0,2,4,3,3,3,0,0,3,53
2011-04-01,4,34,17,0,0,2,0,2,5,0,23,0,0,0,1,30,2,0,0,0,4,1,0,0,4,4,1,2,0,3,3,6,19,56,0,0,0,0,0,0,0,9,0,0,0,34,7,7,0,0,4,0,4,21,0,0,0,2,6,5,3,5,5,3,2,0,0,0,83,0,0,4,15,7,5,0,10,4,0,9,0,3,0,3,0,36,0,2,5,0,3,3,0,4,0,54
2011-05-01,3,0,0,0,0,0,0,0,7,0,12,0,0,0,2,29,1,0,0,0,4,0,1,0,2,3,1,0,0,3,0,3,12,34,0,0,6,2,0,0,0,0,6,0,0,23,7,0,0,4,4,4,0,41,0,0,0,2,3,4,4,6,3,4,0,0,0,0,85,2,2,6,10,0,5,0,12,0,3,3,0,4,0,2,0,36,0,1,1,3,3,0,0,4,0,43
2011-06-01,2,0,0,0,0,0,0,2,0,34,11,0,0,0,1,25,1,0,0,0,2,2,0,0,3,2,2,1,0,3,0,3,14,24,0,0,0,4,0,0,0,6,6,6,0,49,0,0,0,0,0,0,0,100,0,0,20,0,3,0,0,3,4,2,0,0,0,0,93,4,0,4,16,0,5,0,5,3,0,0,0,2,2,0,0,23,0,2,0,3,3,6,0,0,0,43
2011-07-01,2,0,0,0,0,0,0,0,2,11,0,0,0,0,2,26,0,0,0,0,1,1,2,0,0,4,1,1,0,3,0,0,8,40,0,6,0,1,0,0,0,17,0,0,0,25,6,0,0,0,8,0,4,38,0,0,19,0,5,0,3,0,2,2,0,0,0,0,92,0,0,2,12,0,0,0,5,3,0,7,0,4,0,2,0,16,0,2,1,0,3,0,0,3,0,51
2011-08-01,3,0,16,0,0,0,0,0,0,11,0,0,0,0,1,20,1,0,0,0,1,0,1,0,1,2,2,1,0,3,3,3,13,51,0,0,0,5,0,0,0,0,0,6,0,55,6,0,0,0,4,0,0,28,0,0,38,0,2,4,2,4,6,13,0,0,0,0,92,2,0,4,11,0,0,0,0,0,0,5,0,2,0,0,0,22,0,1,0,3,3,4,0,0,3,51
2011-09-01,9,0,31,0,0,0,0,2,4,11,11,0,0,0,2,27,1,1,0,0,7,1,2,0,1,6,2,4,0,3,3,0,16,45,6,8,11,22,0,0,0,11,11,5,0,31,6,6,9,0,4,8,0,28,0,0,0,0,9,2,9,4,13,26,4,0,0,0,97,2,2,4,9,0,0,0,13,0,0,5,6,6,0,2,0,38,0,2,3,4,4,3,0,3,3,58
