date,flu,bird flu,cure the flu,flu season,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,flu hawaii,flu vs cold,flu and fever,flu care,flu headache,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza symptoms,the flu virus,reduce fever,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu symptoms 2016,swine flu,flu cough,contagious flu,flu report,signs of flu,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,flu map,cdc flu,taking temperature,flu symptoms 2019,flu shot symptoms,keto flu,flu contagious,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu shot side effects,treat flu,body temperature,h1n1 flu
2010-01-01,31,51,0,0,59,0,0,65,100,25,42,0,0,0,54,0,65,0,0,57,0,100,0,0,0,18,19,0,100,0,0,0,95,0,0,0,0,0,0,0,0,100,0,0,25,0,51,0,100,0,80,0,0,0,0,0,0,100,0,0,0,27,0,0,0,0,100,0,80,75,0,0,0,0,0,87,0,0,56,0
2010-02-01,22,0,0,55,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,33,0,42,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,53,53,0,0,0,0,93,0,0,40,100
2010-03-01,16,0,0,0,39,0,78,0,0,12,14,0,0,0,53,0,0,85,0,0,0,98,0,0,0,0,18,0,0,0,0,0,0,52,0,100,0,0,0,0,0,49,0,0,37,0,50,0,39,0,0,0,0,0,0,0,0,0,0,0,100,26,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,37,0
2010-04-01,14,100,0,0,52,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,99,0,0,0,12,36,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,49,0,40,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,49,50,0,0,0,0,0,0,0,0,0
2010-05-01,14,52,0,0,68,47,0,0,0,13,37,0,0,0,0,0,0,88,0,59,0,0,0,0,0,12,19,0,0,0,0,0,0,54,0,0,0,0,100,0,0,0,0,0,64,0,53,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,97,100,0,0,0,81,78,0,100,0,0,0,90,0,0,58,49
2010-06-01,12,0,0,0,43,0,84,72,0,0,23,0,0,0,0,0,72,92,0,0,100,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,74,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,54,0,0,0,0,0,0,0,41,0
2010-07-01,4,0,0,0,65,0,0,0,0,12,14,0,0,0,0,0,65,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,37,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,95,0,0,0,0,0,0,37,0
2010-08-01,12,48,0,0,38,44,0,0,0,24,13,0,41,0,51,0,0,0,0,54,87,0,0,88,0,11,52,0,0,0,0,0,0,100,0,0,0,0,0,0,0,47,0,0,47,0,38,0,37,0,74,0,0,95,0,0,0,0,0,0,0,0,0,89,0,0,0,0,74,47,47,0,0,0,0,0,0,0,53,0
2010-09-01,35,0,0,0,25,0,0,62,0,12,26,0,0,0,0,0,61,0,0,54,0,47,0,0,0,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,23,0,19,0,18,0,0,0,100,47,0,0,0,0,0,0,93,0,0,88,0,0,0,0,0,46,0,89,0,0,0,0,51,100,70,0
2010-10-01,28,0,0,0,47,0,70,0,0,11,19,0,0,0,48,0,0,0,0,0,0,0,0,0,0,52,17,42,91,0,0,0,0,47,0,0,42,0,0,0,0,0,0,0,33,0,36,0,0,0,0,0,96,0,0,0,0,0,0,0,90,0,0,0,0,0,91,0,0,67,45,86,89,0,0,0,100,0,50,42
2010-11-01,19,45,0,46,42,41,0,0,0,34,19,0,0,0,0,0,59,0,0,0,0,44,100,0,0,21,25,0,91,0,0,0,0,47,0,0,0,0,87,0,0,44,0,57,67,0,64,0,0,0,71,0,0,0,0,0,0,0,57,0,0,0,0,0,87,0,0,0,71,45,0,87,92,0,0,0,0,0,100,0
2010-12-01,11,0,0,45,92,60,0,0,0,27,19,0,37,0,0,0,0,0,0,50,0,0,0,81,0,10,0,0,89,0,0,0,82,46,0,0,0,97,0,0,0,43,80,0,54,60,36,0,0,0,69,0,0,0,78,78,0,0,0,0,0,23,0,0,0,0,0,0,69,55,44,0,89,78,0,0,0,0,49,41
2011-01-01,23,29,0,29,49,0,45,38,0,21,28,54,0,0,0,54,38,0,0,33,53,29,0,53,0,7,16,0,58,0,0,0,0,90,0,0,0,0,0,59,0,28,0,36,42,0,35,0,45,0,45,54,0,57,0,0,0,0,0,0,57,15,0,0,0,0,0,0,45,79,29,55,58,0,0,0,0,0,64,0
2011-02-01,20,60,0,0,79,28,46,0,0,7,34,0,26,0,64,56,39,51,0,0,0,29,0,0,0,14,11,28,60,0,0,0,0,47,0,0,28,65,0,0,68,0,0,76,29,0,36,0,12,0,0,0,63,30,54,0,0,59,76,0,0,24,0,0,0,0,0,0,0,37,0,0,0,54,64,0,34,0,44,0
2011-03-01,23,54,0,0,75,25,0,71,0,54,23,0,23,71,58,0,71,0,0,61,50,27,89,100,100,6,20,25,0,0,0,0,51,0,0,0,25,0,0,0,0,80,0,34,53,0,27,0,11,100,43,0,0,54,97,0,0,54,34,0,55,43,0,0,0,0,0,0,43,41,0,0,0,97,58,47,0,0,30,25
2011-04-01,13,28,0,29,55,51,0,37,0,17,16,0,0,0,30,0,37,0,0,32,0,0,0,0,0,6,10,0,0,0,0,0,0,44,50,0,0,61,0,0,0,0,50,35,55,38,56,0,0,0,0,0,0,28,100,0,0,0,35,0,0,15,0,0,0,0,0,0,0,55,0,0,0,100,0,0,0,60,31,26
2011-05-01,16,28,0,0,62,38,0,0,0,14,20,0,24,0,30,52,0,0,0,32,0,28,0,0,0,6,15,0,56,0,0,0,0,58,100,0,0,0,0,0,0,27,50,53,27,38,34,0,0,52,44,52,0,0,0,0,0,55,70,0,0,0,48,0,53,0,0,0,44,28,55,0,0,0,0,0,0,60,41,0
2011-06-01,9,0,0,0,54,27,45,0,0,7,29,0,25,0,0,0,0,0,0,0,0,29,0,0,0,0,0,27,59,0,0,0,0,31,0,0,27,0,0,0,0,29,0,37,22,0,42,0,12,0,0,0,0,0,53,0,0,0,37,0,0,15,0,0,0,0,0,0,0,36,0,0,59,53,0,0,0,0,44,0
2011-07-01,4,0,0,0,30,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,64,28,0,0,14,0,23,0,0,0,44,0,0,28,0,0,0,0,0,0,0,0,0,0,55,0,0,0,44,42,0,0,0,0,0,0,0,0,32,0
2011-08-01,11,26,0,0,24,0,0,34,52,7,15,0,0,0,0,0,34,0,0,30,0,26,0,0,0,15,10,25,0,0,0,0,0,55,0,0,25,0,0,0,0,26,0,0,26,0,32,0,0,0,0,0,55,52,0,0,0,52,0,0,0,14,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,56,19,0
2011-09-01,17,27,0,0,42,25,0,0,0,23,8,100,0,0,0,100,0,0,0,0,0,27,0,0,0,22,34,0,0,0,0,0,0,28,49,0,0,0,0,0,0,0,0,0,27,36,22,0,0,0,0,0,57,27,0,0,0,0,0,0,0,14,0,50,0,0,0,0,0,27,26,0,54,0,0,0,30,0,20,0
2011-10-01,18,0,0,0,53,0,39,0,0,6,14,0,0,0,27,47,0,0,0,29,46,51,0,0,0,29,18,0,0,0,0,0,0,53,0,0,0,0,49,51,0,25,46,0,25,34,56,0,0,0,0,0,53,0,0,0,0,0,0,0,0,13,0,47,0,0,0,0,0,31,25,97,0,0,0,0,28,0,38,0
2011-11-01,17,25,0,0,73,23,0,0,50,25,11,0,22,66,0,48,67,0,0,0,0,0,28,0,0,21,28,0,0,0,0,0,48,27,0,0,0,0,49,0,57,75,0,0,31,34,57,0,0,0,40,0,0,25,0,45,0,0,0,0,0,13,43,0,0,0,0,0,40,38,0,0,0,0,0,44,28,55,19,0
2011-12-01,12,49,0,0,43,23,38,0,0,40,21,0,22,0,27,46,0,0,0,0,46,25,0,0,0,12,9,0,0,0,0,0,0,26,0,0,0,0,0,0,0,25,0,32,31,0,30,0,10,0,39,0,52,25,0,45,0,0,32,0,0,13,42,0,0,0,0,0,39,62,25,97,0,0,0,42,0,53,46,0
2012-01-01,22,23,0,0,37,43,36,0,0,14,23,43,0,61,25,0,0,0,0,0,0,47,0,43,0,14,8,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,34,32,28,0,18,0,36,0,0,0,0,42,0,47,0,87,0,25,0,0,0,0,0,0,36,52,35,0,0,0,50,40,0,0,26,22
2012-02-01,17,24,0,0,44,33,73,31,0,18,13,0,41,62,25,44,31,0,0,54,0,48,26,0,0,11,17,0,0,0,0,0,0,25,64,0,0,0,0,0,0,23,43,0,65,32,39,0,0,0,0,44,51,24,0,0,0,0,0,89,48,19,0,0,0,0,0,0,0,83,36,46,0,0,0,0,0,0,44,0
2012-03-01,20,0,0,46,59,21,52,59,0,11,13,0,0,0,36,84,59,0,0,0,0,22,0,0,0,5,8,0,45,0,0,0,0,35,41,0,0,49,0,46,0,22,0,28,72,31,27,0,0,0,35,0,0,90,0,0,0,45,0,0,0,12,0,0,0,0,0,0,35,78,45,43,0,0,48,0,0,48,50,0
2012-04-01,17,23,0,0,64,42,36,30,0,17,26,0,39,0,25,0,30,0,0,0,0,23,0,0,0,0,9,0,47,75,0,0,0,25,0,0,0,0,0,48,0,57,0,0,23,64,28,0,9,0,0,0,0,0,41,0,0,46,0,0,94,0,0,0,0,0,0,0,0,40,23,0,47,41,49,0,0,50,60,0
2012-05-01,21,23,0,24,57,42,36,91,0,17,16,0,39,60,0,0,91,77,0,52,0,69,25,0,0,0,17,0,0,0,0,0,43,60,0,0,0,100,0,0,52,22,41,0,28,0,37,0,9,0,72,0,0,23,0,0,0,0,0,86,0,0,0,43,44,0,0,0,72,68,46,0,46,0,99,0,0,49,34,21
2012-06-01,17,22,0,0,50,0,52,0,44,14,34,0,0,0,24,0,0,37,0,25,41,22,0,0,0,0,8,0,0,0,50,0,0,35,0,0,0,0,43,0,100,44,0,56,27,0,27,0,0,41,0,0,0,44,40,0,0,0,56,0,44,0,0,0,0,0,0,0,0,44,22,0,0,0,0,76,0,48,33,0
2012-07-01,11,20,0,0,27,19,31,53,0,13,20,0,0,0,22,0,53,0,0,0,37,20,0,0,0,9,7,0,0,0,0,0,38,32,0,0,0,44,0,0,0,20,0,0,35,28,70,0,16,37,32,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,32,30,40,39,0,0,0,0,0,0,38,0
