date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu symptoms,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu chicago,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,illinois flu,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,18,0,0,35,0,9,0,0,1,22,0,0,0,0,1,44,3,2,0,0,7,22,0,1,0,0,16,0,12,0,48,19,0,0,75,0,37,0,4,0,0,21,0,0,0,0,22,33,11,6,0,6,0,34,0,0,0,0,9,0,36,3,24,4,6,36,6,0,11,12,12,12,59,0,0,0,0,0,44,0,1,0,8,16,0,0,35,18,12,0,0,0,0,0,7,64
2010-02-01,14,36,36,0,0,11,0,0,1,6,4,4,0,1,1,52,3,1,0,0,10,18,1,2,0,0,21,0,7,0,100,0,0,0,23,15,31,1,3,0,0,7,0,0,0,0,34,40,0,6,0,0,12,70,0,0,0,0,19,0,14,13,29,3,3,9,6,6,6,0,12,0,36,0,25,0,17,0,46,0,1,0,0,8,0,0,54,24,24,25,13,0,0,7,0,59
2010-03-01,12,0,0,33,0,9,0,1,0,4,0,0,0,0,0,41,2,1,0,1,7,16,2,1,0,0,16,0,7,0,19,0,0,0,50,0,14,0,0,0,0,13,0,13,7,0,16,42,16,0,0,0,0,0,32,0,0,9,13,0,30,2,34,0,2,21,5,0,21,0,0,0,33,0,0,0,15,0,47,0,1,0,0,30,0,0,33,0,11,0,12,12,0,6,0,45
2010-04-01,8,0,0,35,0,4,0,0,0,4,0,0,0,0,0,36,1,1,0,0,7,6,0,0,0,0,8,3,7,0,38,0,0,15,44,0,22,0,1,0,0,20,0,0,0,0,22,22,0,0,0,0,11,0,100,0,0,0,40,0,9,2,19,0,6,5,5,0,5,11,11,0,80,0,16,0,16,0,41,0,1,0,0,8,0,0,40,11,11,0,0,12,0,0,0,56
2010-05-01,5,0,37,36,0,8,0,0,1,0,0,4,0,0,0,35,1,1,0,0,4,4,1,0,0,0,4,4,4,0,0,0,0,0,55,0,23,0,2,0,0,7,0,0,0,0,12,29,12,6,0,0,6,35,0,0,0,0,28,0,19,0,15,0,0,0,0,0,0,0,0,0,49,17,0,0,17,0,41,0,0,8,0,0,0,0,12,12,18,0,13,0,0,0,0,63
2010-06-01,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,30,3,1,0,0,4,3,1,0,0,0,4,4,4,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,12,42,0,0,0,0,0,0,0,0,0,0,15,0,19,0,8,0,0,9,0,0,0,0,13,0,57,0,0,0,26,0,35,0,0,0,0,0,0,0,13,13,13,13,0,0,0,0,0,25
2010-07-01,3,0,0,0,0,4,0,0,1,4,0,4,0,0,0,32,1,0,0,0,2,3,1,0,0,0,4,0,0,0,0,0,0,0,31,0,16,0,2,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,35,0,0,9,9,0,0,0,3,0,0,12,6,0,0,0,0,0,55,0,0,17,0,0,36,0,0,8,0,0,0,0,0,12,12,13,0,0,0,0,0,49
2010-08-01,7,0,0,35,35,6,1,1,0,18,0,0,0,1,0,23,1,0,0,0,3,4,1,0,0,0,14,3,0,0,0,0,0,15,30,0,15,0,1,0,0,0,0,0,0,0,0,44,11,6,0,0,6,0,34,0,0,9,14,0,9,2,8,0,0,25,6,0,11,0,0,0,59,0,0,0,16,0,41,0,0,8,0,16,8,0,23,23,12,0,0,0,12,0,0,50
2010-09-01,15,0,0,0,0,10,0,0,1,60,0,4,0,0,0,37,4,1,0,1,10,8,1,0,0,0,0,0,5,0,19,0,0,0,66,0,29,0,17,0,0,7,0,0,0,0,16,22,0,0,0,0,0,0,0,0,0,13,22,0,13,6,11,6,2,66,0,0,0,11,0,0,46,0,0,0,16,0,38,0,0,8,0,0,8,12,12,0,12,0,0,0,0,7,0,66
2010-10-01,22,0,0,0,0,16,0,0,1,82,4,0,0,0,1,54,2,2,0,1,12,15,1,0,0,3,16,0,8,0,18,0,0,42,56,0,14,0,48,0,0,59,0,0,0,0,0,47,10,5,0,0,0,0,32,0,0,13,17,9,8,5,16,2,3,76,5,5,5,0,11,0,55,0,0,0,23,0,42,0,1,7,0,7,7,0,28,11,28,0,11,0,0,6,0,35
2010-11-01,19,0,0,0,0,12,0,1,2,34,0,0,0,0,0,48,5,1,0,0,10,14,1,0,0,3,8,0,5,0,45,18,0,14,49,14,49,0,23,0,0,32,0,0,0,0,16,36,0,5,0,0,5,32,0,0,0,21,17,0,46,7,50,2,3,31,5,0,5,16,0,0,33,15,15,0,30,0,46,0,0,7,7,7,0,0,44,33,22,0,11,11,11,6,6,66
2010-12-01,15,0,0,0,0,7,0,1,1,12,4,0,0,0,0,44,6,1,0,0,11,14,1,2,0,0,18,3,7,0,37,0,0,22,65,43,29,0,7,0,0,20,13,0,0,0,21,21,11,11,0,5,0,49,33,0,0,0,22,0,35,5,46,2,2,5,5,0,22,0,0,0,96,0,15,0,16,0,45,0,0,8,15,31,0,11,51,23,11,12,12,12,0,16,0,55
2011-01-01,18,30,23,15,15,17,0,0,1,8,3,4,0,0,1,57,5,2,0,0,15,18,1,0,0,4,15,4,11,8,45,8,16,10,54,10,26,0,6,0,0,15,6,3,0,0,12,64,5,5,2,0,12,15,58,14,29,4,37,4,17,3,37,3,3,18,9,4,19,0,5,5,68,28,17,0,21,0,54,0,0,5,0,27,3,10,43,35,13,31,10,26,0,7,6,80
2011-02-01,16,16,16,16,16,26,1,1,1,3,5,4,2,1,1,72,4,2,0,1,14,20,0,1,0,2,12,4,9,0,26,17,9,10,85,7,30,0,5,0,0,22,3,0,0,5,18,88,5,9,5,0,19,38,62,30,15,0,18,8,22,7,30,4,3,6,4,5,10,11,8,11,87,7,18,7,18,0,49,0,1,7,0,14,0,5,24,16,19,11,11,11,0,6,9,73
2011-03-01,12,0,0,28,14,16,1,0,1,2,2,2,0,1,1,59,5,1,0,0,11,14,1,1,0,1,12,3,4,0,12,0,8,0,24,6,27,0,2,0,0,6,3,3,0,4,7,43,5,2,0,0,8,14,14,0,0,0,26,4,11,4,26,3,2,9,5,2,6,0,7,0,47,6,10,0,19,0,49,0,1,5,0,8,3,14,21,24,9,10,5,15,0,3,5,69
2011-04-01,7,0,0,15,0,7,0,0,1,2,2,3,0,0,0,47,2,1,0,0,6,8,0,1,0,1,8,1,3,0,20,8,8,6,70,0,19,0,1,0,0,3,3,0,6,0,9,33,5,4,0,0,5,0,14,0,0,0,17,0,11,2,21,1,1,5,4,0,0,0,5,0,44,10,7,7,17,0,50,0,0,5,0,0,0,0,25,20,7,5,5,0,0,6,3,62
2011-05-01,5,14,14,0,0,6,0,0,0,2,2,3,0,0,1,41,1,1,0,0,5,5,1,0,0,0,3,1,4,0,31,8,0,9,50,6,24,0,0,0,0,3,0,3,3,4,15,57,4,0,0,0,2,0,40,0,0,0,14,0,14,2,9,1,1,3,2,0,0,0,0,0,37,13,6,0,6,0,45,0,0,3,0,0,0,5,14,14,9,5,0,0,0,3,3,55
