date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,indiana flu,high fever,flu in indiana,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,cold,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,11,0,0,0,0,21,0,0,0,4,4,0,0,0,4,0,34,0,49,0,0,7,0,0,0,19,10,20,0,20,0,0,0,55,0,0,0,3,0,0,0,0,0,0,0,17,17,0,17,0,0,41,0,0,0,0,19,0,0,0,0,46,0,2,0,72,0,0,16,0,31,0,15,0,0,0,0,17,0,0,17,0,0,21,21,0,29,0,0,0,33,0,0,0,0,31
2010-02-01,9,0,0,0,0,7,0,0,0,9,0,4,0,0,0,4,59,0,0,0,0,12,0,0,5,20,0,0,0,21,0,0,21,95,0,0,38,5,0,0,4,0,0,0,8,27,0,0,0,0,0,21,21,0,0,0,50,0,0,0,27,42,0,1,0,34,0,0,0,32,0,0,16,0,41,41,0,0,0,18,0,0,0,0,22,0,45,30,0,0,0,34,0,0,0,82
2010-03-01,9,0,0,0,0,8,3,0,0,4,0,0,0,0,0,0,50,0,0,0,0,6,0,0,2,19,0,0,0,0,0,0,30,89,0,0,0,3,3,0,0,0,0,0,8,17,0,17,0,0,0,0,20,0,0,0,66,0,50,0,76,38,0,1,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,28,70,0,0,0,0,32,0,0,15
2010-04-01,8,98,97,0,0,12,0,0,0,4,0,4,0,4,0,0,36,0,0,0,0,4,0,0,4,10,0,0,0,21,0,21,31,37,0,0,37,3,0,0,0,8,0,0,8,17,0,0,0,21,0,21,21,0,0,19,19,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,23,0,0,40,0,0,0,0,18,0,0,0,0,0,29,29,0,0,0,0,0,0,0,79
2010-05-01,5,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,5,0,0,0,11,0,22,0,23,0,0,23,0,0,0,0,0,0,0,4,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,55,0,0,0,30,36,0,1,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,66,33,66,0,0,0,0,0,0,0
2010-06-01,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,23,0,0,0,0,0,38,37,0,0,0,0,0,0,0,0
2010-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,5,0,0,0,0,0,0,0,0,25,0,50,45,0,0,45,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,34,0,0,0,20,0,0,20,0,0,0,19,0,0,49,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,39
2010-08-01,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,83,0,0,0,11,0,0,0,0,0,0,9,19,29,0,0,0,0,23,0,0,0,0,44,0,0,0,0,32,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2010-09-01,12,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,52,25,0,0,0,2,0,0,7,0,10,0,0,21,0,20,21,0,0,0,0,17,0,0,0,8,0,0,16,26,0,0,0,0,0,0,0,0,20,0,39,0,26,0,0,35,0,1,0,57,0,16,0,0,0,16,0,40,0,0,0,18,0,0,0,22,0,0,0,0,0,88,58,33,0,0,0,0,0,32
2010-10-01,21,0,0,0,0,15,0,0,3,31,0,4,0,0,0,0,60,0,0,0,0,20,0,0,4,19,10,0,0,20,20,0,20,73,36,55,0,47,0,0,0,8,0,0,23,51,0,0,0,0,0,21,21,19,0,0,48,26,0,0,26,36,0,1,0,48,0,0,16,0,0,0,23,0,0,39,0,17,0,0,35,21,0,21,0,0,29,86,43,0,0,0,0,15,0,15
