date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,flu iowa,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,flu in iowa,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,treatment for flu,cdc flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature
2010-01-01,15,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,28,0,0,0,0,32,0,33,0,50,33,7,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,58,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,57,72
2010-02-01,11,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,13,0,0,0,27,0,27,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,72,0,0,55,0,35
2010-03-01,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,19,0,0,0,9,9,0,0,0,24,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,61
2010-04-01,6,0,0,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,80,80,0,17,34,0,0,9,0,0,0,0,0,0,0,41,41,0,0,46,46,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,49,0,47
2010-05-01,6,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,11,0,0,0,0,0,0,0,46,0,0,0,0,51,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,53
2010-06-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,0,0,53,0,0,0,0,0,0,54,0,0,54,0,0,17,0,0,0,0,0,0,0,0,0,41
2010-07-01,6,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,100,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,40
2010-08-01,9,0,0,0,0,0,8,3,0,0,32,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,17,25,0,35,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,100,0,0,0,32,0,0,0,0,0,0,0,0,0,38
2010-09-01,16,0,0,8,0,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,15,15,0,62,0,31,0,0,0,27,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,5,8,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,44,0,0,0,21,0,70,0,0,0,0,0,0,0,67
2010-10-01,21,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,20,0,0,0,14,5,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,12,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,43,43,0,0,49,0,0,0,0,0,52,0,0,0,0
