date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,flu in kansas,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,free flu shots,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,11,0,0,0,0,4,0,0,0,13,0,0,0,0,0,5,38,0,37,0,0,17,3,0,6,29,0,14,0,0,0,0,24,48,0,32,32,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,14,0,60,0,0,52,52,0,0,15,21,10,15,0,0,0,0,0,0,0,68,57,0,58,57,0,0,27,0,0,0,0,0,26,0,0,10,0,0,45,44,0,0,26,53
2010-02-01,11,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,56,37,0,0,38,8,0,0,3,15,0,0,0,0,0,0,60,33,0,33,0,5,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,44,0,7,54,0,0,0,11,0,0,21,20,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,46,0,0,0,0,0,27
2010-03-01,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,12,0,0,3,28,0,0,0,23,0,0,57,62,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,51,0,0,15,30,0,10,0,0,0,0,33,33,0,33,0,56,0,56,0,26,26,26,0,0,0,0,45,0,10,0,43,0,0,0,0,0,0,77
2010-04-01,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,28,36,0,0,0,3,0,0,3,14,0,0,0,0,0,0,0,32,0,0,0,9,0,0,0,0,0,0,0,33,0,0,0,0,0,14,14,0,40,0,0,0,0,0,0,0,20,0,20,0,0,0,0,34,0,0,34,0,0,0,0,0,0,53,0,0,0,0,0,47,0,0,0,0,0,0,0,26,0,0,66
2010-05-01,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,56,0,0,11,0,22,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,56
2010-06-01,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,54,0,0,0,5,0,0,0,14,0,0,0,38,0,0,0,0,0,0,0,0,64,0,0,0,59,0,0,0,0,0,12,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,0,24,0,0,0,0,0,0,0,0,0,0,30
2010-07-01,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,100,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,54,0,0,0,0,0,21,20,0,0,0,0,0,0,71,0,0,0,60,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,47,0,0,0,56
2010-08-01,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,0,0,29,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,30,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,27
2010-09-01,14,0,0,0,0,5,0,0,0,39,0,0,0,0,0,5,32,35,0,0,0,4,3,0,0,0,0,0,0,0,0,0,46,0,0,31,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,20,10,64,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,25,0,10,0,0,0,0,0,0,0,0,26
2010-10-01,22,0,0,0,0,9,0,0,0,76,0,0,0,0,0,5,36,0,0,0,0,15,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,100,0,50,0,10,20,20,38,0,0,0,0,0,0,65,0,0,0,0,26,0,26,0,0,0,26,26,35,0,10,10,0,0,0,86,0,0,0,51
