date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu shots,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,flu like symptoms,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,kentucky flu,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,type a flu,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,10,0,0,0,0,0,0,0,32,0,0,0,0,0,44,8,4,0,2,5,8,0,15,0,15,39,0,0,39,0,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,56,0,34,0,17,28,100,14,0,0,0,0,0,0,32,0,0,0,0,17,0,0,4,0,0,0,0,30,0,16,0,16,0,0,0,0,0,0,35
2010-02-01,6,0,0,0,0,0,0,0,17,0,0,0,0,0,65,0,6,0,0,4,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,35,0,52,15,0,0,0,0,0,0,97,0,0,0,0,35,0,4,4,0,0,0,0,35,7,0,0,0,0,0,0,0,0,0,60
2010-03-01,5,0,0,0,0,0,0,0,15,0,0,0,0,0,27,4,4,0,0,3,5,0,7,0,0,37,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,34,0,34,0,0,54,0,0,0,20,0,0,0,0,54,0,16,0,0,13,20,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,7,0,0,0,0,35,0,0,23,0,0,0,0,0,0,0,67
2010-04-01,4,0,0,78,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,18,0,59,15,0,0,0,0,0,0,65,0,0,0,0,18,0,0,0,0,0,0,0,35,0,0,17,17,0,0,26,0,0,0,36
2010-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,46,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,65,0,0,65,0,0,0,20,0,0,0,0,0,0,0,0,0,37,0,0,0,0,20,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,27
2010-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,17,0,0,0,0,0,0,25
2010-08-01,4,0,0,0,0,0,16,0,16,57,0,0,0,4,35,4,4,0,0,2,2,0,8,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,24
2010-09-01,11,73,0,73,0,0,0,0,55,0,0,0,0,0,42,0,0,0,0,11,6,0,0,7,0,0,0,0,0,0,30,15,15,0,0,0,42,0,0,0,0,0,0,0,34,0,0,0,0,0,30,0,20,0,0,0,0,0,33,0,0,14,14,28,0,0,0,0,0,0,47,0,0,0,17,0,0,0,0,0,0,0,0,36,0,0,16,32,0,0,0,0,0,0,57
2010-10-01,13,0,0,0,0,0,0,0,100,0,0,0,0,0,41,12,0,0,0,9,6,0,21,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,41,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,35,0,0,16,0,0,0,0,0,0,0,22
