date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,louisiana flu,exposed to flu,flu contagious,flu length,bronchitis,type a flu,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,12,0,0,0,0,0,0,0,0,0,48,0,0,0,0,61,4,4,0,0,5,7,0,7,0,0,66,0,0,0,0,19,0,0,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,34,100,20,0,0,0,0,93,0,0,63,42,0,0,0,0,0,8,8,0,0,0,0,0,32,14,27,0,0,0,0,0,0,0,20
2010-02-01,15,0,0,81,0,0,0,0,0,100,0,0,0,0,0,79,5,0,0,0,8,0,0,0,7,0,0,0,0,0,0,40,0,37,0,37,0,0,0,0,7,0,0,0,100,0,0,50,100,36,0,36,0,99,0,0,74,18,18,0,37,32,11,0,0,0,0,92,0,0,67,0,0,0,20,0,0,8,25,0,0,0,17,0,84,14,14,0,0,0,31,0,0,0,63
2010-03-01,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,71,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,100,0,0,0,0,0,0,0,0,0,67,0,0,0,46,0,32,33,0,45,0,0,90,0,0,17,25,96,10,10,0,0,0,100,0,0,81,0,0,0,0,18,0,0,4,4,0,0,0,0,38,0,13,0,13,0,0,0,0,0,77
2010-04-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,36,0,0,0,0,0,0,18,0,0,36,21,10,0,0,0,0,88,0,0,44,0,0,0,0,0,0,4,4,0,4,0,0,0,42,0,0,29,0,0,0,0,0,0,42
2010-05-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,4,0,0,0,0,0,36,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,0,0,0,0,0,0,90,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,18,0,0,31,15,32,0,0,0,0,88
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,56,0,0,56,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,12,0,0,0,0,0,90,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,16,0,0,0,0,0,0,0,48
2010-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,91,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,67
2010-08-01,4,0,0,0,0,0,0,0,24,0,0,0,0,0,5,30,0,0,0,0,4,0,0,0,0,35,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,50,0,0,100,0,0,18,18,32,0,0,0,0,0,81,0,0,67,0,0,0,0,20,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,63
2010-09-01,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,18,9,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,49,49,0,0,18,18,0,21,0,0,0,0,89,1,0,44,0,0,0,0,19,0,0,0,0,0,0,0,0,41,0,0,14,0,30,30,0,0,0,41
2010-10-01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,9,44,4,2,0,0,6,0,0,0,0,0,33,0,0,0,0,0,19,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,17,0,30,0,0,0,0,84,1,0,43,0,0,0,0,19,0,4,0,0,10,0,8,0,32,0,0,0,0,29,0,0,0,0,81
2010-11-01,11,0,0,0,0,0,0,0,23,0,0,0,0,0,0,45,9,2,0,0,4,0,0,0,0,0,33,0,0,0,0,20,0,36,36,71,0,0,0,0,0,0,49,0,49,0,0,0,0,35,35,0,0,0,0,48,48,18,0,18,53,0,10,0,0,0,0,86,0,0,43,0,0,19,0,19,0,8,4,0,4,0,8,0,37,0,0,14,0,30,0,0,0,0,21
2010-12-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,2,0,0,10,0,0,7,0,0,34,0,0,0,0,20,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,36,18,36,0,0,0,10,0,0,86,1,44,44,0,0,0,0,20,0,8,4,0,0,0,25,0,21,14,14,0,0,30,30,0,0,0,21
2011-01-01,18,0,0,0,0,0,0,26,0,0,0,0,0,0,2,58,7,2,0,0,19,0,0,19,4,0,37,0,19,11,11,22,0,0,39,29,0,0,0,0,0,53,0,0,27,27,0,0,27,77,19,19,0,27,0,27,27,20,39,10,24,11,17,0,0,0,0,94,0,0,36,24,0,0,0,11,0,6,14,0,4,0,11,0,86,12,23,15,0,16,16,0,16,0,0
2011-02-01,18,0,0,0,0,13,13,13,0,0,28,0,28,3,0,55,8,1,0,0,17,0,0,16,4,39,19,29,19,0,22,45,11,0,21,41,0,0,0,4,4,28,28,0,28,55,0,28,28,20,0,0,0,27,0,0,55,15,10,25,31,12,6,6,0,0,0,92,0,0,62,0,0,0,22,27,0,4,34,0,4,0,19,0,59,16,8,8,0,67,17,0,17,0,48
2011-03-01,7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,35,8,0,0,1,8,0,0,15,7,0,0,0,0,10,10,53,10,0,0,29,0,0,0,0,0,0,0,0,26,0,0,0,0,19,0,19,0,0,0,0,0,14,33,28,33,0,5,5,0,0,0,76,0,0,0,0,0,0,10,30,0,2,5,0,2,4,4,0,46,15,8,15,8,0,16,0,16,0,33
2011-04-01,4,0,0,0,0,0,0,13,0,27,0,0,27,0,0,45,6,0,0,1,8,0,0,15,8,0,0,0,0,0,0,11,11,0,20,0,20,0,0,0,4,0,0,0,54,0,0,27,0,0,0,20,0,0,0,0,27,10,10,10,10,0,6,0,0,0,0,73,0,0,73,0,0,0,11,11,0,7,0,0,0,0,5,0,39,0,8,0,0,0,0,0,0,0,34
2011-05-01,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,35,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,27,0,54,27,0,0,0,0,0,0,0,0,0,0,27,20,10,0,15,0,17,0,0,0,0,79,0,0,24,0,24,0,0,0,0,2,2,2,2,0,0,0,30,0,0,0,0,17,0,0,0,0,23
2011-06-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,3,0,0,0,0,0,20,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,21,0,29,0,0,29,0,0,0,11,0,6,0,0,0,0,75,0,0,26,0,0,0,0,0,0,0,2,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,12
2011-07-01,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28,5,1,0,0,3,0,0,0,0,20,20,0,0,0,0,17,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,28,28,10,0,0,10,0,0,0,0,0,0,86,0,0,51,0,0,0,17,0,0,0,2,5,0,0,0,0,14,0,12,8,8,0,0,0,0,0,48
2011-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,26,9,0,0,9,5,0,0,0,0,0,89,0,0,46,0,23,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,0,0,16,0,0,0,11
2011-09-01,9,0,0,0,0,0,0,12,24,0,0,0,0,0,5,33,8,0,0,0,6,0,0,11,0,17,0,0,0,0,0,10,0,0,0,19,0,0,0,0,0,25,25,0,25,0,0,0,0,27,0,0,0,0,0,0,37,9,9,0,14,5,0,0,0,0,0,89,0,0,90,0,0,0,0,0,0,4,0,0,3,0,8,0,23,0,7,0,0,15,0,0,15,0,53
2011-10-01,14,0,0,0,0,0,0,0,11,0,0,0,0,0,2,41,0,1,0,0,5,0,0,0,3,0,17,0,0,0,0,48,0,0,18,0,0,0,0,0,0,48,24,0,24,24,0,0,0,17,0,0,0,0,0,24,72,17,0,9,17,0,10,0,0,0,0,74,0,0,75,0,0,0,0,9,0,0,2,0,2,0,12,0,30,0,7,0,0,0,15,0,0,0,71
2011-11-01,11,0,39,0,0,0,0,0,11,0,0,0,0,0,4,51,0,2,0,1,9,3,0,0,0,0,33,0,0,0,0,19,10,0,18,0,0,0,0,0,3,0,0,0,24,0,0,24,0,17,0,17,0,0,0,0,24,9,0,17,26,0,20,5,0,0,0,64,0,0,43,21,21,0,19,19,0,0,4,0,4,0,0,0,49,0,7,7,0,15,0,0,0,0,71
2011-12-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,1,0,0,4,0,0,0,0,16,16,0,0,0,0,38,19,0,0,0,17,0,0,0,3,0,0,0,23,0,0,24,0,34,34,17,0,0,0,0,35,17,9,13,30,5,15,0,5,0,0,65,0,0,42,0,0,0,0,14,9,2,2,0,2,0,0,0,36,0,7,0,0,14,14,0,0,0,20
2012-01-01,7,0,0,0,0,0,0,0,10,0,43,0,0,0,0,42,3,1,0,0,4,0,0,6,0,15,15,0,0,0,9,9,0,0,0,0,0,0,0,0,3,42,0,0,0,21,0,21,0,0,0,15,0,0,0,0,21,16,0,8,19,9,5,0,0,0,0,77,0,0,38,0,0,0,0,8,0,4,2,0,0,0,4,0,63,0,0,0,0,0,0,0,0,9,45
2012-02-01,10,0,0,0,0,9,0,0,0,0,18,0,0,0,5,53,2,1,0,0,5,0,0,3,0,0,24,0,0,0,7,36,0,0,26,13,0,0,0,0,3,18,18,0,0,0,0,18,0,19,25,13,0,0,0,0,18,10,0,13,20,4,0,4,0,0,0,83,0,0,56,0,0,0,0,14,0,2,9,0,3,0,5,0,63,5,8,10,0,0,0,0,0,0,30
2012-03-01,6,0,27,0,0,0,0,8,0,0,0,0,34,0,3,48,5,1,0,0,7,0,0,10,2,0,12,0,0,0,0,30,7,0,18,12,12,0,0,0,0,0,0,0,50,0,0,0,0,0,12,0,0,0,0,0,33,12,6,6,9,4,4,4,0,0,0,71,1,0,89,15,0,0,7,7,7,3,7,0,3,0,6,0,43,10,7,10,5,10,10,0,10,0,28
2012-04-01,8,0,0,0,0,0,0,17,0,18,0,0,0,0,3,41,2,1,0,1,5,0,0,2,0,12,12,0,0,0,0,18,0,0,13,0,0,0,0,0,2,18,17,0,17,17,0,17,18,25,25,0,13,17,0,17,43,19,6,10,19,4,0,4,0,0,0,78,0,0,47,16,0,0,0,10,7,4,6,1,3,0,3,0,41,5,5,15,0,11,0,0,11,0,60
2012-05-01,3,0,0,0,0,0,0,0,8,17,0,0,0,0,2,53,3,0,0,0,5,0,0,5,0,23,0,0,0,0,7,20,0,0,12,0,0,0,0,0,0,0,17,0,17,0,0,0,0,12,0,0,0,0,0,0,34,6,0,9,9,7,0,0,0,0,0,86,0,0,38,0,0,0,0,10,0,1,4,0,0,0,0,0,43,0,0,0,0,10,0,0,10,0,57
2012-06-01,4,0,0,0,0,0,0,0,9,0,0,0,0,2,2,41,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,14,0,0,0,0,0,19,11,7,7,14,0,4,0,0,0,0,84,0,0,35,0,0,0,0,8,8,5,2,0,0,0,0,0,39,0,6,6,0,0,12,0,0,0,58
2012-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,2,0,0,0,2,0,0,0,0,18,0,0,0,0,5,21,10,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,9,0,0,0,0,0,0,51,0,0,5,5,5,3,0,0,0,0,82,0,0,57,0,0,0,8,5,5,0,0,0,1,0,0,0,20,0,4,0,0,8,8,0,0,0,38
2012-08-01,4,0,0,0,0,0,6,0,6,0,0,0,0,0,2,36,1,1,0,0,3,2,0,2,0,9,9,0,0,0,5,16,5,0,0,10,0,0,0,0,0,0,26,0,20,13,0,0,0,0,10,0,0,0,0,0,0,10,5,7,10,6,0,0,0,0,0,89,0,0,47,0,0,0,5,8,0,2,0,0,2,0,0,0,24,0,0,4,0,8,0,0,0,0,45
2012-09-01,12,0,0,0,0,0,0,0,14,0,29,0,29,0,3,45,3,1,0,0,8,0,0,6,2,10,10,0,0,0,0,14,0,11,21,0,0,0,0,0,2,0,14,0,14,0,0,14,0,0,10,21,0,0,0,0,28,16,5,13,13,6,15,0,0,0,0,94,0,13,77,13,13,0,0,14,0,2,2,0,1,0,5,0,44,0,8,8,4,0,0,0,9,6,42
2012-10-01,11,0,54,0,0,0,0,0,0,0,17,0,0,0,2,60,3,1,0,0,13,0,0,5,0,0,12,0,0,0,14,17,0,12,12,0,0,0,0,0,0,17,17,0,0,0,0,0,0,24,12,12,0,0,0,0,16,9,6,9,12,7,39,0,0,0,0,93,0,0,37,0,0,0,7,10,0,3,5,0,3,0,3,0,34,5,0,7,5,20,10,0,0,0,56
2012-11-01,15,0,0,26,0,15,8,15,15,16,32,0,0,0,1,57,12,1,0,0,17,2,0,27,2,0,22,0,0,13,0,29,6,12,12,29,0,0,0,0,2,16,16,0,16,0,0,16,16,11,0,17,11,16,0,0,16,29,6,15,41,7,13,0,0,0,0,82,0,0,57,0,14,0,6,16,6,7,16,1,1,0,12,0,72,7,9,12,0,15,10,0,10,7,80
2012-12-01,33,0,22,43,0,0,0,13,16,14,0,0,14,1,2,75,21,2,0,0,32,2,0,29,10,9,42,9,9,8,5,19,5,20,25,25,10,0,0,2,4,33,20,0,13,34,0,27,13,34,10,34,0,13,0,0,47,29,20,29,39,3,11,6,11,0,0,78,0,12,60,24,24,5,5,32,11,8,36,1,6,0,19,0,79,8,10,17,4,21,25,0,8,11,34
2013-01-01,52,18,18,0,0,5,11,13,29,0,11,0,56,0,1,76,25,2,0,0,50,2,0,43,14,0,27,16,0,18,0,52,16,8,37,41,16,0,0,2,2,33,33,0,22,22,0,11,34,40,32,48,20,33,0,22,55,33,35,31,84,7,21,12,2,0,0,87,1,10,85,15,20,4,9,33,4,21,41,1,5,0,18,0,72,21,8,26,3,24,38,7,31,9,80
2013-02-01,19,0,0,0,0,0,6,6,9,13,0,0,13,0,1,63,9,2,0,0,15,2,0,9,2,18,30,0,0,8,5,33,5,9,28,9,14,0,0,0,2,0,19,0,19,13,0,13,19,27,9,9,0,19,0,13,25,11,14,25,46,3,3,3,0,0,0,83,0,0,45,17,0,0,5,27,5,4,19,1,2,0,7,0,54,9,7,15,4,23,12,0,0,5,37
2013-03-01,10,0,0,0,0,0,12,12,15,25,12,0,12,1,2,62,9,1,0,0,14,0,0,14,0,0,13,0,0,0,10,35,5,9,18,18,0,0,0,0,2,12,0,0,12,0,0,12,12,18,9,9,0,12,0,18,49,14,16,7,27,8,10,5,0,0,0,82,0,0,61,33,11,0,20,7,10,4,13,1,2,2,8,0,66,4,4,5,4,15,11,0,8,0,68
2013-04-01,7,0,0,0,0,0,7,0,7,14,0,0,0,0,2,42,3,1,0,1,6,2,0,4,0,15,10,0,0,0,6,31,0,0,10,10,0,0,0,0,0,0,14,0,42,14,0,0,0,15,0,10,10,0,0,14,14,8,5,5,15,3,3,0,0,0,0,77,0,0,44,0,0,0,6,6,0,4,3,0,0,0,2,0,44,4,4,4,0,9,9,0,9,0,0
