date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu in maine,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,flu maine,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,maine cdc flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,maine cdc,flu vs. cold,flu symptoms 2018,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,flu map,treatment for flu,taking temperature,exposed to flu,keto flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,21,0,0,76,0,0,0,0,0,0,0,0,0,0,9,53,0,0,0,0,20,10,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,42,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,15,0,0,0,0,0,36,0,0
2010-02-01,5,0,0,0,0,100,0,0,0,0,0,0,0,0,9,42,0,0,0,0,10,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,69,0,0,62,0,0,0,0,0,0,0,46,0,0,0,97,0,0,48,0,0,73,0,0,0,57,0,0,0,0,68,0,0,0,0,0
2010-03-01,13,0,0,73,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,14,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,83,0,33,0,0,0,0,0,42,0,0,0,0,44,0,0,0,0,65,0,0,0,15,0,0,0,0,61,0,0,0,0,34
2010-04-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,0,0,10,5,0,0,0,0,0,0,27,0,100,0,0,0,0,0,0,0,8,0,0,43,0,0,43,0,0,0,87,0,0,100,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,71,0,0,0,32,0,0,0,0,0,0,0,0,0,37
2010-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2010-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,44
2010-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,12,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,42
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,41
2010-09-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,9,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,49,0,0,0,0,0,92,0,0,17,0,0,0,0,0,0,0
2010-10-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,0,0,0,0,31,16,0,0,0,27,0,0,0,0,0,0,0,0,0,0,53,0,29,0,0,0,0,0,65,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,69,0,30,0,0,0,0,0,0,0,0,46,0,0,0,0,48,0,0,0,0,0,0,0,0,16,0,0,0,0,67,100,0,0,0,75
