date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu maryland,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,fever,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,19,0,0,9,0,0,0,0,44,38,0,0,0,0,0,58,6,0,0,0,6,30,0,0,0,0,21,0,0,0,0,0,35,0,54,0,53,0,13,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,43,0,0,27,0,0,18,7,7,92,33,0,12,0,0,47,1,0,1,0,0,0,0,0,1,44,0,0,31,0,0,0,39,0,0,0,0,0,0,0,13,0,93
2010-02-01,12,0,0,10,0,47,0,0,0,9,0,0,0,0,0,44,0,5,0,0,9,0,0,0,0,0,8,0,23,0,36,0,0,0,28,0,0,0,3,0,0,0,37,0,0,28,28,0,0,0,50,100,0,0,43,0,0,18,0,19,0,27,0,42,19,0,12,0,0,54,0,0,2,0,0,29,0,2,0,46,0,0,0,0,0,0,33,5,5,0,0,34,0,0,0,0,69
2010-03-01,10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,49,0,0,0,0,4,0,11,0,0,0,7,0,0,0,32,0,0,0,25,0,0,0,4,0,0,33,0,33,0,0,0,0,0,0,0,45,0,0,53,0,0,0,0,0,0,24,0,24,7,0,0,0,0,50,0,0,0,0,0,0,0,0,0,51,0,0,19,0,0,0,32,0,0,0,0,0,0,0,0,0,56
2010-04-01,10,0,0,9,0,44,0,44,0,0,0,0,0,0,0,32,3,2,0,0,8,12,12,12,0,0,0,0,7,0,69,0,34,0,26,0,0,0,5,0,0,35,0,0,0,0,26,0,0,0,0,47,0,0,42,0,0,26,0,17,35,25,7,47,14,0,0,0,0,60,0,0,0,0,0,0,0,0,0,46,0,0,0,20,0,5,38,0,10,0,0,0,0,13,0,0,59
2010-05-01,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,12,0,0,0,0,7,0,0,36,36,0,0,0,41,0,55,0,2,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,44,0,0,18,0,0,0,19,0,19,0,0,12,0,0,53,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,32,0,0,33,0,0,0,0,0,0,27
2010-06-01,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,0,2,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,57,0,0,0,0,0,0,38,0,38,0,0,57,0,0,0,0,0,0,0,38,0,0,19,0,0,0,16,0,12,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,39,0,0,22,0,0,5,23,0,0,0,0,0,0,0,0,0,50
2010-07-01,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,35,3,0,0,0,3,12,0,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,4,0,0,37,37,0,0,0,28,0,0,0,0,0,50,0,42,0,0,0,0,0,0,0,0,15,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,41,0,0,0,22,0,0,20,0,0,0,0,0,0,0,0,0,49
2010-08-01,10,0,0,0,0,0,0,0,0,8,8,0,0,0,0,25,0,0,0,0,6,12,0,0,0,0,7,0,0,0,0,0,35,0,40,0,27,0,8,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,44,0,0,0,0,0,0,15,0,15,15,0,0,0,0,59,0,0,0,0,0,0,0,1,0,43,0,0,31,21,0,0,27,0,0,0,0,65,32,0,0,0,53
2010-09-01,19,0,0,9,9,0,0,0,0,36,0,0,0,0,0,42,0,0,0,0,6,11,0,0,0,0,0,0,0,0,33,0,33,0,51,0,0,0,22,0,0,0,0,34,0,26,0,26,0,0,0,0,46,0,56,0,0,25,0,17,17,7,7,14,24,0,11,0,0,45,0,0,3,0,0,0,0,1,0,40,0,0,59,0,0,0,25,0,0,0,0,0,0,0,0,0,76
2010-10-01,29,0,0,0,0,41,0,0,41,94,0,0,0,0,0,46,4,0,0,0,11,43,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,46,0,0,32,33,49,0,25,25,0,0,0,44,0,0,0,55,0,0,33,0,25,16,10,0,30,51,0,22,0,0,52,0,0,2,0,0,0,0,2,0,37,0,0,0,0,19,0,36,0,5,30,0,0,0,0,12,0,37
2010-11-01,21,0,0,26,0,0,0,0,0,75,0,0,0,0,0,59,6,0,0,0,13,22,0,0,0,0,0,0,0,33,33,0,33,25,100,25,38,0,36,0,0,33,0,33,0,0,0,25,0,0,0,0,0,2,43,0,0,17,0,33,17,21,7,21,24,11,17,0,0,55,0,1,3,0,0,0,0,2,0,42,1,0,0,20,0,0,64,0,5,0,0,0,0,0,0,0,75
2010-12-01,18,0,0,9,9,0,0,0,0,32,0,8,0,0,0,55,3,0,0,2,11,0,11,0,0,0,14,0,0,0,0,0,0,25,38,0,76,0,17,0,0,0,34,0,0,25,25,25,0,45,0,0,45,2,34,2,2,33,0,0,0,38,0,10,14,0,0,0,0,62,1,0,4,0,0,0,0,2,0,46,0,20,0,39,0,5,55,5,9,31,0,61,0,13,0,0,44
2011-01-01,18,0,4,0,4,42,0,21,0,20,4,4,0,0,1,57,5,2,0,1,12,22,6,11,0,0,7,3,10,16,33,0,0,19,38,13,13,2,10,0,0,25,17,0,17,38,76,0,0,0,0,23,0,2,34,0,0,21,0,34,8,43,3,17,12,6,6,0,0,72,0,1,3,0,13,0,0,1,0,48,0,10,29,0,19,0,50,2,2,0,0,0,31,0,25,6,60
2011-02-01,15,5,5,5,0,23,0,0,23,0,0,0,0,0,0,59,10,1,0,0,18,9,0,0,0,0,22,0,0,0,18,18,0,14,41,14,14,1,4,0,0,18,18,18,36,0,27,0,0,24,0,24,24,1,39,1,0,9,9,27,13,35,7,11,11,0,12,0,0,76,1,1,3,14,0,0,0,1,0,50,0,0,31,0,0,2,63,0,2,16,16,16,0,0,0,7,67
2011-03-01,9,0,8,12,0,20,0,0,40,11,0,4,0,0,0,44,1,1,0,0,9,21,5,0,0,0,13,3,6,0,0,0,0,18,36,12,12,0,2,0,0,0,16,16,16,12,60,0,0,21,0,21,0,0,41,1,0,16,8,16,8,10,0,13,5,0,5,0,0,55,1,0,2,0,0,12,0,1,0,50,0,0,19,9,0,4,55,0,4,0,0,0,29,0,6,0,45
2011-04-01,7,0,0,4,4,0,21,0,0,0,4,0,0,0,0,43,0,2,0,0,5,0,6,0,0,0,3,0,7,0,0,0,17,0,96,0,0,0,2,0,0,17,0,0,17,26,52,0,0,23,0,46,23,1,43,1,0,17,0,9,9,16,7,9,7,0,6,0,0,62,0,0,1,0,0,0,0,0,0,50,0,0,10,10,0,2,41,0,3,0,0,0,0,0,6,0,70
2011-05-01,6,0,0,6,0,0,0,0,0,4,0,0,0,0,0,31,0,0,0,1,5,0,11,0,0,0,3,3,0,0,0,0,16,0,56,0,12,0,2,0,0,0,0,0,0,0,50,0,0,0,0,0,22,0,53,0,0,8,8,8,0,19,0,9,3,0,0,6,0,56,0,0,1,0,0,0,0,1,0,48,0,10,0,0,0,0,41,0,2,0,0,0,0,0,6,0,69
2011-06-01,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,3,11,6,0,0,0,0,0,0,0,0,0,17,0,51,0,13,1,1,0,0,0,0,0,0,13,38,0,0,0,0,0,0,2,41,0,0,13,0,17,8,14,0,9,7,0,0,0,0,51,0,0,1,0,0,0,0,0,0,53,0,0,10,0,0,0,33,0,5,0,0,0,0,6,0,0,32
2011-07-01,4,0,0,4,4,22,0,0,0,0,0,4,0,0,0,26,1,1,0,0,2,6,9,0,0,0,0,0,4,0,17,0,17,0,46,0,20,0,2,0,0,0,0,17,0,0,26,0,0,0,0,0,0,1,35,0,0,26,0,0,0,14,0,7,4,0,0,0,0,48,0,0,0,0,0,0,0,0,0,54,0,10,20,0,0,0,20,0,4,0,0,0,0,0,0,0,39
