date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cure flu,cold vs. flu,how long flu,how long is the flu,flu massachusetts,fever reducer,cold and flu,flu contagious period,flu children,flu 2019,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu boston,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,cdc,type a influenza,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu clinic,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2010-01-01,26,0,0,50,0,6,0,0,6,34,34,34,0,1,42,4,1,0,1,10,18,0,0,10,0,35,6,10,0,4,0,0,0,13,13,0,13,1,12,0,1,2,0,2,8,0,25,37,0,20,0,0,20,0,1,35,0,10,26,0,10,13,29,3,100,6,0,17,0,96,0,0,0,0,0,13,0,22,0,5,16,28,16,0,17,51,0,5,3,0,67,7,7,28,28,28,0
2010-02-01,13,0,0,53,53,0,0,7,10,35,35,0,0,0,52,5,2,0,0,7,13,3,0,12,0,10,0,13,13,4,0,0,0,0,93,0,13,0,5,0,0,2,2,2,7,0,0,19,0,21,21,0,0,0,0,41,1,0,16,0,38,7,43,3,61,0,6,9,0,98,0,0,0,0,14,0,0,11,0,0,6,6,6,0,9,54,0,6,6,0,8,16,8,0,28,28,0
2010-03-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,1,0,0,5,7,0,0,5,3,6,6,0,6,4,0,0,0,0,71,0,12,0,2,0,0,2,2,0,2,0,29,35,0,18,0,0,18,0,0,36,0,10,0,0,24,6,24,3,17,0,0,5,0,100,0,0,0,13,0,13,0,10,5,0,5,10,0,0,5,44,0,3,4,7,0,7,7,25,0,0,0
2010-04-01,5,0,0,48,0,6,0,0,6,0,0,0,0,0,38,1,1,0,0,3,6,3,0,3,0,0,12,6,0,4,0,0,0,0,12,12,24,0,2,0,0,0,0,2,2,0,12,12,0,0,0,0,0,0,1,37,0,10,25,10,0,3,13,3,20,0,0,0,0,95,0,0,0,0,0,0,0,5,0,0,5,11,5,0,0,45,0,4,0,0,0,0,0,0,26,0,0
2010-05-01,5,0,0,0,0,0,0,0,0,0,35,0,0,0,25,3,1,0,0,4,5,0,0,6,0,6,7,6,0,4,0,4,4,0,26,0,0,0,2,0,0,4,2,0,4,0,52,58,13,40,0,0,0,1,1,31,0,0,32,0,11,3,10,0,7,6,0,0,0,94,0,0,0,0,0,0,0,6,0,0,6,6,0,0,0,34,0,3,3,0,0,8,0,0,0,0,0
2010-06-01,4,0,0,0,0,0,7,0,7,37,0,0,0,0,29,0,4,0,1,3,4,3,0,0,0,0,7,0,0,0,0,0,0,0,27,0,13,0,1,0,0,0,2,0,0,0,13,40,0,0,0,0,0,0,2,37,0,11,11,0,11,3,10,0,7,0,0,0,0,85,0,0,0,14,0,0,0,6,0,0,6,6,0,0,0,27,0,3,0,8,0,0,0,0,29,0,0
2010-07-01,4,0,0,0,0,0,0,0,6,0,0,0,0,1,23,0,1,0,0,1,2,0,0,0,0,0,25,0,0,4,0,0,4,0,62,0,12,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,34,0,0,20,0,10,3,11,0,5,0,0,5,0,89,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,19,0,3,3,0,0,0,0,0,0,0,0
2010-08-01,6,0,48,0,0,0,0,0,0,0,33,0,0,0,24,3,0,1,0,2,3,3,0,7,3,6,0,0,0,4,0,0,0,0,24,0,0,0,5,0,0,0,0,4,0,0,24,48,0,0,0,0,0,0,0,23,0,10,30,0,0,6,8,3,9,0,0,0,0,86,0,0,0,0,0,0,0,10,0,0,0,8,5,0,0,21,0,3,0,0,7,0,0,0,0,26,0
2010-09-01,15,46,0,0,0,0,0,0,9,32,32,32,0,0,38,4,1,0,0,5,4,0,0,8,0,12,0,6,0,7,0,0,0,0,47,0,12,0,21,0,0,2,0,4,4,0,23,35,0,18,0,0,18,0,0,37,0,0,29,0,14,3,6,0,9,5,0,8,0,77,0,0,0,0,0,12,0,5,0,0,0,5,5,0,8,49,0,5,3,0,38,0,0,0,0,0,0
2010-10-01,22,0,44,44,0,0,5,0,17,0,0,0,0,1,46,2,3,0,0,8,3,2,0,4,0,14,0,6,6,4,0,0,0,22,56,11,22,0,39,0,0,0,4,3,5,0,33,28,0,0,0,0,0,0,1,36,0,0,0,0,9,4,7,3,3,10,0,10,0,81,0,0,0,0,12,0,0,7,0,0,5,15,5,0,10,43,0,5,2,0,56,0,0,24,0,24,0
2010-11-01,16,0,0,0,0,0,0,0,12,0,0,31,0,0,41,3,5,0,1,7,6,8,0,6,0,0,0,12,0,7,0,0,7,23,58,0,0,0,27,0,0,3,0,2,6,0,17,34,0,27,0,18,0,0,0,43,0,10,29,0,9,9,11,0,6,10,8,5,0,84,0,0,0,0,0,12,0,15,5,5,8,8,5,0,5,46,0,2,2,0,61,7,7,0,0,25,25
2010-12-01,14,0,0,0,0,0,6,6,0,0,63,0,31,0,39,3,2,0,0,9,6,5,0,6,4,6,6,23,6,7,0,4,0,0,35,0,0,0,7,0,0,3,0,2,3,0,11,17,0,27,0,0,18,1,1,36,0,9,19,0,24,3,33,4,13,0,0,8,0,79,0,0,0,12,0,12,0,5,0,5,5,13,0,0,8,43,0,6,5,7,20,7,0,0,25,25,0
2011-01-01,15,32,0,31,32,0,0,4,12,22,0,0,22,1,49,4,3,0,0,10,14,0,0,10,3,10,10,8,4,4,0,3,0,16,24,8,16,0,12,0,0,3,1,1,5,0,20,47,8,25,0,0,25,1,1,32,0,0,13,0,20,10,31,7,10,7,0,14,0,88,0,0,0,17,8,21,8,17,0,3,7,5,7,0,14,39,0,3,3,9,12,5,5,0,17,0,17
2011-02-01,16,0,33,33,0,4,0,4,8,34,45,0,45,0,61,5,3,0,1,13,15,2,0,11,2,6,6,15,4,5,0,0,0,8,33,8,25,0,5,0,0,3,1,1,4,0,17,37,25,26,0,0,26,1,1,41,0,21,34,10,27,5,23,6,14,15,0,9,0,85,0,0,1,13,0,9,0,9,0,4,7,18,0,4,9,51,2,4,2,7,7,7,15,0,36,0,0
2011-03-01,11,0,0,0,29,0,4,0,6,0,20,0,20,0,53,4,2,0,1,7,11,2,0,9,0,4,8,6,11,4,0,0,2,0,45,0,0,1,0,0,0,1,1,0,2,0,22,48,15,12,0,0,12,0,1,41,0,0,12,0,21,12,28,8,11,10,0,3,0,82,0,0,0,12,0,12,0,19,3,0,8,5,5,0,3,58,2,3,2,7,0,4,0,0,0,16,0
2011-04-01,5,0,30,30,0,0,4,4,6,0,0,21,0,0,46,2,2,0,0,6,3,2,0,3,0,4,6,4,0,4,0,0,5,8,38,8,0,1,1,0,0,0,1,1,1,0,15,46,0,0,0,12,36,1,1,38,0,6,13,6,22,5,20,2,12,0,0,3,0,83,0,0,0,8,0,0,0,8,0,0,5,3,5,3,3,58,0,4,2,5,9,5,5,0,0,17,0
2011-05-01,5,0,0,0,30,0,0,4,4,21,0,0,0,0,40,1,1,0,0,3,3,2,0,2,0,8,0,4,0,0,0,0,0,8,8,0,8,0,1,0,0,1,1,0,1,0,19,30,0,12,0,0,18,0,0,56,0,0,31,0,19,5,4,2,9,7,0,0,0,86,0,0,0,0,0,0,0,8,3,0,8,7,7,0,0,51,0,3,2,0,0,0,4,0,17,17,0
2011-06-01,4,0,0,30,0,0,0,0,4,21,0,0,0,0,35,1,3,0,0,2,3,2,0,2,2,8,0,8,0,0,0,2,0,8,46,0,8,0,1,0,0,0,3,1,1,0,11,34,0,0,0,0,0,0,1,35,0,0,19,0,0,4,4,2,6,0,3,0,0,87,0,0,0,0,0,0,0,7,0,0,5,0,7,0,0,35,0,0,2,0,5,0,0,0,0,0,0
