date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,michigan flu,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,flu in michigan,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2010-01-01,21,0,0,0,0,8,0,0,0,20,8,8,0,0,0,0,31,6,0,28,0,10,20,0,0,0,22,0,0,0,28,28,0,0,19,0,19,0,18,0,0,24,0,24,0,48,0,32,0,19,0,0,28,0,4,0,48,0,0,36,36,0,9,26,0,100,18,0,0,0,0,40,0,57,19,0,0,0,25,13,0,12,12,0,24,43,0,3,0,24,24,24,0,0,41,0,0
2010-02-01,13,0,0,0,0,9,2,0,4,8,0,8,0,0,0,0,36,0,19,0,0,11,14,0,0,0,16,0,19,29,29,0,0,0,78,20,20,0,0,0,0,49,0,0,24,0,0,16,0,38,0,0,19,0,0,2,33,0,0,37,0,4,7,31,4,52,9,6,0,0,0,0,0,49,0,0,0,13,19,0,0,0,12,0,0,41,3,5,0,25,0,0,0,0,0,43,0
2010-03-01,8,0,48,48,0,14,0,0,0,0,0,8,0,0,2,0,41,0,9,6,6,8,5,0,0,6,9,0,9,0,0,0,26,18,71,0,0,0,2,0,0,22,0,0,0,15,30,0,0,17,0,0,0,2,2,3,46,0,0,85,34,0,4,20,0,36,0,6,0,0,0,0,0,53,35,0,18,0,12,0,12,0,11,0,0,44,0,3,0,0,45,22,22,0,0,39,0
2010-04-01,7,0,0,0,0,9,2,0,0,0,0,0,0,0,0,2,36,6,13,9,0,3,6,0,0,0,12,0,12,0,28,0,0,0,19,0,0,0,2,0,0,0,0,0,24,32,47,16,0,0,0,0,0,2,0,2,43,0,36,0,0,0,4,13,0,18,6,6,0,0,0,0,0,56,0,0,0,25,13,0,0,0,0,0,12,42,0,7,3,0,0,0,0,0,0,0,0
2010-05-01,6,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,34,0,13,7,0,4,4,0,0,0,0,0,13,0,0,0,0,0,100,0,20,0,2,0,0,0,0,0,25,100,0,0,0,0,0,0,0,0,0,0,34,0,0,38,0,0,5,14,0,12,0,0,0,0,0,21,0,30,0,0,0,0,13,0,0,0,0,0,13,26,0,7,4,0,0,0,25,0,0,0,0
2010-06-01,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,31,0,0,14,0,3,3,0,0,0,21,0,0,0,0,0,0,0,21,0,21,0,2,0,0,0,0,0,0,0,18,18,0,0,0,0,21,0,0,0,32,0,0,0,0,5,0,15,5,10,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,13,0,13,39,0,4,6,0,0,0,0,0,0,0,0
2010-07-01,4,0,0,0,0,3,0,0,0,0,9,9,0,0,0,2,22,7,7,0,0,1,4,0,0,0,7,0,7,0,0,0,31,0,21,0,0,0,4,0,0,26,0,0,0,17,52,0,0,20,0,0,0,0,0,2,29,0,0,40,0,0,0,14,0,19,6,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0
2010-08-01,4,0,54,0,0,4,0,0,0,8,8,0,0,0,0,0,31,7,0,7,0,3,3,0,0,0,7,0,0,0,0,0,0,0,59,0,0,0,4,0,0,25,0,0,0,16,33,0,0,19,0,0,0,2,0,2,32,0,0,76,0,0,5,14,0,6,6,0,0,0,0,0,0,39,0,0,0,0,13,0,0,0,25,0,0,19,0,3,7,25,0,0,25,0,0,0,0
2010-09-01,15,0,100,0,0,13,0,2,0,86,8,0,8,0,0,2,27,6,6,18,0,7,7,1,0,6,6,0,6,0,55,0,0,0,0,0,18,2,16,0,2,23,0,69,23,0,15,0,0,18,0,0,18,0,0,0,51,0,0,71,0,0,4,8,0,17,60,0,0,0,0,0,0,46,0,0,18,0,12,0,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0
2010-10-01,19,0,0,0,0,21,0,0,2,100,0,0,0,0,2,0,37,9,6,20,0,17,9,1,0,0,6,6,6,0,0,0,0,0,70,0,18,0,51,0,0,22,0,22,0,0,29,0,0,17,0,17,17,0,2,0,58,0,34,67,0,0,6,18,4,14,38,5,0,0,19,19,0,52,0,0,0,18,18,0,0,0,0,0,11,50,0,3,3,0,0,0,22,0,0,0,0
