date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,mn flu,influenza a and b,remedies for flu,flu season,flu shots,dangerous fever,flu versus cold,how long is the flu contagious,medicine for the flu,treating flu,flu how long,fever cough,flu and cold,flu in mn,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,flu minnesota,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,human temperature,high fever,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,20,0,0,7,0,1,9,3,0,0,7,36,0,0,0,51,0,31,7,7,0,2,14,12,0,31,7,7,0,0,0,34,0,15,22,0,0,2,0,0,8,0,0,39,39,0,0,23,23,0,31,0,0,4,2,4,38,0,27,27,0,4,4,11,4,22,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,55,18,37,0,0,20,0,0,27,0,67
2010-02-01,13,0,0,7,0,0,7,0,0,7,0,22,7,0,0,0,53,18,7,7,7,0,16,15,0,18,0,11,7,0,0,35,0,0,23,0,31,2,0,0,4,0,0,0,0,23,0,47,70,0,0,0,32,0,0,0,35,0,0,56,0,0,4,24,0,9,18,0,0,20,0,0,70,0,0,0,0,0,0,21,21,0,0,0,14,0,29,0,38,0,0,0,0,14,14,0,63
2010-03-01,9,0,0,13,0,0,9,3,0,0,0,0,0,0,0,0,0,7,7,7,0,0,10,10,0,7,0,13,0,32,0,0,32,0,7,0,7,3,0,2,7,0,0,37,0,0,0,0,0,0,30,0,0,2,2,2,46,0,0,52,0,0,4,36,0,13,8,0,0,0,18,0,37,0,0,0,50,0,0,0,20,27,0,0,0,0,35,35,18,0,19,0,0,0,13,0,45
2010-04-01,7,0,0,7,0,0,5,0,0,0,0,0,7,0,0,0,0,7,7,7,0,0,6,8,2,7,0,7,7,0,0,0,0,7,0,0,15,3,0,0,5,0,0,0,0,0,0,34,44,0,0,0,0,0,2,0,44,0,0,54,0,4,0,8,4,9,0,0,9,0,0,0,29,0,0,0,0,0,0,20,0,0,0,14,0,0,18,18,18,0,0,0,0,0,13,13,47
2010-05-01,7,0,0,7,0,0,7,2,0,0,0,0,0,0,55,0,0,7,0,0,0,0,12,7,2,7,0,0,0,36,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,24,36,0,0,0,0,2,0,2,46,0,0,29,0,0,0,4,0,9,0,9,9,0,0,0,31,0,0,0,0,0,22,0,0,0,0,15,0,0,20,20,20,0,0,0,0,0,14,0,29
2010-06-01,3,0,7,14,0,0,3,0,0,0,0,15,0,0,0,0,0,7,0,0,7,2,5,4,0,7,7,0,0,0,0,36,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,34,0,0,0,0,4,0,4,4,9,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,22,0,0,0,0,0,28
2010-07-01,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,14,0,0,2,2,5,0,11,0,7,0,0,0,0,0,16,0,0,0,2,0,0,2,0,0,0,0,24,0,23,35,0,0,0,0,0,2,0,45,0,28,28,0,4,0,4,4,9,0,0,9,0,0,0,30,0,0,0,0,0,0,21,0,0,0,15,0,0,19,0,0,0,0,0,0,0,14,0,21
2010-08-01,8,0,0,7,0,0,3,1,0,0,0,14,0,0,0,0,0,10,0,0,7,0,4,4,0,10,7,7,7,0,0,0,0,15,8,0,23,0,2,0,3,0,0,78,0,0,0,23,45,0,0,0,0,2,0,0,36,0,27,27,0,4,0,8,4,26,0,0,9,20,20,0,39,0,27,0,0,20,0,0,0,0,0,14,0,0,18,0,0,0,0,0,0,0,0,0,67
2010-09-01,18,0,0,7,0,1,3,5,0,0,0,42,0,0,0,0,0,10,0,7,20,0,9,9,2,10,7,7,0,0,0,100,0,15,15,0,15,2,0,0,25,0,0,38,0,0,0,0,22,0,31,0,0,2,2,0,39,0,26,54,0,0,4,19,0,43,0,0,0,0,19,0,28,0,26,0,26,0,0,0,0,14,0,0,0,18,18,36,36,0,0,20,20,0,0,0,72
2010-10-01,26,6,0,0,0,1,9,8,0,0,7,76,0,0,0,0,0,13,10,0,13,2,13,13,0,13,0,26,7,32,0,32,0,7,21,0,0,2,0,0,49,0,0,0,0,0,0,21,0,0,0,0,0,2,0,0,48,0,0,52,0,0,0,7,0,79,8,0,8,0,18,0,18,0,0,0,0,0,0,20,0,0,0,13,0,0,0,0,52,0,0,19,38,0,0,0,89
