date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,flu like symptoms,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,type b flu,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,flu cough,over the counter flu,contagious flu,flu mississippi,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,tamiflu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,type a flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2010-01-01,10,0,0,0,0,0,0,0,0,0,0,0,0,7,38,0,7,0,0,3,3,0,0,0,0,0,45,0,0,0,0,0,0,97,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,29,42,0,0,42,0,0,0,0,0,0,0,16,0,0,0,0,0,35,0,35,0,22,0,0,0,0,97,0
2010-02-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,7,24,0,0,0,0,0,0,0,0,33,0,0,0,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,71,0,0,0,0,0,0,0,30,0,59,30,0,43,0,43,0,0,0,0,0,0,0,25,0,0,60,0,0,0,36,0,0,0,0,23,0,0,0,100
2010-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,3,7,0,0,14,0,0,0,45,0,0,0,32,0,72,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,28,0,0,0,0,83,0,0,0,0,0,0,0,8,0,0,28,0,0,0,0,34,0,0,0,22,0,0,0,0
2010-04-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,9,0,0,0,0,0,92,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,4,0,0,0,0,50,0,0,0,0,0,0,0,53,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
2010-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,31,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,9,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,0,0,5,9,0,0,0,0,0,42,0,0,0,0,30,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,27,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,13,0,0,0,0,0,0,0,100,0,0,0,0,0,19,0,0,0,0,9,5,0,0,0,0,0,41,0,0,0,0,29,0,44,0,0,0,61,0,0,0,0,0,0,75,0,0,0,0,34,0,0,0,0,0,0,63,0,0,22,0,0,0,0,0,0,39,0,38,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,88,0,0
2010-11-01,11,0,0,0,0,0,0,0,49,0,0,0,0,0,18,12,0,0,0,7,12,0,0,25,0,0,0,0,0,0,0,29,0,43,0,43,0,34,0,0,0,0,0,0,0,0,0,100,0,33,0,0,0,0,0,0,62,0,0,22,0,26,0,26,0,0,0,0,38,0,0,0,0,0,0,0,11,0,0,0,0,0,0,31,62,0,0,20,0,0,0,0,0
2010-12-01,12,0,0,0,0,0,0,48,0,0,0,0,0,0,37,12,6,0,0,22,12,0,0,25,12,0,40,0,0,29,0,57,29,43,43,43,0,0,0,0,0,0,73,0,0,0,0,0,0,100,0,33,33,0,0,0,61,0,0,22,0,0,26,26,26,0,0,0,37,0,0,0,0,0,14,11,11,0,0,26,0,0,31,0,0,0,0,0,20,0,0,0,0
2011-01-01,14,74,0,0,0,0,0,0,60,0,0,0,0,0,45,4,0,0,0,7,11,0,0,8,0,0,0,0,0,0,0,36,18,66,0,27,27,5,0,0,5,45,90,0,0,0,0,31,0,20,20,20,0,0,0,0,0,13,27,0,27,0,0,16,16,0,46,0,0,0,87,0,0,0,4,7,9,0,0,16,0,19,0,0,19,0,12,0,18,0,53,0,0
2011-02-01,17,0,0,0,0,0,0,31,0,0,0,0,34,0,43,8,4,0,0,11,17,0,0,16,8,0,26,0,0,37,0,18,19,55,0,28,28,11,0,0,0,47,0,0,0,0,0,0,0,21,0,43,21,0,0,0,0,0,28,28,0,16,0,25,0,24,24,0,36,0,30,0,0,0,5,14,21,0,0,33,0,0,40,20,0,0,0,13,13,0,0,55,55
2011-03-01,7,0,0,0,0,0,0,0,29,32,0,0,0,4,22,6,4,0,0,11,11,0,0,11,0,0,0,0,0,0,0,17,0,52,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,26,0,13,26,15,15,0,0,0,0,0,22,0,0,0,0,0,0,13,7,15,0,0,0,0,0,0,56,0,12,0,12,0,0,0,0
2011-04-01,5,0,0,0,0,0,0,0,30,0,0,0,0,0,23,10,4,0,0,5,4,0,0,19,0,0,25,0,0,0,0,18,0,27,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,0,0,13,0,0,0,0,0,0,0,23,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,19,0,12,12,0,0,0,0,0
2011-05-01,4,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7,7,0,0,6,4,0,0,15,8,0,0,0,0,17,0,0,0,39,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,45,29,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2011-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,35,18,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,20,20,0,0,0,37,0,0,53,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0
2011-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,24,0,61,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,42,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,0
2011-09-01,8,0,0,0,0,0,26,0,27,29,0,29,0,7,25,7,0,0,0,3,3,0,0,14,0,0,22,0,0,0,0,47,0,71,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,12,0,14,0,28,14,0,20,0,31,0,0,0,0,0,0,0,4,14,0,28,0,0,0,0,17,0,0,0,0,0,0,0,0
2011-10-01,13,0,0,0,0,0,0,0,26,0,0,0,0,0,52,3,0,0,0,5,6,0,0,7,0,0,0,0,0,0,0,15,0,23,0,0,0,50,0,0,0,77,0,0,38,0,0,0,0,35,0,18,0,0,0,0,65,12,0,35,12,0,0,14,34,20,0,0,30,0,25,0,0,0,0,4,0,14,0,14,0,0,17,0,25,11,0,0,0,0,0,0,0
2011-11-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,0,0,0,7,10,0,0,7,0,21,42,0,0,0,0,23,0,34,0,45,0,35,0,0,0,38,0,0,0,26,0,0,0,0,17,17,0,0,0,0,0,0,0,23,0,13,0,0,13,0,20,0,39,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
2011-12-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,15,0,44,22,0,0,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,0,11,0,0,13,0,0,0,0,57,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,32,0,10,10,10,0,0,44,0
2012-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,3,45,3,6,0,0,3,7,0,0,6,0,0,0,0,0,0,0,26,0,39,0,0,0,8,0,0,0,0,0,0,100,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,3,5,12,0,0,0,0,14,0,14,9,0,0,0,0,0,0,0
2012-02-01,9,0,0,0,0,0,0,0,23,0,0,0,0,3,51,0,0,0,0,7,9,0,0,0,0,0,19,0,0,0,0,27,0,60,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,28,10,0,10,10,0,0,12,0,0,35,0,35,0,0,0,0,0,0,3,7,0,0,12,0,0,0,0,0,9,9,0,9,0,40,0,0
2012-03-01,7,0,56,0,0,0,0,0,23,0,0,0,0,3,37,3,6,0,1,6,9,6,0,6,6,19,0,0,0,0,0,27,14,50,20,20,0,4,0,0,0,0,34,0,0,0,0,0,0,16,0,16,0,0,0,29,57,0,0,20,0,0,0,12,12,0,0,0,44,0,0,0,22,0,0,7,3,0,0,0,0,0,29,0,15,0,9,0,0,0,0,0,0
2012-04-01,6,0,0,0,0,0,23,0,23,0,0,0,0,3,38,0,6,0,1,4,6,0,0,0,0,19,0,0,0,0,0,14,13,20,0,40,20,0,0,0,0,0,0,0,34,24,0,0,0,0,0,0,0,0,0,29,43,0,0,10,0,12,0,0,12,0,17,0,62,0,0,0,22,0,0,3,5,0,0,0,0,0,0,0,15,0,9,9,0,0,40,0,0
2012-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,4,0,0,2,5,0,0,12,0,0,0,0,0,0,0,14,14,40,0,0,0,0,0,0,4,0,0,0,34,0,0,24,0,16,0,0,0,0,0,0,29,0,10,31,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,7,12,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0
2012-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,5,0,0,3,4,0,0,5,5,0,35,0,0,0,0,19,0,37,0,0,0,4,0,0,0,0,63,0,31,0,0,0,0,14,0,14,14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,3,33,3,3,0,0,3,3,0,0,6,0,0,0,0,0,0,0,13,0,38,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,0,0,0,0,0,0,0,17,0,33,0,0,0,0,0,0,3,3,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2012-08-01,2,0,0,0,0,0,0,0,0,22,0,0,0,0,29,0,5,0,0,1,2,0,0,0,0,0,17,0,0,0,0,25,0,36,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,36,0,0
2012-09-01,7,0,0,0,0,0,0,0,21,0,0,0,0,3,40,5,0,0,0,6,5,0,0,11,0,0,0,0,0,0,0,25,0,28,0,19,0,19,0,0,0,0,32,0,0,22,0,0,0,15,0,15,15,0,0,0,27,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
2012-10-01,16,0,0,0,0,0,0,0,40,0,0,0,0,0,39,6,3,0,0,10,11,5,0,13,0,16,25,0,0,0,0,12,0,35,0,18,0,31,0,0,0,59,0,0,30,0,0,0,0,20,14,14,0,0,0,0,25,0,18,9,0,11,0,0,0,15,15,0,31,0,0,0,0,0,0,3,12,0,0,0,0,13,13,0,13,0,8,0,0,0,35,35,0
2012-11-01,20,0,50,0,0,0,0,0,40,0,0,22,0,2,57,10,3,0,0,16,19,5,0,20,5,16,33,16,0,0,0,0,12,17,0,18,17,21,0,0,3,30,0,0,30,20,0,21,20,14,0,27,0,25,0,25,0,0,9,0,0,11,21,10,21,0,15,0,46,0,19,0,19,0,3,9,18,0,0,10,0,0,19,19,13,0,8,8,0,0,35,0,0
2012-12-01,38,0,100,0,0,0,20,20,20,0,0,44,0,3,50,27,13,0,0,48,41,0,0,54,8,16,25,0,0,0,0,36,12,36,36,35,90,39,0,0,0,0,30,0,30,21,0,0,0,34,14,27,14,0,0,0,25,37,55,18,55,22,0,59,21,0,54,15,61,0,29,20,0,6,3,12,55,0,10,42,0,13,38,25,13,0,8,24,8,0,89,35,36
2013-01-01,35,47,92,0,0,0,0,19,19,20,0,0,20,0,59,20,4,0,0,39,30,5,0,41,10,0,46,0,0,11,0,45,0,33,0,25,0,23,0,0,7,0,28,0,0,19,0,39,19,19,0,26,0,24,0,24,0,17,0,25,17,10,0,10,40,0,72,14,22,0,18,0,37,4,3,25,39,0,10,10,0,0,12,30,24,0,8,11,8,0,66,33,0
2013-02-01,14,0,0,0,0,0,0,0,0,0,0,0,0,2,42,6,7,0,0,24,21,5,0,13,0,0,24,0,0,0,0,12,35,26,0,17,17,7,0,0,3,0,30,0,0,0,0,21,0,20,0,0,0,0,0,0,25,18,9,27,18,10,0,10,0,0,23,0,38,0,19,0,0,0,3,12,22,0,0,10,0,25,25,0,13,16,8,0,0,0,35,0,0
2013-03-01,14,0,0,0,0,0,0,0,0,41,0,0,0,0,44,5,5,0,0,12,13,0,0,10,0,15,16,0,0,0,0,22,28,50,0,33,0,3,0,0,3,28,28,0,42,0,0,20,0,26,13,13,0,0,0,24,24,42,25,59,42,10,0,20,0,0,0,0,36,0,18,0,18,0,0,8,20,10,0,0,0,0,0,12,0,8,0,8,0,0,0,33,0
2013-04-01,9,0,0,0,0,0,0,19,19,0,0,0,0,2,27,5,5,0,1,9,7,0,0,10,5,15,15,0,0,0,0,11,0,17,0,0,0,6,0,0,3,28,28,0,28,0,0,19,0,0,0,0,0,0,0,24,23,0,0,33,0,10,0,20,20,14,14,0,29,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,12,0,8,8,8,0,33,66,0
2013-05-01,6,0,0,0,0,0,0,0,0,21,0,0,0,2,25,7,5,0,0,5,8,0,0,15,0,0,16,0,0,0,0,23,11,25,0,17,0,7,0,0,0,0,0,0,28,0,0,0,0,19,0,13,0,0,0,0,24,0,0,17,0,0,0,10,0,0,44,0,0,0,0,0,18,0,0,4,9,0,0,0,0,0,12,12,0,0,8,0,0,0,33,0,0
2013-06-01,3,0,0,0,0,0,0,0,20,21,0,0,21,0,19,2,2,0,0,1,4,0,0,5,0,16,0,0,0,0,0,12,0,44,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,14,0,0,0,0,0,0,25,0,0,9,0,10,0,10,11,15,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,35,0
2013-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,3,2,0,0,4,0,0,23,0,0,0,0,8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,18,0,0,25,0,0,0,7,0,0,0,0,32,0,0,0,14,0,0,2,2,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2013-08-01,3,0,0,0,0,0,0,0,13,0,0,0,0,2,25,2,2,0,0,3,3,0,0,5,0,11,16,0,0,0,0,16,0,23,0,12,0,5,0,0,0,0,19,0,0,13,0,0,0,9,0,9,0,0,0,0,25,0,0,6,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,8,0,0,5,0,0,0,0,0
2013-09-01,7,0,0,0,0,0,0,0,26,0,0,0,0,0,24,0,0,0,0,4,3,0,0,0,0,0,0,0,0,10,0,21,0,61,0,0,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,22,0,15,0,0,0,0,0,9,0,0,0,33,0,17,0,0,0,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,31,0,0
2013-10-01,16,0,0,0,0,0,0,0,10,0,0,0,0,3,41,6,4,0,0,12,16,0,0,11,2,8,16,0,0,0,0,20,6,34,0,0,13,41,0,0,0,15,15,0,15,0,0,0,0,7,13,7,7,0,0,0,12,9,13,13,13,5,0,8,8,0,8,0,34,9,9,0,0,0,1,7,8,5,0,5,0,0,19,0,6,0,8,4,4,0,17,17,17
2013-11-01,15,0,0,0,0,0,10,0,10,10,0,10,0,0,56,4,2,0,0,14,14,2,0,7,2,16,32,0,0,6,0,14,0,30,0,8,13,27,0,0,0,14,0,0,14,0,0,20,0,10,7,7,7,0,0,0,12,4,0,34,4,10,0,10,10,0,22,0,29,0,28,0,19,1,3,3,9,5,0,10,0,6,6,12,6,4,4,0,6,0,25,0,0
2013-12-01,27,0,27,0,0,0,0,22,27,12,0,24,0,1,53,16,5,0,1,26,30,0,0,32,4,9,27,9,0,6,0,42,6,34,10,29,14,26,0,0,2,16,16,0,16,11,0,11,11,26,7,15,15,14,0,0,14,29,24,24,34,6,6,32,9,0,17,0,25,11,32,0,0,2,3,10,30,17,6,29,0,7,14,24,17,4,4,9,4,0,38,29,19
