date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,flu 2019,incubation period for flu,reduce a fever,flu missouri,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,flu shot walgreens,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,st louis flu,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,exposed to flu,free flu shots,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,12,0,0,0,0,5,0,1,0,15,0,0,0,0,2,30,3,1,0,0,7,3,0,7,0,11,11,0,11,0,0,0,6,15,69,15,15,0,7,0,0,0,0,26,0,0,17,67,34,0,0,0,17,44,22,22,0,0,19,0,19,4,39,0,83,9,14,9,9,0,23,0,23,0,16,0,16,14,14,27,14,0,9,9,0,0,0,15,15,16,32,32,32,0,10,0,68
2010-02-01,9,0,0,0,58,8,0,0,1,4,0,0,4,2,0,41,2,1,0,0,6,0,0,4,0,12,18,0,0,0,13,0,0,0,63,0,16,0,1,0,0,27,0,27,27,0,34,26,17,0,0,0,12,23,0,46,0,0,15,0,20,5,32,0,45,0,9,9,0,0,12,0,24,0,0,0,0,0,0,21,0,0,0,0,0,0,46,15,15,16,49,17,0,10,0,10,75
2010-03-01,9,0,0,0,54,7,0,0,0,0,4,0,0,0,0,40,2,2,0,0,6,3,0,3,0,0,21,0,0,0,0,0,12,14,94,15,0,0,5,0,0,0,25,0,0,0,16,32,0,11,11,0,0,0,0,21,21,0,18,0,9,8,33,0,74,9,9,9,0,11,0,0,33,0,0,0,31,13,0,13,0,0,0,0,0,0,0,14,0,0,0,0,15,0,0,0,64
2010-04-01,6,0,0,0,57,3,0,0,0,0,0,0,0,0,0,27,2,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,6,0,68,0,0,0,3,0,0,26,0,0,0,0,0,17,0,0,0,0,0,22,0,0,0,0,10,0,29,4,9,4,17,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,34
2010-05-01,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,18,52,0,24,0,12,0,24,0,0,0,0,10,0,10,9,14,0,14,0,0,0,0,0,0,0,24,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,51
2010-06-01,3,0,0,0,0,5,0,0,0,5,0,0,0,0,0,24,2,0,0,0,3,4,0,4,4,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,18,37,0,0,0,0,26,0,0,0,0,0,0,0,21,0,14,0,0,10,0,10,20,0,0,0,13,0,0,0,18,0,0,30,0,0,0,20,0,0,17,0,0,18,35,0,0,0,0,11,21
2010-07-01,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26,2,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,27,0,0,0,26,0,0,0,0,0,0,0,23,0,10,15,0,20,5,5,0,18,0,9,0,9,0,0,0,12,0,0,0,17,0,0,0,0,0,0,9,0,0,31,31,16,0,0,17,0,0,0,0,75
2010-08-01,4,0,0,0,0,3,0,0,0,0,0,4,0,2,0,20,2,1,0,1,4,3,0,3,0,0,11,0,0,0,6,0,0,15,30,15,0,0,5,0,0,0,0,0,0,0,17,33,17,0,0,0,0,22,22,0,0,10,10,0,10,4,22,0,0,0,0,0,0,0,0,0,35,16,0,0,0,0,0,13,0,0,9,0,0,0,15,0,0,0,0,0,16,0,0,0,43
2010-09-01,11,0,0,0,55,7,0,0,0,45,4,0,0,0,0,43,4,0,0,0,6,0,0,8,0,11,0,0,0,0,0,0,12,0,45,0,15,0,18,0,1,0,0,0,26,0,0,33,16,0,0,0,0,0,0,0,0,9,0,0,0,4,4,0,9,9,18,0,9,0,0,0,46,0,0,16,0,0,0,0,0,0,0,9,0,0,15,15,15,16,0,0,16,0,10,0,38
2010-10-01,22,0,0,0,0,7,0,1,1,66,0,0,0,0,2,33,3,1,0,0,10,0,0,7,0,11,11,0,11,0,0,0,6,29,44,0,15,0,31,0,1,0,25,25,25,0,32,24,0,11,0,0,0,0,0,0,0,0,23,0,9,8,17,0,8,9,0,0,0,0,0,0,33,0,0,0,0,0,13,0,0,0,26,0,0,0,14,0,0,0,15,15,38,9,9,0,46
