date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,food poisoning,influenza a,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,flu map,treatment for flu,taking temperature,exposed to flu,keto flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,23,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,48,0,0,0,52,0,0,0,0,0,0,0,0,0,44,0,0,44,47,0,27,14,0,0,51,0,0,0,0,100
2010-02-01,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,0,53,0,0,12,8,0,0,0,0,24,0,0,0,0,38,69,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,15,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,51,0,0,0,0,0,0,29
2010-03-01,7,0,0,22,0,0,6,0,0,0,0,0,0,0,0,0,33,0,48,0,0,0,0,0,0,22,0,33,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,17,7,14,0,0,0,0,0,0,48,0,0,0,0,43,0,0,0,0,41,0,0,41,44,0,0,0,0,0,47,0,0,0,0,53
2010-04-01,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,42,0,0,0,0,15,0,0,0,23,0,0,0,0,0,0,37,100,0,34,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,11,0,0,0,0,0,0,51,0,0,45,0,0,0,0,0,0,0,0,0,0,66,0,0,13,0,0,0,0,0,0,0,0
2010-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,41,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,47,22,0,0,0,0,0,0,0,0,0,0,31
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,13,0,0,0,0,0,0,0,0,60,0,0,0,54,54,0,0,0,0,52,0,0,0,16,0,0,0,0,0,0,0,0,0,0,67
2010-07-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,60,0,0,9,0,0,0,0,0,27,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,99,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,29,56,0,0,0,16,0,0,8,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,0,0,51,0,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,47,22,0,0,0,0,0,0,0,31,0,0,46
2010-09-01,20,0,0,0,0,0,3,0,0,21,22,0,0,0,0,0,20,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,38,68,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,48,0,52,0,0,0,46,0,0,0,0,0,50,0,44,0,0,44,34,0,0,0,0,0,0,51,29,0,0,43
2010-10-01,25,0,0,0,0,0,10,0,0,0,32,0,0,0,0,0,39,0,0,0,0,11,0,0,15,23,0,0,0,0,0,0,0,34,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,18,0,0,93,0,0,0,77,0,0,0,45,0,0,0,0,0,0,0,0,86,60,0,0,0,0,0,0,100,0,0,0,56
