date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,flu symptoms 2018,human temperature,spanish flu,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,flu test,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,flu map,treatment for flu,cdc flu,taking temperature,flu shot symptoms,flu contagious,flu length,bronchitis,symptoms of bronchitis,boston flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,19,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,6,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,29,59,100,22,22,0,0,0,0,0,95,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13,0,80,0,0,0,0,0,0,0,36
2010-02-01,14,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,9,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,35,0,0,0,0,0,0,31,82,23,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,84,0,0,0,0,0,0,0,0,76
2010-03-01,9,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,10,0,4,6,0,0,0,30,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,28,28,32,21,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,77,0,0,0,0,0,0,0,0
2010-04-01,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,33,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,8,0,0,0,29,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,19,0,0,0,0,0,0,0,0,0,36
2010-05-01,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,10,10,0,4,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,31,23,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,59,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2010-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,48,0,11,0,0,4,4,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,9,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,31,24,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,58
2010-08-01,5,0,0,0,0,0,0,0,0,0,0,0,0,41,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010-09-01,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0,37,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,41,0,0,0,0,0,29,29,0,22,22,0,0,0,48,0,70,0,0,0,0,0,0,0,0,0,56,0,0,0,0,51,0,0,79,0,0,0,0,0,0,72
2010-10-01,14,0,0,0,0,0,0,0,38,0,0,0,0,23,9,9,0,0,7,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,27,0,21,82,0,0,0,0,0,45,44,0,0,44,0,34,0,0,0,0,52,0,0,12,0,12,0,0,0,0,0,51,0,0,0,100
2010-11-01,9,0,100,0,0,0,0,0,0,0,0,0,0,33,0,0,0,4,9,4,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,28,62,42,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,52,0,0,0,34
2010-12-01,9,0,0,0,0,0,38,0,0,0,0,0,0,28,0,0,0,0,7,4,4,0,0,14,14,0,0,0,0,30,0,30,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,27,21,21,0,0,0,0,0,0,65,43,0,43,0,0,0,34,0,0,52,0,0,12,0,60,0,0,74,73,0,0,0,0,0,67
2011-01-01,12,0,0,0,0,0,0,0,21,0,0,63,0,46,0,0,5,0,4,7,0,0,8,16,0,0,0,61,0,17,0,17,0,0,0,6,0,0,0,0,0,10,0,0,11,0,0,0,0,0,74,0,0,38,0,0,0,0,0,0,60,0,11,11,0,0,0,0,0,24,0,0,0,0,0,0,0,0,29,0,0,7,7,0,20,41,0,0,0,0,28,0,0,0,46
2011-02-01,10,0,0,0,0,0,0,0,0,0,0,0,0,38,5,13,5,0,12,13,0,8,0,17,0,0,0,65,0,36,18,18,0,0,0,5,0,0,0,0,0,0,0,0,12,0,36,0,0,0,40,40,0,38,0,0,5,0,16,48,64,12,24,12,0,0,0,0,0,0,38,0,0,0,59,0,0,31,0,30,0,0,7,0,28,43,0,0,65,30,0,0,0,0,20
2011-03-01,9,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,5,2,8,5,0,0,0,8,8,0,0,60,0,16,16,16,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,36,0,0,37,0,0,0,0,0,43,36,0,0,22,0,0,0,0,0,23,0,0,0,0,54,0,0,28,0,28,0,0,0,0,29,59,0,0,0,27,0,0,27,0,0
2011-04-01,8,0,0,0,0,0,21,0,0,0,0,0,0,44,0,10,0,0,4,4,0,0,0,8,8,0,0,64,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,0,0,0,0,0,41,0,0,0,0,15,30,31,11,12,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,29,0,0,0,34,41,0,0,0,0,0,0,0,0,56
2011-05-01,3,0,0,0,0,0,0,0,21,0,0,0,0,46,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,17,0,34,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,37,0,79,0,0,0,0,0,0,30,11,0,0,0,0,0,25,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,0,41,41,0,0,0,0,0,28
2011-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,15,12,0,12,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,19
2011-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,4,0,0,0,16,12,0,0,0,0,0,26,0,37,0,0,0,0,0,0,0,0,0,30,0,0,0,0,24,42,0,0,0,0,0,0,0,0,19
