date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,nj flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu in nj,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,cold,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,fever,over the counter flu medicine,the flu symptoms,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,symptoms of bronchitis,what is the flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,17,51,0,51,0,0,0,0,4,0,23,0,0,0,8,51,7,1,0,1,9,6,5,0,11,15,0,6,0,6,0,0,29,69,0,11,0,12,0,0,0,43,22,0,0,48,0,0,21,20,100,0,0,0,0,16,47,1,0,56,1,3,100,27,8,1,0,0,51,0,26,20,0,0,5,8,23,0,4,5,0,0,0,0,56,9,17,9,0,12,12,0,12,0,51
2010-02-01,9,0,0,0,0,0,0,4,4,0,0,0,0,0,6,48,3,1,0,1,7,4,2,0,5,14,0,3,0,6,0,0,26,63,11,11,12,4,0,0,0,22,22,0,0,16,0,0,0,0,20,20,0,0,0,0,31,1,0,47,0,3,65,14,3,1,1,0,46,0,9,13,4,5,0,5,12,1,1,3,0,0,2,0,47,26,9,0,9,12,0,0,0,6,45
2010-03-01,6,0,0,46,0,0,0,0,0,0,21,0,0,0,5,34,1,0,0,0,2,0,2,0,2,7,3,0,0,5,0,5,13,42,0,16,10,2,0,0,0,0,0,20,0,43,0,0,0,0,0,0,0,0,0,0,43,0,0,41,0,0,27,6,2,0,0,0,44,0,10,18,8,5,0,5,5,0,1,3,0,0,4,0,38,8,8,0,16,10,0,0,0,0,31
2010-04-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,3,0,0,0,2,4,0,0,0,0,0,0,17,33,0,22,11,2,0,0,0,0,0,0,0,26,0,0,0,0,19,0,19,0,0,15,30,0,0,39,0,0,27,5,2,0,0,0,56,0,8,21,0,0,0,5,15,0,1,2,1,0,0,0,42,8,8,17,0,0,0,11,0,0,22
2010-05-01,4,0,0,0,0,4,0,0,4,0,0,0,0,0,1,33,1,1,0,1,3,0,0,0,2,8,0,3,0,0,0,6,9,57,0,11,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,40,0,0,0,16,47,0,0,42,0,0,13,3,0,0,0,0,47,0,4,22,0,0,0,5,5,0,1,0,0,0,0,0,21,9,26,0,0,0,0,0,0,0,17
2010-06-01,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,24,3,1,0,1,3,0,2,0,5,5,0,3,0,6,0,0,15,35,0,0,0,1,0,0,0,0,0,0,0,49,11,0,0,0,0,30,0,0,0,0,47,0,0,39,0,0,17,4,0,0,0,0,47,0,9,11,0,0,0,0,5,0,1,0,0,0,0,0,38,0,0,9,0,0,0,0,0,0,51
2010-07-01,3,0,0,0,0,0,0,4,0,22,0,0,0,0,1,26,0,0,0,0,1,2,0,0,0,3,3,3,0,6,0,6,17,32,0,0,0,1,0,0,1,0,0,0,0,35,0,0,0,19,0,38,0,0,0,15,0,0,0,36,0,0,12,2,0,0,0,0,45,0,0,8,4,0,0,0,7,0,0,2,0,0,2,0,12,8,8,0,8,11,0,0,0,0,16
2010-08-01,4,0,0,0,0,0,4,0,4,0,0,0,0,0,2,21,0,0,0,0,3,2,0,0,0,0,3,3,0,0,0,0,11,22,0,11,0,6,0,0,0,0,0,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,2,12,11,2,0,0,0,48,0,4,14,0,0,0,5,5,0,1,1,1,0,0,0,18,8,8,0,0,0,11,0,0,0,27
2010-09-01,12,0,0,0,0,0,4,0,13,0,0,0,0,0,9,43,3,1,0,1,5,6,2,0,6,7,0,3,0,6,6,0,9,50,0,11,0,12,0,0,0,0,21,0,0,47,0,0,0,0,19,0,0,0,0,0,30,0,0,38,0,5,13,25,3,0,0,1,45,0,13,17,0,0,0,5,12,0,1,1,1,0,0,0,41,8,9,8,0,0,17,0,0,0,55
2010-10-01,19,0,0,0,0,0,4,0,7,0,0,0,0,0,9,34,3,0,0,0,10,3,0,0,4,9,6,3,0,22,0,0,6,38,0,22,0,38,0,0,0,0,0,21,0,25,10,0,10,38,0,19,0,0,0,0,30,0,0,38,1,2,6,38,0,0,0,0,49,0,4,10,8,0,0,0,14,0,1,2,0,0,0,0,39,16,25,8,16,0,66,22,0,0,59
2010-11-01,14,0,0,0,0,0,0,4,6,0,23,0,0,0,5,42,3,1,0,0,8,4,4,0,5,10,0,6,0,11,0,0,22,33,0,33,11,23,0,0,0,21,0,0,0,21,10,0,15,0,0,0,19,0,0,0,30,1,0,48,0,2,10,17,0,0,0,1,62,4,4,27,8,0,0,5,7,1,2,0,1,0,4,0,50,29,8,8,17,11,100,0,11,5,38
2010-12-01,12,0,0,0,0,0,4,4,11,0,0,23,0,0,3,53,5,1,0,0,8,3,0,0,9,7,0,4,0,8,0,0,20,66,0,22,22,11,0,0,0,0,41,0,0,36,0,0,10,0,19,0,0,0,0,15,15,0,0,56,0,4,12,9,5,0,0,0,48,4,6,23,8,10,0,5,14,0,2,3,1,0,4,2,32,8,12,17,17,22,33,0,33,0,59
2011-01-01,15,0,37,74,0,3,3,0,6,17,17,17,34,1,13,60,7,1,0,0,11,7,3,0,11,20,0,3,2,12,4,4,25,33,8,29,29,11,0,0,0,0,0,15,0,34,11,0,19,0,21,43,14,0,0,0,11,1,0,57,1,5,18,13,4,2,0,0,57,0,34,25,9,16,0,5,13,2,4,7,1,0,7,0,65,15,22,19,19,8,25,0,0,4,36
2011-02-01,14,0,0,80,0,0,3,3,5,0,18,0,0,0,5,52,4,1,0,1,12,4,4,0,7,23,4,7,2,9,0,5,21,13,0,27,13,5,0,0,0,0,0,34,0,42,8,0,25,0,23,47,0,0,0,0,49,1,0,51,1,7,11,8,3,1,0,0,76,0,20,20,7,4,4,4,31,1,3,7,2,2,3,0,63,7,14,24,14,18,9,0,9,0,57
2011-03-01,9,0,0,0,0,3,3,0,3,82,0,0,33,0,6,48,6,1,0,0,7,6,3,0,10,6,2,6,2,8,0,8,12,32,0,16,16,6,0,0,0,15,0,45,0,45,0,0,7,14,28,0,0,11,0,11,33,0,0,48,1,5,14,5,4,1,0,0,54,0,15,23,6,5,0,5,21,0,3,4,0,0,1,0,43,9,9,0,12,16,8,0,0,0,59
2011-04-01,7,0,38,0,0,0,6,0,0,0,0,0,0,0,4,42,3,0,0,0,4,2,3,0,4,9,2,2,0,4,0,0,13,65,9,17,0,4,0,0,0,33,16,0,0,56,8,0,0,0,15,60,15,0,0,0,0,0,0,43,0,4,14,7,4,0,0,1,55,0,15,13,5,4,0,8,11,0,2,1,0,0,0,0,39,0,7,13,10,0,0,0,9,0,55
2011-05-01,5,0,0,0,0,0,0,3,6,0,0,0,0,0,2,44,1,1,0,1,3,3,0,0,2,3,2,3,0,4,0,0,17,50,0,8,0,1,0,1,0,0,0,0,0,31,0,0,0,14,22,14,0,0,0,11,23,0,0,47,0,2,9,8,2,1,0,0,56,0,16,17,3,0,0,0,4,0,1,1,0,0,2,0,36,13,19,6,6,0,8,0,0,0,53
2011-06-01,4,0,0,0,0,0,0,0,6,17,0,0,17,0,1,42,0,1,0,0,3,5,2,0,0,9,2,3,0,4,0,0,17,54,8,12,0,0,0,0,0,16,0,0,0,58,0,0,8,14,0,14,29,0,0,0,11,0,0,47,0,0,4,2,2,0,0,0,54,0,8,9,3,0,0,0,4,1,1,1,1,0,0,0,24,6,9,6,6,0,0,0,0,0,32
2011-07-01,3,38,0,0,0,0,3,0,3,17,0,0,0,0,2,35,1,0,0,0,1,0,0,0,2,0,2,2,2,0,0,0,24,34,0,8,0,2,0,0,0,32,0,16,0,27,0,0,8,0,0,15,0,0,0,0,69,0,0,43,0,0,6,4,0,0,0,0,40,0,3,13,3,0,0,4,15,0,1,1,0,0,0,0,21,6,0,0,6,17,0,8,0,0,33
2011-08-01,4,0,0,0,0,0,0,3,0,16,16,0,0,0,2,31,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,16,55,0,0,0,4,0,0,0,0,0,0,0,33,0,0,7,0,0,14,0,0,0,0,11,0,0,34,0,0,4,8,0,0,0,0,44,0,3,21,3,3,0,3,7,0,0,2,1,0,0,0,23,0,0,0,6,8,8,0,0,0,42
2011-09-01,10,0,0,0,0,0,0,0,4,0,0,0,0,0,10,37,2,1,0,0,4,6,3,0,3,3,2,7,0,0,0,0,14,35,0,32,8,22,0,0,0,15,0,0,0,26,0,0,7,14,0,0,14,0,0,0,32,0,0,44,0,4,8,29,2,0,0,0,50,0,6,24,3,3,0,7,7,1,1,1,0,0,0,0,37,9,6,0,6,0,40,0,8,0,57
2011-10-01,18,0,0,0,0,0,0,0,4,0,31,0,0,0,14,51,4,1,0,0,9,10,2,0,6,8,2,6,0,12,0,0,17,69,0,27,0,43,0,0,0,14,43,14,0,32,0,0,7,0,13,27,26,0,0,0,21,1,0,48,1,4,8,36,3,0,0,0,50,0,13,20,6,0,0,3,15,0,1,2,1,0,3,0,53,12,12,14,12,8,69,0,0,0,41
2011-11-01,11,0,0,0,0,0,3,3,7,0,0,0,0,0,7,61,4,1,0,0,7,4,2,0,6,9,2,4,2,8,0,0,19,53,8,8,8,20,0,0,0,0,0,0,0,32,0,0,7,0,13,27,13,0,0,0,10,0,0,51,0,3,10,9,2,0,0,1,49,0,6,19,3,0,0,3,5,1,1,1,1,0,3,0,66,17,6,29,6,0,12,0,0,0,71
