date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,flu in new mexico,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,11,0,0,0,0,0,0,0,0,22,0,0,0,0,0,68,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,20,0,68,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,45
2010-02-01,8,0,0,0,0,0,0,0,0,23,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,69,0,0,49,0,0,0,0,0,0,100,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,100,40,0,59,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,17,0,50,0,0,91,0,0,0,0,0,0,46
2010-03-01,3,0,0,0,0,0,0,0,0,0,21,21,0,0,0,28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,12,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2010-04-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,16,88,0,0,0,88,0,0,0,0,88
2010-05-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,66,0,0,0,36,98,0,0,0,0,0,0,0,0,49
2010-06-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2010-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,18,100,0,0,0,100,0,0,0,0,100
2010-08-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,9,0,0,0,0,0,0,0,0,57,0,0,0,0,0,40,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,46
2010-10-01,21,0,0,100,0,0,0,0,0,100,0,0,0,0,0,49,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,67,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,12,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,30,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,100,0,0,0,55,0,0,0,0,0,19,19,58,0,0,0,0,0,0,0,0,0,88,0,0,0,59,0,0,0,0,16,0,0,0,0,0,90,0,0,0,90
