date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,nc flu,how long does the flu last,flu virus,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,cdc flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,14,0,0,0,0,0,0,0,6,0,0,0,0,2,52,3,2,0,0,9,12,0,6,3,21,25,0,0,37,0,0,49,0,0,26,17,17,0,0,0,2,33,17,0,0,0,0,17,0,10,0,0,0,32,0,0,0,0,11,0,3,22,4,100,28,0,13,6,0,5,0,15,28,0,13,0,13,0,8,15,15,0,0,6,13,57,0,6,3,18,0,12,0,0,0,39
2010-02-01,12,0,0,51,0,0,0,0,6,0,0,0,0,0,39,2,3,0,0,6,11,0,3,0,12,13,0,0,0,0,0,7,7,0,36,0,18,0,0,0,2,34,0,0,35,17,0,17,0,10,0,10,0,48,0,0,0,0,10,0,10,35,0,69,12,7,10,0,0,10,10,5,26,0,0,0,0,0,0,16,8,0,0,7,10,64,0,6,0,13,19,13,0,0,0,56
2010-03-01,8,0,0,47,0,0,0,0,0,0,26,0,0,0,43,2,0,0,0,7,9,0,4,0,8,0,0,0,12,0,0,0,0,0,17,17,0,0,0,0,0,0,16,0,32,16,0,0,0,0,0,10,10,34,0,0,0,3,8,3,6,29,4,24,8,0,0,0,0,0,0,5,22,0,13,0,20,0,0,0,0,9,0,13,0,53,0,3,6,0,0,0,0,8,0,68
2010-04-01,5,0,0,0,0,0,0,0,6,0,0,0,0,0,45,2,5,0,0,1,3,0,3,0,3,0,0,0,27,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,32,0,0,0,0,7,3,7,15,0,21,6,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,7,0,37,0,3,0,0,0,0,0,0,0,54
2010-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,2,4,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,11,11,0,0,28,0,0,0,0,7,0,4,7,0,16,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,7,0,0,0,29,0,8,0,14,0,0,0,0,9,44
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,2,0,0,1,2,0,3,0,3,29,0,0,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,4,0,0,5,0,7,0,8,0,0,0,0,6,6,15,0,16,0,0,0,0,0,9,8,0,0,0,21,0,4,0,0,0,0,0,0,0,55
2010-07-01,3,0,0,0,0,0,0,0,6,0,28,0,0,0,22,0,2,0,0,0,2,0,0,0,3,26,0,0,0,0,0,22,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,7,3,7,6,0,8,13,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,0,13,0,0,0,20
2010-08-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,3,3,0,6,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,34,0,0,0,0,9,0,0,10,0,6,12,0,6,0,0,5,0,5,10,0,13,0,0,0,0,0,0,6,0,6,6,22,0,6,0,12,0,0,0,0,8,53
2010-09-01,10,0,0,0,0,0,6,0,6,0,0,0,0,2,33,2,2,0,0,5,5,0,4,0,8,36,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,16,16,0,16,16,0,0,0,0,0,9,0,52,0,0,0,0,18,4,4,8,6,10,29,0,0,0,6,0,0,5,19,0,0,0,13,0,0,0,0,0,0,6,0,28,0,6,6,12,0,12,0,0,0,67
2010-10-01,17,47,0,94,0,0,0,0,23,0,26,0,0,0,45,2,2,0,0,12,6,0,3,3,4,12,0,0,12,0,0,14,0,0,17,17,17,0,0,0,0,0,0,0,16,0,0,0,16,0,9,28,9,39,0,0,0,3,16,3,4,15,8,12,56,0,12,0,12,10,0,19,15,0,13,0,0,0,0,15,0,0,0,12,12,45,0,6,4,0,18,0,0,0,0,56
