date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,oklahoma flu,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu type a,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,flu in oklahoma,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,11,0,0,11,2,0,0,9,0,0,0,0,17,0,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,19,13,0,100,0,0,17,0,0,0,50,0,0,0,0,15,0,0,4,0,0,7,0,25,17,0,34,0,0,30,0,0,0,76
2010-02-01,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,47,5,0,0,0,0,5,0,0,2,14,0,0,0,17,0,0,26,0,0,38,0,0,0,0,0,14,0,0,0,0,0,0,0,40,0,0,0,0,0,100,0,37,0,37,0,39,13,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,30,35,0,0,0,31,0,0,0,0,23
2010-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,17,0,0,0,24,0,0,12,0,17,17,0,24,0,24,0,0,0,0,0,0,0,4,0,0,7,0,31,0,16,0,0,0,0,0,58,0,42
2010-04-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,11,0,0,0,6,0,0,0,0,0,9,0,0,0,0,33,0,0,0,0,4,0,0,0,0,0,0,0,0,44,0,0,0,19,19,38,0,0,0,0,0,0,18,0,19,0,12,50,0,0,0,0,25,0,37,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,44
2010-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,79,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,20,0,0,0,14,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,0,0,0,0,0,0,47
2010-06-01,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,50,49,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,28,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,25
2010-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,50,0,0,0,19,0,0,0,13,0,0,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,15,18,18,0,0,0,0,0,0,0,80
2010-08-01,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,25,0,0,11,0,0,3,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,12,0,0,19,0,0,0,0,0,0,25,0,0,0,15,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,32
2010-09-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,31,0,0,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,16,0,0,0,0,0,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,17,0,0,0,0,24,0,0,14,0,0,0,0,0,0,7,0,38,0,0,16,0,0,0,0,0,0,42
2010-10-01,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,27,5,10,10,0,0,9,0,0,2,9,9,9,0,0,0,0,16,35,0,0,0,29,0,0,0,13,0,0,13,0,42,0,0,0,0,37,0,0,0,0,0,17,0,17,0,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,14,0,4,4,0,0,0,0,10,0,16,16,0,0,29,0,0,0,42
