date,flu,flu recovery,having the flu,flu rhode island,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,cvs flu shots,is the flu contagious,do i have the flu,flu in ri,cold versus flu,incubation period for the flu,flu vs cold,flu type a,flu care,flu headache,flu vs. cold,human temperature,high fever,cvs flu shot,spanish flu,flu treatments,cold vs flu,influenza type a,dog flu,influenza symptoms,the flu virus,how to treat flu,reduce fever,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,fever flu,stomach flu,how long does flu last,swine flu,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,flu map,treatment for flu,taking temperature,exposed to flu,flu symptoms 2019,keto flu,flu length,bronchitis,get over the flu,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-01-01,24,0,0,72,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,33,0,100,0,100,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,100,0,48,0,0,0,49,0,0,0,51,52,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,38
2010-02-01,10,0,0,94,0,0,0,100,0,0,0,0,0,0,31,0,0,0,0,10,5,0,0,0,0,66,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,33,0,0,0,0,0,0,47,0,0,0,51,0,0,12,0,0,0,0,0,0,0,43,0,0,48,0,0,0,0,0,0,37
2010-03-01,10,0,0,44,0,0,0,0,0,0,0,0,0,0,43,10,0,0,0,5,7,0,19,0,19,0,0,0,61,0,0,0,30,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,30,0,38,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,34
2010-04-01,11,0,0,46,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,5,10,0,0,0,20,65,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,32,0,0,0,0,0,47,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
2010-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,11,0,0,5,5,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,15,0,0,0,0,0,0,0,0,0,39
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2010-07-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,18,0,0,0,0,0,52,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2010-08-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,16,0,0,44,0,0,0,94,0,0,0,0,0,0,19,0,0,0,0,10,7,0,0,0,0,0,0,0,61,0,30,0,30,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,40,0,0,0,45,0,0,0,0,0,35
2010-10-01,22,0,0,41,0,0,0,0,0,0,0,0,0,0,46,18,0,0,0,9,14,0,37,0,18,59,0,0,88,0,0,0,29,0,0,0,0,53,0,0,0,0,60,0,0,69,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,14,0,0,0,0,0,43,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0,0,0,0,0,0
2010-11-01,20,0,0,42,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,60,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,43,0,0,0,0,0,100
2010-12-01,15,0,0,42,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,9,9,0,0,0,19,0,0,0,0,0,29,30,29,0,0,0,0,0,0,0,55,0,0,0,0,70,69,0,0,0,72,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,44,44,0,0,0,46,0,11,0,0,0,0,0,0,0,0,26,0,0,44,0,0,0,0,0,0,34
2011-01-01,11,0,0,29,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,8,10,0,0,0,0,41,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,0,0,0,0,44,0,44,0,0,0,31,32,0,14,7,0,0,0,0,0,0,0,26,0,0,0,0,0,0,23,23,0,23
2011-02-01,19,0,0,30,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,13,8,0,20,0,13,0,0,0,0,0,21,21,21,0,0,32,0,38,0,0,0,43,0,0,0,49,49,0,0,0,0,0,0,0,59,0,59,0,0,35,0,0,16,0,21,0,30,0,0,0,30,61,0,0,0,0,0,11,7,0,0,0,0,0,0,0,37,0,9,62,0,0,0,0,24,0,48
2011-03-01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,3,8,0,0,0,12,0,0,0,39,0,19,0,19,58,0,29,29,35,0,0,35,0,0,0,0,0,44,0,44,0,46,0,0,0,0,0,0,0,0,0,0,0,24,0,10,0,0,0,0,0,28,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,22
2011-04-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,5,5,0,0,0,0,0,0,0,0,0,20,0,20,30,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,56,0,34,34,0,0,20,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,67
2011-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,0,0,0,12,40,0,0,0,0,0,0,30,60,0,30,0,0,0,0,0,0,0,0,0,47,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,34
