date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,symptoms of bronchitis,oscillococcinum,bronchitis,contagious flu,flu fever,influenza,influenza incubation period,stomach flu symptoms,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,dog flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,i have the flu,fever flu,how long does the flu last,cold vs flu,cure the flu,signs of flu,flu care,flu children,influenza a and b,thermoscan,flu treatment,influenza a,cdc flu map,the flu virus,how long does flu last,human temperature,is flu contagious,flu symptoms,flu symptoms in kids,flu symptoms 2019,dangerous fever,body temperature,flu cough,keto flu,how long flu,fever cough,ear thermometer
2010-01-01,14,0,0,0,0,0,10,58,0,0,0,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,100,0,0,93,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,0,62,0,0,58,0,0
2010-02-01,22,0,73,14,0,0,10,0,100,0,0,26,0,0,4,0,0,47,0,0,47,0,0,0,0,0,0,39,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,31,0,0,0,61,0
2010-03-01,9,0,27,13,0,0,0,0,0,0,0,24,0,0,4,0,0,43,0,0,43,0,0,0,0,0,0,72,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,10,0,0,35,0,0,10,0,0,100,0,37,0,0,4,0,0,0,0,88,0,0,0,0,0,0,100,53,80,0,0,0,40,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,81,0,0,0,0,0,61,0,0,0,0,0
2010-05-01,9,0,32,15,33,0,11,0,0,0,94,28,0,0,4,0,0,100,0,0,100,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,19,0,0,0,100,0,0,0,0,0
2010-06-01,5,0,35,0,0,0,0,0,0,0,0,62,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,31,0,0,0,38,0,0,0,0,0
2010-07-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
2010-08-01,13,63,62,0,0,59,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,33,0,0,0,0,0
2010-09-01,23,57,0,0,0,0,20,56,0,0,0,37,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,46,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,45,0,0,56,0,0
2010-10-01,33,0,0,13,0,0,38,0,0,0,0,36,0,0,7,0,0,43,0,0,43,0,0,0,0,0,0,86,76,0,0,47,38,0,0,0,0,0,0,0,0,0,0,94,72,0,0,16,0,0,0,0,0,39,0,0,0,29,0,0,0,0,0
2010-11-01,27,0,25,25,0,0,18,51,0,0,0,44,0,100,9,0,0,41,0,0,41,0,0,0,0,0,0,47,0,0,0,0,35,20,0,0,0,100,0,0,0,0,0,0,0,0,100,8,0,0,0,0,0,0,0,0,0,27,0,0,51,0,87
2010-12-01,25,0,25,25,0,0,26,0,0,0,0,44,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20,0,86,0,0,69,10,61,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,27,0,0,0,0,0
2011-01-01,16,0,59,20,0,0,14,40,0,0,0,17,0,78,14,0,0,32,0,62,32,0,0,0,0,0,0,53,56,0,0,35,0,16,0,0,100,78,0,0,0,0,0,70,0,0,79,6,0,76,0,0,0,23,0,0,0,21,67,0,40,42,0
2011-02-01,26,0,41,0,0,40,7,42,0,0,0,46,100,0,32,80,0,0,100,0,0,100,0,0,0,0,0,89,0,0,0,37,0,50,34,0,0,0,0,0,0,0,0,73,0,0,41,28,0,0,0,0,0,12,0,0,0,34,0,0,42,44,0
2011-03-01,15,58,38,9,0,0,0,0,0,0,0,42,0,74,14,0,52,0,0,29,0,90,0,0,0,0,0,86,53,0,0,0,0,19,0,0,0,74,0,0,0,0,0,0,52,93,0,14,0,0,0,0,0,17,0,0,0,31,0,0,0,0,0
