date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu type a,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,tamiflu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,10,0,0,0,0,0,0,0,19,0,0,0,0,0,8,54,6,1,0,1,2,0,0,10,0,0,24,0,0,0,11,11,0,0,0,0,0,0,0,0,3,0,0,0,0,53,0,0,27,0,40,20,20,0,26,0,0,0,0,35,35,19,0,34,10,0,0,0,92,0,0,20,15,0,0,0,0,0,0,3,6,0,0,0,12,36,0,0,0,0,24,0,0,0,0,62
2010-02-01,8,0,0,0,0,0,0,0,19,0,0,0,0,0,0,55,4,2,0,0,6,0,0,8,0,0,37,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,14,0,56,0,0,0,0,0,0,0,0,29,3,0,36,0,18,0,20,0,20,0,0,0,0,92,0,0,31,21,0,23,0,0,0,0,0,9,0,0,0,0,45,0,11,0,0,0,0,0,0,0,16
2010-03-01,7,46,0,0,0,0,0,0,18,0,0,0,40,0,0,52,3,0,0,1,5,0,0,5,0,0,0,23,0,11,0,27,0,0,30,30,30,0,0,0,0,0,13,0,0,38,0,0,0,0,19,19,19,0,48,0,0,17,0,33,0,23,9,9,0,0,0,0,100,0,0,19,14,0,43,0,0,0,0,0,6,12,12,0,12,32,0,5,5,0,0,23,0,15,0,30
2010-04-01,4,0,48,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3,32,0,0,18,17,0,0,19,10,10,0,0,0,0,91,0,0,0,10,0,0,0,23,0,0,0,0,0,0,0,12,13,0,0,0,0,24,0,0,0,0,63
2010-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,21,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,21,0,0,0,0,0,0,0,0,0,13,0,0,35,0,0,0,0,0,0,0,0,0,32
2010-06-01,4,0,0,0,0,0,0,0,0,44,0,0,0,0,3,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,24,0,0,34,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,33,0,0,19,0,0,0,21,0,10,0,0,0,0,92,11,0,11,0,0,0,0,24,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,83
2010-07-01,2,0,0,0,0,0,0,0,0,0,42,0,0,0,0,23,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,21,0,0,0,36,0,0,18,0,0,0,20,0,0,10,0,0,0,86,0,0,0,15,0,0,0,23,0,0,0,0,13,0,0,0,18,0,0,0,0,0,0,0,0,0,64
2010-08-01,3,0,0,0,0,0,0,0,35,0,0,0,0,0,3,32,0,1,0,0,1,0,0,0,0,0,23,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,61,0,0,17,0,16,0,14,0,18,0,0,0,0,76,0,0,0,10,0,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,45
2010-09-01,9,0,0,0,44,0,0,17,17,0,0,0,0,0,5,45,6,1,0,0,5,0,0,12,0,0,22,0,0,0,0,21,11,0,29,0,29,0,0,0,0,0,0,12,0,25,25,0,0,0,0,0,0,0,36,0,0,24,0,24,16,9,9,50,0,0,0,0,85,0,0,9,46,0,0,0,0,0,0,3,3,11,0,0,0,26,0,5,0,0,0,23,0,0,0,44
2010-10-01,20,0,44,0,0,0,0,0,17,38,0,0,0,0,5,54,3,1,0,0,10,0,0,5,0,0,22,0,0,0,0,31,0,29,29,0,0,0,0,0,3,0,0,0,0,73,0,0,25,0,0,0,0,0,63,0,0,16,0,16,0,27,0,85,0,1,0,0,76,9,0,14,23,0,0,0,0,0,0,5,0,28,11,0,34,26,0,7,14,0,0,22,23,0,0,43
2010-11-01,14,0,0,0,0,0,0,0,17,0,0,0,0,0,2,51,0,1,0,0,8,0,0,0,0,0,22,0,0,10,0,10,0,0,28,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,36,18,2,58,0,0,16,0,16,0,13,0,22,9,0,0,0,80,0,0,31,22,0,0,0,0,0,0,0,0,11,11,0,11,30,0,5,5,22,44,22,0,0,0,28
2010-12-01,12,44,0,0,0,0,0,34,0,38,0,0,0,3,5,56,0,1,0,0,8,5,0,0,5,22,22,0,22,0,10,31,10,0,57,0,0,0,0,0,0,12,0,12,0,73,24,0,0,0,18,0,0,2,41,0,0,0,0,16,0,9,0,13,0,1,0,0,72,9,0,14,37,0,21,0,0,0,0,0,13,11,0,11,23,51,0,5,5,22,34,22,22,0,0,86
2011-01-01,16,0,0,23,0,0,0,9,9,30,20,0,30,0,1,52,14,1,0,0,13,2,0,25,5,12,12,12,0,5,5,16,0,0,30,0,0,0,0,0,2,16,7,7,0,19,26,0,13,0,24,15,0,4,34,1,0,13,0,30,0,35,7,12,7,1,0,0,79,15,0,22,15,0,55,0,0,0,1,4,20,21,9,0,36,38,2,2,10,12,12,30,0,8,0,60
2011-02-01,22,24,25,49,0,10,19,0,9,0,21,0,21,1,4,70,19,1,0,1,23,6,0,33,3,24,12,25,12,14,0,43,6,32,24,24,16,0,0,0,2,14,14,14,0,82,0,0,21,0,26,20,26,1,33,0,1,9,9,40,13,35,12,7,12,1,0,0,84,0,0,36,28,0,0,0,12,0,0,3,30,13,13,6,25,59,0,4,10,25,13,51,0,8,0,48
2011-03-01,10,0,0,23,23,0,0,9,0,0,20,0,30,0,1,46,9,0,0,0,10,0,0,15,6,11,0,11,0,5,0,29,0,0,15,22,0,0,0,2,2,6,6,6,0,32,0,0,13,10,10,10,0,1,42,0,0,8,0,17,33,23,18,9,5,0,0,0,74,0,5,10,12,22,11,0,0,1,3,3,10,15,12,0,12,41,2,4,2,12,23,12,12,0,0,30
2011-04-01,5,23,0,0,0,0,0,9,9,0,0,0,0,0,0,47,8,1,0,0,7,0,0,13,2,0,12,0,0,0,0,11,6,15,0,0,0,0,0,0,0,7,7,0,0,26,0,0,0,0,10,0,10,0,44,0,0,26,0,9,47,5,29,0,0,0,0,0,71,5,0,15,22,0,0,0,0,0,0,4,4,9,6,0,0,33,0,3,3,0,0,12,0,0,0,23
2011-05-01,3,0,0,0,0,0,0,0,9,0,31,0,0,0,0,36,4,0,0,0,3,2,0,7,2,12,0,0,0,0,0,14,6,0,15,0,0,0,0,0,2,7,7,0,0,52,0,0,13,0,20,0,10,1,56,0,0,0,0,9,30,12,10,5,0,0,0,0,75,0,0,12,10,0,11,0,0,1,0,3,0,0,6,6,6,39,0,0,5,0,0,12,0,0,0,46
2011-06-01,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,35,1,0,0,0,1,0,0,3,0,12,0,0,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,1,36,0,0,13,0,0,0,12,0,5,5,0,0,0,79,0,0,5,5,0,0,0,0,0,0,1,0,6,6,0,0,18,0,3,0,13,0,0,0,0,0,48
2011-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,1,0,0,2,0,0,6,0,0,12,0,0,0,0,6,0,0,0,16,0,0,0,0,0,7,0,0,0,34,0,0,0,0,0,0,10,0,44,0,0,18,0,18,9,10,5,0,0,0,0,0,77,10,0,5,15,0,11,0,0,0,1,0,1,0,6,0,0,25,0,3,5,0,0,12,0,0,0,23
2011-08-01,5,0,0,0,0,9,0,0,9,0,19,0,0,0,3,26,1,0,0,0,2,0,0,2,2,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,25,0,0,0,0,0,0,9,0,46,0,0,24,0,16,0,9,9,9,0,0,0,0,85,0,0,5,14,0,0,0,0,1,0,0,1,6,0,0,0,15,0,2,2,0,0,0,11,0,0,22
2011-09-01,10,0,22,22,0,0,0,0,17,19,0,0,0,0,1,38,3,0,0,0,5,0,0,4,0,0,0,0,0,0,0,21,0,0,14,0,0,0,0,0,0,0,6,0,0,30,0,0,0,0,18,0,9,1,39,0,0,16,0,8,0,7,0,22,13,0,0,0,88,5,0,0,18,0,0,0,0,0,0,1,4,14,0,0,0,31,2,5,5,0,11,0,0,0,0,85
2011-10-01,16,0,0,0,0,0,0,0,8,0,0,0,0,0,4,39,2,2,0,0,11,0,0,4,0,10,31,0,0,0,0,5,5,0,0,0,14,0,0,0,0,0,6,0,0,52,0,0,0,0,9,0,9,0,48,0,0,19,0,11,0,15,4,38,4,0,0,0,72,9,0,11,17,0,0,0,20,0,1,3,0,8,5,5,5,41,2,7,3,11,0,11,0,0,0,75
2011-11-01,11,0,20,20,0,8,0,8,15,0,0,0,0,0,3,49,3,1,0,0,9,2,0,6,0,10,15,0,0,0,0,19,0,0,13,0,38,0,0,0,1,6,0,11,0,27,0,0,11,0,0,8,8,1,34,1,0,14,0,18,0,10,8,18,4,0,0,0,58,0,0,10,17,9,0,0,0,0,0,2,1,5,0,0,10,55,2,3,8,10,10,10,0,0,0,32
2011-12-01,9,0,0,0,0,0,0,0,0,0,35,0,17,0,3,50,2,1,0,0,5,4,0,4,0,10,15,0,10,0,5,19,0,13,13,13,0,0,0,1,1,6,6,0,0,39,11,0,11,0,13,0,17,1,32,0,0,7,0,29,7,22,4,12,4,0,0,0,56,8,0,10,10,0,10,0,10,0,0,1,2,5,10,0,10,43,0,4,4,10,10,10,0,0,0,20
2012-01-01,8,0,18,0,0,0,0,0,7,15,0,0,0,0,1,47,3,1,0,0,6,2,0,6,2,9,27,0,0,0,4,13,4,0,35,12,0,0,0,0,0,0,0,0,0,35,0,0,0,0,11,15,15,2,33,0,0,10,0,16,7,27,5,7,0,0,0,0,72,0,0,8,11,0,8,0,0,0,0,1,3,7,5,0,7,52,0,5,2,0,0,0,0,0,6,17
2012-02-01,10,0,0,19,0,0,0,0,14,0,32,0,16,0,1,58,2,1,0,1,6,0,0,3,2,18,14,0,0,0,0,26,4,0,24,12,0,0,0,1,0,0,10,0,0,36,10,0,0,0,12,8,15,2,33,1,0,10,0,7,7,28,6,4,4,0,0,0,75,4,4,4,10,0,9,0,9,0,0,5,9,10,10,0,5,53,0,5,2,9,19,9,0,0,0,84
2012-03-01,8,19,19,0,0,0,0,8,11,0,0,0,0,0,2,57,6,0,0,0,5,0,0,11,0,0,0,0,0,9,0,7,9,25,0,25,0,0,0,1,0,5,0,5,0,64,0,0,0,0,8,8,8,1,44,2,0,7,7,14,7,21,4,6,0,0,0,0,64,4,0,10,12,0,9,0,9,1,0,1,8,5,5,5,12,46,0,5,4,0,10,30,0,6,0,69
2012-04-01,7,0,0,0,0,0,0,0,8,0,0,0,0,0,2,47,3,1,0,0,4,0,0,6,2,20,20,0,0,0,0,11,0,0,13,0,0,0,0,0,0,5,0,0,0,54,11,0,0,0,16,16,0,2,36,0,0,0,7,25,7,18,4,4,0,0,0,0,69,4,0,4,18,0,28,0,0,0,0,0,2,5,5,0,5,31,0,3,2,0,10,10,0,0,0,45
2012-05-01,4,0,17,0,0,0,0,7,7,0,0,0,0,0,0,30,1,1,0,0,4,0,0,2,0,0,26,0,0,4,0,21,4,0,11,0,0,0,0,0,1,0,0,5,0,44,0,0,10,0,15,0,0,0,39,0,0,10,0,10,0,12,0,4,0,0,0,0,73,0,0,4,11,0,8,0,8,0,0,1,1,4,4,0,9,33,0,2,0,0,18,0,9,0,0,29
2012-06-01,3,0,0,0,0,0,0,0,7,0,0,0,0,0,1,35,2,0,0,0,2,2,0,4,2,0,0,0,0,0,0,19,0,0,12,12,12,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,1,38,0,0,10,0,7,0,13,4,7,0,0,0,0,77,6,0,4,13,0,0,0,9,0,0,0,0,0,0,0,5,21,0,2,2,0,0,9,0,6,6,30
2012-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,1,0,0,0,2,0,0,2,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,0,8,0,33,0,0,10,0,13,0,6,0,9,0,0,0,0,65,0,0,4,14,0,0,0,9,0,0,0,1,5,10,0,0,28,0,0,2,0,9,0,0,6,0,42
2012-08-01,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,41,1,0,0,0,3,0,0,2,0,9,9,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,19,0,11,1,42,0,0,10,0,23,0,18,4,16,4,0,0,0,72,0,0,0,23,0,0,0,9,0,0,0,0,12,9,0,0,36,2,0,3,0,9,0,0,0,0,64
2012-09-01,11,0,0,0,0,0,7,0,7,0,0,0,0,1,1,53,3,1,0,0,6,2,0,6,0,9,18,0,0,0,0,17,0,0,12,11,0,0,0,0,0,0,10,0,0,54,0,0,0,0,22,0,0,0,44,0,0,13,0,29,0,14,4,54,4,0,0,0,72,4,4,7,26,0,0,0,0,0,0,0,1,11,5,0,5,57,0,4,2,9,9,14,0,0,0,46
2012-10-01,17,16,0,0,0,0,0,6,10,0,14,0,0,1,2,60,5,2,0,0,9,2,0,9,2,0,37,0,0,0,0,15,0,11,0,11,0,0,0,0,2,5,9,5,0,18,9,0,18,0,10,7,7,1,55,2,0,18,0,18,12,13,8,43,3,0,0,0,76,3,0,12,15,0,8,0,8,1,0,1,6,6,0,0,0,53,2,4,3,8,8,13,0,0,0,37
2012-11-01,16,0,22,0,29,0,0,0,23,0,37,0,13,1,2,66,8,2,0,0,14,0,0,15,3,7,29,0,0,0,3,15,7,0,14,14,9,0,0,0,0,10,0,4,0,60,8,0,0,0,18,12,12,1,30,1,0,10,0,21,5,22,7,20,6,1,0,0,72,6,0,11,17,0,21,7,14,1,2,4,12,9,7,4,20,61,0,3,3,0,18,7,0,5,0,38
2012-12-01,38,0,20,26,13,8,0,5,13,23,12,0,52,0,2,65,21,2,0,0,32,4,0,37,7,10,40,13,7,6,3,40,14,43,30,34,9,0,0,0,4,28,15,9,0,55,15,0,29,6,30,11,11,2,33,1,0,26,19,51,26,44,15,35,11,1,0,0,73,14,0,61,21,6,50,0,6,3,4,8,29,22,7,8,39,93,3,6,11,17,40,24,0,17,4,43
2013-01-01,45,0,30,30,23,6,0,6,38,13,20,0,33,0,2,62,22,2,0,0,42,2,0,39,4,15,42,8,8,7,0,27,9,0,64,50,0,0,0,2,2,15,9,13,0,46,30,0,17,10,13,10,35,2,44,1,1,14,6,31,39,46,28,42,25,1,0,0,73,21,3,67,13,0,7,15,0,2,1,22,42,29,6,6,45,75,2,7,9,16,31,27,8,10,10,40
2013-02-01,20,0,17,34,17,0,0,10,10,0,15,0,29,0,1,60,10,2,0,0,21,0,0,18,3,8,42,0,0,0,4,33,12,22,44,16,22,0,0,1,3,7,5,9,0,37,9,0,28,0,17,10,10,4,42,0,2,9,0,43,30,51,24,24,5,0,0,0,66,7,0,35,26,0,16,0,8,1,1,15,19,11,4,9,19,61,4,4,4,0,13,17,0,5,0,55
2013-03-01,13,0,15,0,15,0,0,6,14,32,0,0,25,0,3,55,12,2,0,0,15,2,0,21,2,7,36,7,0,3,0,38,10,10,29,10,10,0,0,0,1,4,4,0,0,57,0,0,8,6,15,12,15,2,39,1,1,11,5,21,11,46,19,12,7,1,0,0,66,8,0,31,15,0,21,0,0,0,4,4,13,4,4,7,25,45,0,3,2,7,22,15,7,9,0,71
2013-04-01,8,0,28,14,14,5,0,0,5,12,24,0,0,1,1,45,3,0,0,0,8,0,0,6,1,7,7,0,0,0,3,10,0,0,27,0,9,0,0,0,0,10,0,0,0,23,8,0,0,0,12,6,6,1,34,1,0,8,5,20,15,29,7,3,3,0,0,0,70,3,3,4,19,0,7,0,7,0,2,3,7,4,0,4,7,43,1,1,3,0,7,14,7,0,0,45
2013-05-01,4,0,14,14,0,0,0,0,5,0,12,0,0,0,1,31,2,1,0,1,3,0,0,4,0,0,10,0,0,0,6,16,6,0,0,9,9,0,0,0,0,4,4,8,0,23,0,0,0,0,6,0,0,0,30,0,0,5,0,10,0,14,3,6,0,0,0,0,66,7,0,7,14,6,0,0,0,0,1,0,0,7,5,0,11,34,0,0,1,0,7,7,0,0,0,40
2013-06-01,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,26,1,1,0,0,1,0,0,1,0,7,14,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,4,4,0,52,0,0,0,0,0,0,6,1,30,0,0,13,0,5,0,4,0,0,0,0,0,0,68,0,0,3,14,0,0,0,0,0,1,0,0,0,7,0,0,30,0,3,2,0,7,0,7,0,0,33
2013-07-01,3,9,0,0,0,4,0,4,7,16,8,0,0,0,1,28,1,0,0,0,2,0,0,2,0,0,5,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,3,3,0,23,0,0,0,0,10,0,6,1,29,1,0,9,0,14,3,10,4,7,2,0,0,0,76,2,0,0,17,0,0,4,0,0,0,1,1,0,2,0,0,26,0,3,3,0,0,5,0,0,0,12
2013-08-01,4,0,0,0,0,0,0,4,4,9,8,0,0,0,1,31,1,0,0,0,2,0,0,2,1,5,7,0,0,0,2,10,0,0,6,0,6,0,0,0,0,0,3,5,0,38,5,0,0,0,6,4,4,1,28,0,0,9,0,9,0,10,2,9,4,0,0,0,73,4,0,2,12,0,0,5,0,0,1,0,1,5,2,0,3,32,0,3,2,0,7,5,0,0,0,38
2013-09-01,12,0,0,0,0,0,0,6,8,0,25,0,0,0,2,34,2,1,0,0,7,1,0,4,1,7,14,0,0,0,3,19,7,14,9,9,0,0,0,0,0,4,0,8,0,36,0,0,0,0,15,6,9,1,40,0,0,16,5,24,5,9,6,53,3,0,0,0,66,3,0,6,17,0,0,0,7,0,0,4,2,15,4,0,4,35,0,0,4,0,7,7,7,0,0,61
2013-10-01,18,13,13,25,0,0,0,0,12,11,11,0,11,0,2,43,3,1,0,0,10,1,0,5,1,9,16,0,0,0,0,19,0,8,12,8,0,0,0,0,0,0,4,7,0,25,0,0,0,0,8,0,16,1,36,0,0,12,0,11,0,13,5,68,5,0,0,0,71,3,0,11,18,0,6,0,0,1,0,2,2,11,3,0,5,47,1,4,2,0,29,6,0,0,0,54
2013-11-01,14,0,25,0,13,0,0,7,12,16,16,0,0,0,2,48,3,1,0,0,12,1,0,6,1,19,19,0,0,0,3,18,3,0,8,8,8,0,0,0,2,5,4,0,0,31,21,0,14,5,18,8,5,1,28,0,0,5,0,14,5,27,0,27,3,0,0,0,69,9,0,13,20,0,0,0,6,0,0,4,5,5,3,0,6,37,1,1,3,6,13,10,0,0,0,45
2013-12-01,27,14,14,0,0,11,5,11,16,12,36,0,36,1,2,79,15,2,0,0,27,3,0,26,2,14,31,0,0,10,0,23,15,9,18,41,9,0,0,1,1,29,6,4,0,35,15,0,8,0,14,6,9,1,33,1,1,15,0,28,20,35,20,18,13,1,0,0,67,19,3,35,22,0,20,0,13,0,4,8,36,12,5,14,25,73,0,4,7,0,21,14,0,5,5,73
2014-01-01,50,20,26,13,13,5,5,10,40,17,11,0,79,0,2,76,18,2,0,0,43,3,0,32,5,10,36,13,6,12,0,35,9,21,47,42,17,0,0,1,2,27,13,15,0,61,22,0,18,0,35,11,35,3,41,1,1,7,9,64,40,40,25,73,8,1,0,0,71,14,3,45,12,6,37,0,0,2,6,10,45,23,5,7,42,83,1,5,18,20,20,23,10,26,0,68
2014-02-01,15,0,13,13,13,0,0,5,5,0,23,0,12,1,3,59,7,2,0,0,18,2,0,12,2,13,30,0,0,3,3,20,8,0,13,17,9,0,0,0,1,21,4,9,0,22,15,0,7,0,11,11,6,1,31,1,1,15,5,20,24,41,8,7,4,0,0,0,63,8,0,24,15,0,32,0,6,1,1,2,12,5,0,0,10,52,0,3,6,21,10,7,7,4,0,70
2014-03-01,9,0,0,11,0,0,4,0,0,0,14,0,0,1,2,44,6,1,0,0,7,1,0,10,2,0,16,0,5,0,0,14,3,0,7,14,7,0,0,1,1,6,6,6,0,24,12,0,6,4,16,9,13,1,34,1,1,6,4,19,4,34,5,9,0,0,0,0,66,3,2,9,13,0,15,0,0,0,0,3,4,3,3,0,8,39,1,2,3,5,16,11,0,3,0,55
2014-04-01,6,0,12,0,0,0,0,5,7,0,36,0,10,0,2,41,2,0,0,0,5,0,0,4,2,0,6,0,0,3,3,15,0,0,0,8,0,0,0,1,0,3,3,0,0,43,13,0,0,0,15,5,7,1,34,0,0,9,0,13,4,31,4,10,2,0,0,0,66,4,2,9,17,0,0,0,0,0,0,3,4,3,6,3,6,45,0,3,2,0,6,6,0,4,0,66
2014-05-01,4,26,0,13,0,0,0,5,0,12,12,0,0,0,2,36,1,1,0,0,5,0,0,2,0,7,17,0,0,0,3,22,6,9,0,0,0,0,0,0,0,4,4,4,0,56,22,0,0,0,11,6,0,2,29,0,0,15,0,5,5,7,5,7,7,0,0,0,67,6,0,3,14,0,0,0,0,1,1,1,2,3,5,0,5,44,0,4,3,0,14,14,0,0,0,44
2014-06-01,4,0,0,0,0,0,0,6,9,0,13,0,0,0,3,34,0,1,0,0,3,0,0,0,0,11,15,0,0,0,0,9,4,0,0,10,0,0,0,0,0,0,4,0,0,42,9,0,0,0,6,0,0,1,30,0,0,22,0,11,0,8,0,3,0,0,0,0,67,3,0,9,19,0,7,0,0,0,0,0,1,0,4,0,0,40,0,2,0,0,8,15,0,0,0,25
2014-07-01,5,0,0,0,0,0,0,0,6,12,0,0,0,0,2,26,0,1,0,0,2,0,0,0,0,0,28,0,0,0,0,18,3,0,0,0,9,0,0,0,0,0,4,8,0,44,8,0,0,0,6,0,0,1,33,0,0,10,0,5,0,6,0,3,3,0,0,0,66,0,0,0,24,0,0,0,20,1,0,1,0,4,4,0,0,16,0,2,3,0,7,0,7,0,0,42
2014-08-01,5,0,0,14,0,0,6,0,8,0,12,0,0,0,2,38,1,1,0,0,4,0,0,2,0,0,14,0,0,0,3,15,0,0,9,9,0,0,0,0,1,0,0,0,0,28,0,0,8,0,6,6,0,1,46,0,0,21,0,10,0,4,0,10,6,0,0,0,71,0,0,3,19,0,14,0,14,0,0,1,2,4,4,0,4,26,0,2,2,0,0,0,0,0,0,47
2014-09-01,12,0,14,15,15,11,0,6,11,13,19,0,0,0,1,52,2,1,0,0,6,0,0,4,0,0,14,0,0,0,3,14,3,0,9,0,0,0,0,0,0,4,4,0,0,24,8,0,0,0,9,6,18,0,50,1,1,13,0,19,5,12,3,49,0,0,0,0,69,0,0,11,18,0,0,0,7,0,0,4,1,11,7,4,4,36,0,3,2,0,7,7,7,0,0,90
