date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,flu utah,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,food poisoning,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,flu in utah,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,22,0,0,0,0,27,0,0,0,21,0,0,0,0,0,0,34,100,50,0,0,41,0,0,0,46,0,23,0,0,0,0,0,12,0,0,12,0,9,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,22,11,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,37,0,58,0,0,0,0,98
2010-02-01,12,0,0,0,0,7,0,0,0,22,22,0,0,0,0,0,58,0,0,0,0,18,0,0,6,49,0,0,0,25,0,0,25,0,0,0,13,0,9,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,54,0,54,0,18,0,41,35,0,0,45,0,0,0,47,47,0,0,0,0,0,0,0,64,0,0,38,0,0,0,0,0,61,0,0,0,0,0,69
2010-03-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,48,17,0,0,0,22,0,0,0,0,0,0,45,0,0,0,12,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,21,21,0,0,41,0,0,0,42,0,0,0,0,0,0,0,0,58,0,0,0,0,0,54,0,36,0,0,0,0,0,0,47
2010-04-01,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,42,0,0,0,0,12,0,0,0,24,0,0,0,0,0,0,0,13,0,13,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,23,11,51,17,44,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,100
2010-05-01,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,0,14,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,25,12,25,12,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2010-06-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,0,0,15,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,33,20,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2010-07-01,8,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,16,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
2010-08-01,8,0,0,0,0,15,0,0,0,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0
2010-09-01,23,0,0,0,0,14,0,0,0,74,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,38,0,21,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,51,0,0,0,39,0,22,22,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,99
2010-10-01,34,0,0,0,0,13,0,0,0,50,0,0,0,0,0,0,33,48,0,0,0,11,0,0,0,22,0,22,0,0,0,0,0,12,0,0,24,0,48,0,0,98,98,98,98,41,0,0,0,32,0,0,32,0,95,0,0,49,0,97,0,11,0,21,11,0,0,0,0,0,0,42,42,43,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,62
2010-11-01,10,0,0,0,0,0,0,0,0,38,19,19,0,0,0,0,55,45,0,0,0,21,0,0,5,21,0,21,0,0,0,0,42,23,0,11,28,0,19,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,91,0,0,46,0,46,0,35,10,15,10,0,0,39,0,41,0,0,0,41,0,0,41,0,55,0,55,0,0,33,0,0,34,0,0,0,0,52,0,59,30,74
2010-12-01,18,0,0,0,0,24,0,0,0,19,0,0,0,0,0,0,55,0,0,0,45,26,0,0,5,31,0,21,21,0,0,0,21,11,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,46,10,10,15,10,0,0,0,0,0,0,0,0,0,0,0,41,0,54,0,0,0,0,0,0,0,33,33,33,0,0,0,0,0,0,29
2011-01-01,19,0,0,0,0,22,0,0,3,19,10,0,0,0,0,0,51,0,23,0,0,27,0,0,14,22,0,11,0,11,0,11,11,17,0,6,17,0,12,0,0,0,48,96,0,40,91,20,20,0,0,0,23,0,47,0,0,24,0,47,0,13,5,13,13,0,0,0,0,21,0,62,0,0,0,0,21,0,28,0,28,0,0,0,0,0,17,17,35,0,27,0,0,0,0,60
2011-02-01,15,0,0,0,0,26,3,3,0,0,0,10,0,0,0,0,60,98,24,0,0,25,0,0,11,23,11,11,11,0,11,11,46,6,6,6,12,0,4,0,0,100,0,0,0,21,74,0,21,33,0,0,32,0,0,0,0,0,0,50,25,5,5,35,19,42,21,42,0,0,0,22,0,44,0,0,33,0,60,0,0,0,0,0,0,0,18,37,18,0,0,0,0,0,0,55
2011-03-01,11,0,0,0,0,21,0,0,0,18,9,0,0,0,0,3,45,22,0,0,0,8,0,0,3,15,10,10,0,0,0,0,10,22,0,5,5,3,5,0,0,0,0,0,45,0,47,19,0,0,0,0,0,0,0,0,0,22,22,0,0,12,0,15,12,0,0,19,0,0,0,19,20,20,20,0,20,0,27,26,27,16,0,16,0,0,0,0,16,25,0,100,0,0,0,57
2011-04-01,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,19,45,0,0,0,13,0,0,3,11,10,0,0,0,0,0,0,6,0,0,11,3,3,0,0,0,0,47,47,19,39,20,0,0,0,0,0,0,0,0,0,46,0,0,0,8,10,28,0,19,0,0,0,20,0,40,20,0,0,21,21,28,28,0,28,0,0,0,0,0,17,0,17,26,0,0,0,15,0,74
