date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,flu report,swine flu symptoms,oscillococcinum,bronchitis,contagious flu,cdc flu,flu fever,vermont flu,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,flu vs cold,taking temperature,uvm flu shots,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,flu symptoms 2017,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,flu and fever,signs of flu,flu care,flu children,thermoscan,flu treatment,cdc flu map,the flu virus,how long does flu last,human temperature,how long is flu contagious,is flu contagious,how long is the flu contagious,cold or flu,flu map,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,signs of the flu,how long flu,flu or cold,fever cough,ear thermometer
2010-01-01,16,79,86,9,62,0,7,0,0,0,84,0,61,0,0,40,32,0,0,0,0,0,0,0,0,0,33,0,97,0,0,63,53,29,0,0,0,40,100,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,26,0,55,0,53,0,0,0,42,0
2010-02-01,9,31,69,6,0,48,0,17,0,0,0,0,97,0,48,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,38,0,0,0,57,100,0,0,71,0,0,0,0,0,12,40,22,0,64,96,17,0,0,0
2010-03-01,10,23,37,12,0,0,6,13,0,0,0,0,80,29,0,35,0,0,29,35,0,0,0,0,61,0,28,0,0,0,0,0,0,0,0,0,0,35,19,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,17,0,40,0,0,70,13,0,0,0
2010-04-01,5,0,24,4,0,0,0,0,0,0,70,0,59,0,0,0,0,0,0,33,0,49,0,71,0,0,39,32,0,0,0,0,0,49,0,0,0,0,18,0,71,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,8,0,39,0,0,0,0,0,0,0
2010-05-01,7,0,66,0,0,37,0,0,0,0,0,0,28,0,0,0,0,39,0,0,39,0,0,0,0,0,17,0,0,0,35,0,0,27,0,0,0,0,13,0,0,70,30,0,0,53,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,74,0,0,0,0
2010-06-01,7,0,30,0,0,42,7,0,0,0,88,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,41,0,0,0,0,0,31,0,0,0,43,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
2010-07-01,2,0,20,3,0,28,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,50,0,20,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,26,61,0,0,0,0,0,0
2010-08-01,3,18,39,3,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,27,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0,22,0,0,0,0,0,0,0,40,0,0,0,29,0,18,0,25,0,72,0,0,29,0,0
2010-09-01,9,0,24,8,0,0,11,12,0,0,0,0,51,0,0,0,27,0,0,66,0,48,0,0,0,0,51,0,0,0,0,53,0,24,0,0,0,0,0,0,0,0,0,0,67,48,0,0,0,0,49,0,0,0,0,0,11,0,54,0,0,0,12,0,0,0
2010-10-01,17,22,0,23,0,32,30,12,0,0,69,0,50,0,0,0,0,0,0,66,0,0,0,0,0,64,31,0,40,0,0,77,0,0,0,0,0,0,12,0,0,0,26,0,0,47,0,0,0,35,48,0,0,0,0,0,11,0,30,0,88,0,12,0,0,64
