date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,washington state flu,treat the flu,seattle flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,stomach flu symptoms,what is the flu,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature
2010-01-01,20,0,0,0,0,13,0,0,6,27,0,0,0,0,0,30,6,3,0,1,8,0,0,17,0,0,29,0,0,0,0,10,0,12,0,8,8,0,6,0,0,20,0,0,0,64,26,0,0,0,0,0,21,0,39,0,6,0,11,0,43,9,29,0,100,18,12,12,0,94,0,0,0,24,0,0,0,1,0,54,0,0,30,0,0,4,40,0,4,20,20,20,20,0,0,0,20,88
2010-02-01,16,0,0,0,0,14,3,3,0,0,0,0,0,0,0,55,3,3,0,0,11,6,0,9,0,16,31,0,0,0,0,33,22,9,0,9,13,0,3,0,0,65,0,0,0,0,14,0,0,0,22,0,22,2,50,0,5,0,0,0,12,7,22,5,67,13,0,13,0,94,0,0,0,0,26,0,0,1,0,44,0,0,0,24,16,0,51,0,4,22,32,0,22,0,0,0,22,71
2010-03-01,14,0,0,0,0,26,0,0,3,0,5,0,0,0,0,44,4,2,0,0,11,0,0,11,5,14,21,0,14,10,0,35,10,12,0,16,8,0,1,0,0,39,0,20,0,0,25,0,0,0,0,20,20,2,48,0,8,11,16,0,16,0,28,4,45,0,0,0,0,100,0,0,0,23,0,0,0,0,0,46,0,15,15,0,0,0,59,0,5,29,0,20,0,0,0,0,20,51
2010-04-01,8,0,0,0,0,6,0,0,3,16,0,0,0,0,2,46,2,0,0,0,6,0,0,6,0,0,0,0,0,0,0,10,0,0,0,8,0,0,1,0,0,0,0,0,0,13,64,0,0,21,0,42,0,3,35,2,6,0,11,0,0,7,29,9,36,0,0,18,0,91,0,0,0,0,0,0,0,1,0,54,0,0,15,15,0,4,42,4,4,30,0,0,0,0,0,0,0,27
2010-05-01,7,60,0,0,0,14,0,3,0,6,0,0,6,0,0,34,2,0,0,0,5,0,0,6,0,0,0,0,0,0,0,16,0,8,0,13,0,0,1,0,1,0,0,0,21,0,26,0,0,0,0,0,21,0,44,0,7,11,22,0,17,0,23,0,14,0,0,0,0,93,0,0,0,0,0,0,0,0,0,59,0,0,15,0,0,0,21,0,4,41,21,0,0,0,0,0,0,72
2010-06-01,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,33,2,1,0,1,4,0,0,6,0,0,16,0,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,33,0,4,12,0,0,12,5,19,0,17,0,0,0,0,86,0,0,0,0,0,0,26,1,0,47,0,0,16,16,0,0,23,0,0,43,22,0,0,0,0,0,22,70
2010-07-01,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,4,0,0,1,5,0,0,11,0,14,0,0,0,0,0,20,0,8,0,0,8,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,29,0,6,11,16,0,11,0,13,0,11,0,0,12,0,82,0,0,0,0,0,23,0,0,0,48,0,0,0,0,0,0,23,0,4,20,0,0,0,0,20,0,0,26
2010-08-01,7,0,0,0,0,7,0,0,0,5,5,0,0,0,0,25,2,1,0,0,3,0,0,5,5,14,14,0,0,0,0,10,10,8,0,16,16,0,6,0,0,0,19,0,0,0,25,0,0,0,0,0,0,0,35,0,3,0,10,0,10,0,15,0,15,0,0,17,11,77,0,0,0,0,0,23,0,0,0,59,0,14,14,0,0,0,21,0,3,19,0,0,0,0,0,0,0,38
2010-09-01,18,0,0,0,0,7,0,0,0,60,0,0,0,0,4,36,4,1,0,0,12,0,0,11,0,14,14,0,0,0,0,10,0,8,0,15,15,0,24,0,0,0,19,0,0,36,0,0,0,0,0,0,19,1,42,0,7,0,31,0,0,8,6,4,10,0,0,0,0,77,0,0,0,0,0,0,0,1,0,42,0,14,28,0,0,0,22,0,5,0,0,0,19,38,0,0,0,33
2010-10-01,24,0,0,51,0,13,0,0,0,80,0,0,5,0,0,49,3,1,0,0,10,5,0,10,0,39,13,13,0,0,0,27,9,7,0,22,7,0,42,0,1,0,0,18,36,11,0,11,0,0,0,0,18,0,51,0,7,0,19,0,19,6,10,4,12,10,0,10,0,81,0,0,0,31,0,0,0,1,0,39,0,13,20,13,0,0,50,3,0,35,18,27,35,45,18,0,18,42
2010-11-01,20,0,0,0,0,13,0,0,3,35,0,5,0,0,0,47,3,1,0,0,12,0,0,7,0,25,13,13,0,0,0,9,9,29,7,29,0,4,25,0,0,0,18,0,0,33,11,0,0,0,0,18,18,1,38,0,5,0,9,0,0,12,41,4,10,0,0,21,0,79,0,0,0,0,0,42,0,2,0,52,0,0,26,20,0,0,61,0,5,18,18,0,0,27,0,0,0,50
2010-12-01,16,50,0,100,0,7,0,0,2,16,0,5,0,0,0,59,5,2,0,1,13,5,0,15,0,12,25,0,0,0,0,26,0,0,7,7,7,0,14,0,0,35,17,0,0,11,33,0,0,0,18,18,18,0,38,0,5,9,9,0,46,9,34,11,10,10,20,10,0,77,0,0,0,20,0,20,0,1,0,48,0,0,26,0,13,0,52,0,8,34,17,17,52,35,0,0,0,45
