date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,wisconsin flu,flu 2019,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,flu shot walgreens,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,flu in wisconsin,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,flu complications,signs of the flu,treat flu,how to get rid of the flu
2010-01-01,16,0,0,0,0,6,0,0,0,10,0,0,0,0,0,40,0,2,0,0,7,9,0,0,0,0,20,0,0,16,0,0,0,0,51,0,0,0,5,0,0,0,0,0,64,0,23,23,23,0,0,0,0,0,0,0,35,0,46,0,0,6,0,17,6,29,0,0,11,0,0,0,21,0,35,0,35,0,26,26,0,0,0,21,0,0,64,48,32,0,0,0,27,0,0,0,0
2010-02-01,13,0,0,0,0,5,0,0,0,10,0,0,0,0,0,56,6,3,0,0,6,0,0,18,0,20,30,0,0,10,0,0,0,0,65,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,44,0,0,0,0,0,6,25,6,29,0,0,12,0,0,0,63,0,35,0,0,26,0,26,0,0,0,21,21,0,64,32,0,27,54,0,0,0,0,0,0
2010-03-01,10,0,0,0,0,8,0,2,0,9,0,0,0,0,0,54,3,2,0,3,10,8,0,8,0,0,18,0,0,29,0,0,0,0,70,0,0,0,2,0,0,0,0,29,0,0,0,0,0,0,0,0,30,3,0,0,59,0,0,0,0,0,8,20,5,11,10,0,0,0,0,0,38,0,0,0,0,0,0,0,0,19,0,0,0,0,59,44,59,24,0,0,24,0,0,0,0
2010-04-01,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,60,3,0,0,2,8,0,0,9,9,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,31,0,22,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,24,0,0,11,0,11,0,0,0,20,0,0,0,0,25,0,0,0,0,0,20,0,0,31,47,0,0,0,26,0,0,0,0,0
2010-05-01,5,0,0,0,0,5,0,0,0,10,0,0,0,0,0,13,3,0,0,0,2,0,0,9,0,0,0,0,0,0,0,11,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,23,0,0,0,34,0,3,0,0,21,0,0,0,0,0,6,23,0,18,0,0,0,0,0,0,0,0,36,0,0,0,27,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
2010-06-01,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,44,0,0,0,0,0,0,0,0,57,0,28,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,45,51,51,51,0,0,0,15,0,0,13,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
2010-07-01,3,0,0,0,0,2,0,0,0,0,0,10,0,0,0,23,0,2,0,0,5,0,0,19,10,0,21,0,0,11,0,0,0,0,54,0,0,0,0,0,0,0,0,34,0,0,0,24,0,0,0,0,0,0,3,0,40,0,0,49,0,0,0,6,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,27,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,76,0
2010-08-01,5,0,0,0,0,4,0,0,0,10,0,0,0,0,0,42,0,0,0,0,2,10,0,0,0,0,0,0,0,33,0,0,0,0,40,0,0,0,2,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,49,0,0,0,0,0,6,15,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,75
2010-09-01,18,0,0,0,0,7,0,0,0,33,0,0,0,0,0,54,3,0,0,0,6,9,0,9,0,19,0,0,0,20,0,0,0,0,100,0,0,0,18,0,0,0,0,0,31,0,22,22,0,0,0,0,0,0,0,0,71,0,0,0,0,0,8,5,5,62,0,0,0,0,0,0,41,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,62,0,26,0,0,0,0,0,0
2010-10-01,26,0,0,0,0,10,0,0,0,59,0,0,0,0,0,67,3,2,0,2,16,9,0,17,0,0,19,0,0,20,0,0,0,24,61,0,0,2,43,0,4,0,0,30,30,0,21,43,0,0,0,0,0,0,0,0,80,0,0,0,0,0,11,8,0,60,0,0,11,20,0,0,98,0,0,0,33,0,0,0,0,19,0,19,0,0,30,0,30,25,25,0,38,0,0,0,67
