date,flu,bird flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,the flu,flu symptoms,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,is the flu contagious,flu vs cold,flu symptoms 2018,human temperature,high fever,spanish flu,cold vs flu,influenza symptoms,the flu virus,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,keto flu,flu contagious,bronchitis,oscillococcinum,flu medicine,body temperature
2010-01-01,18,0,0,59,0,0,0,43,23,0,0,79,0,0,0,0,69,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,63,0,0,62
2010-02-01,9,0,0,46,84,0,0,23,0,84,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,100,0,0,64
2010-03-01,18,0,0,59,0,0,0,0,23,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,31,0,0,0
2010-04-01,9,0,0,31,0,100,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,90,0,0,0,0,0,0,33,0,0,0
2010-05-01,0,0,0,33,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
2010-06-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
2010-07-01,7,0,0,0,0,0,0,26,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,7,0,0,33,0,0,0,24,0,0,0,0,0,0,63,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,54,0,0,0,98,0,0,0,0,0,0,71,0,0,0
2010-09-01,16,0,0,52,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,46,100,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,86,0,0,0,0,0,0
2010-10-01,25,0,0,20,0,65,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,43,0,0,0
2010-11-01,15,0,0,28,0,0,0,13,14,0,0,50,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,30,0,0,0,54,0,0,0,0,0,0,20,0,0,38
2010-12-01,10,0,0,17,47,0,0,12,13,47,0,0,0,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,64,0,0,0,0,0,0,0,0,0,18,0,0,0
2011-01-01,15,0,0,72,0,0,0,13,14,0,0,49,0,0,0,0,0,0,0,0,60,61,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,61,0,0,0,0,0,0
2011-02-01,17,79,0,85,0,0,0,28,14,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,34,0,0,50,0,100,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,39
2011-03-01,9,0,100,26,0,0,0,13,14,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,44,30,0,0,0,0,0,52,0,0,0,0,0,0,38,0,0,0
2011-04-01,8,0,0,46,0,0,0,0,14,0,0,0,0,0,35,0,43,0,0,0,61,0,100,0,0,72,0,49,0,0,0,0,0,30,0,90,0,0,0,0,0,62,0,90,20,0,0,0
2011-05-01,8,0,0,57,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,51,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
2011-06-01,9,0,0,87,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
2011-07-01,0,0,0,42,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
2011-08-01,0,0,0,19,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,20,0,0,0
2011-09-01,15,76,0,28,0,0,0,13,14,0,0,0,0,0,0,0,43,0,0,0,62,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,54,0,0,0,0,0,0,20,0,0,38
2011-10-01,17,0,0,85,0,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,27,71,0,0
2011-11-01,10,0,0,51,0,0,0,25,20,0,0,92,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,18,0,100,0
2011-12-01,9,0,0,42,46,0,0,12,0,46,100,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,42,58,0,0,63,0,0,0,0,0,42,57,0,0,0,0,98,70
2012-01-01,9,0,0,52,40,0,0,16,0,40,87,0,0,0,0,0,35,0,0,0,50,50,0,0,0,58,0,0,100,80,0,0,88,0,0,0,0,0,99,0,0,0,0,0,16,0,87,0
2012-02-01,12,0,0,68,0,0,0,28,23,0,0,0,0,0,0,0,35,0,0,0,0,0,83,0,56,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
2012-03-01,8,0,0,76,42,0,0,22,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2012-04-01,8,66,0,48,0,0,0,35,0,0,0,0,0,0,0,0,37,0,0,0,0,54,0,0,29,62,0,43,0,0,0,0,0,26,0,0,0,47,0,0,0,0,0,0,51,0,0,100
2012-05-01,3,65,0,24,0,0,0,17,0,0,0,0,0,0,0,75,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,46,0,0,0,0,0,0,0,0,0,33
2012-06-01,5,0,0,42,0,0,0,25,13,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,64,0,0,50,0,100,0,0,0,0,36,0,0,0
2012-07-01,7,0,0,0,0,0,0,0,12,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,28,0,0,0,0,0,48,0,0,0,0,0,0,17,0,0,34
