date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,oscillococcinum,bronchitis,contagious flu,flu fever,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,reduce fever,influenza symptoms,how long contagious,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,thermoscan,flu treatment,the flu virus,how long does flu last,human temperature,is flu contagious,cold or flu,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,how long flu,fever cough,ear thermometer
2010-40,23.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,42.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,0.0,0.0,48.0,73.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-41,23.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,42.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,0.0,0.0,48.0,73.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-42,23.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,42.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,0.0,0.0,48.0,73.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-43,23.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,42.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,0.0,0.0,48.0,73.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-44,23.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,42.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,0.0,0.0,48.0,73.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-45,23.0,0.0,34.0,60.0,0.0,0.0,15.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-46,23.0,0.0,34.0,60.0,0.0,0.0,15.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-47,23.0,0.0,34.0,60.0,0.0,0.0,15.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-48,23.0,0.0,34.0,60.0,0.0,0.0,15.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-49,17.0,34.0,24.0,16.0,0.0,0.0,11.0,34.0,0.0,79.0,37.0,0.0,0.0,37.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0
2010-50,17.0,34.0,24.0,16.0,0.0,0.0,11.0,34.0,0.0,79.0,37.0,0.0,0.0,37.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0
2010-51,17.0,34.0,24.0,16.0,0.0,0.0,11.0,34.0,0.0,79.0,37.0,0.0,0.0,37.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0
