date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu shot kaiser,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,cold,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,california flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-40,10.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,5.0,20.0,25.0,20.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,1.0,5.0,7.0,0.0,0.0,4.0,2.0,3.0,16.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,6.0,30.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,7.0,4.0,5.0,33.0,0.0,0.0,31.0,0.0,1.0,8.0,10.0,1.0,0.0,0.0,0.0,56.0,5.0,0.0,6.0,19.0,9.0,3.0,3.0,7.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,2.0,25.0,0.0,3.0,2.0,8.0,5.0,4.0,5.0,1.0,2.0,1.0,39.0
2010-41,10.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,5.0,20.0,25.0,20.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,1.0,5.0,7.0,0.0,0.0,4.0,2.0,3.0,16.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,6.0,30.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,7.0,4.0,5.0,33.0,0.0,0.0,31.0,0.0,1.0,8.0,10.0,1.0,0.0,0.0,0.0,56.0,5.0,0.0,6.0,19.0,9.0,3.0,3.0,7.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,2.0,25.0,0.0,3.0,2.0,8.0,5.0,4.0,5.0,1.0,2.0,1.0,39.0
2010-42,10.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,5.0,20.0,25.0,20.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,1.0,5.0,7.0,0.0,0.0,4.0,2.0,3.0,16.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,6.0,30.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,7.0,4.0,5.0,33.0,0.0,0.0,31.0,0.0,1.0,8.0,10.0,1.0,0.0,0.0,0.0,56.0,5.0,0.0,6.0,19.0,9.0,3.0,3.0,7.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,2.0,25.0,0.0,3.0,2.0,8.0,5.0,4.0,5.0,1.0,2.0,1.0,39.0
2010-43,10.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,5.0,20.0,25.0,20.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,1.0,5.0,7.0,0.0,0.0,4.0,2.0,3.0,16.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,6.0,30.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,7.0,4.0,5.0,33.0,0.0,0.0,31.0,0.0,1.0,8.0,10.0,1.0,0.0,0.0,0.0,56.0,5.0,0.0,6.0,19.0,9.0,3.0,3.0,7.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,2.0,25.0,0.0,3.0,2.0,8.0,5.0,4.0,5.0,1.0,2.0,1.0,39.0
2010-44,10.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,5.0,20.0,25.0,20.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,1.0,5.0,7.0,0.0,0.0,4.0,2.0,3.0,16.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,6.0,30.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,7.0,4.0,5.0,33.0,0.0,0.0,31.0,0.0,1.0,8.0,10.0,1.0,0.0,0.0,0.0,56.0,5.0,0.0,6.0,19.0,9.0,3.0,3.0,7.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,2.0,25.0,0.0,3.0,2.0,8.0,5.0,4.0,5.0,1.0,2.0,1.0,39.0
2010-45,10.0,0.0,0.0,31.0,21.0,2.0,1.0,2.0,2.0,20.0,10.0,10.0,10.0,0.0,30.0,3.0,2.0,0.0,0.0,7.0,6.0,1.0,8.0,1.0,6.0,10.0,1.0,0.0,2.0,2.0,2.0,25.0,5.0,3.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,4.0,0.0,6.0,3.0,3.0,9.0,3.0,0.0,0.0,7.0,34.0,0.0,0.0,35.0,0.0,2.0,10.0,6.0,3.0,0.0,0.0,0.0,53.0,3.0,1.0,6.0,22.0,7.0,7.0,3.0,12.0,0.0,28.0,0.0,0.0,2.0,1.0,4.0,2.0,31.0,0.0,3.0,3.0,15.0,4.0,9.0,12.0,1.0,2.0,0.0,35.0
2010-46,10.0,0.0,0.0,31.0,21.0,2.0,1.0,2.0,2.0,20.0,10.0,10.0,10.0,0.0,30.0,3.0,2.0,0.0,0.0,7.0,6.0,1.0,8.0,1.0,6.0,10.0,1.0,0.0,2.0,2.0,2.0,25.0,5.0,3.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,4.0,0.0,6.0,3.0,3.0,9.0,3.0,0.0,0.0,7.0,34.0,0.0,0.0,35.0,0.0,2.0,10.0,6.0,3.0,0.0,0.0,0.0,53.0,3.0,1.0,6.0,22.0,7.0,7.0,3.0,12.0,0.0,28.0,0.0,0.0,2.0,1.0,4.0,2.0,31.0,0.0,3.0,3.0,15.0,4.0,9.0,12.0,1.0,2.0,0.0,35.0
2010-47,10.0,0.0,0.0,31.0,21.0,2.0,1.0,2.0,2.0,20.0,10.0,10.0,10.0,0.0,30.0,3.0,2.0,0.0,0.0,7.0,6.0,1.0,8.0,1.0,6.0,10.0,1.0,0.0,2.0,2.0,2.0,25.0,5.0,3.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,4.0,0.0,6.0,3.0,3.0,9.0,3.0,0.0,0.0,7.0,34.0,0.0,0.0,35.0,0.0,2.0,10.0,6.0,3.0,0.0,0.0,0.0,53.0,3.0,1.0,6.0,22.0,7.0,7.0,3.0,12.0,0.0,28.0,0.0,0.0,2.0,1.0,4.0,2.0,31.0,0.0,3.0,3.0,15.0,4.0,9.0,12.0,1.0,2.0,0.0,35.0
2010-48,10.0,0.0,0.0,31.0,21.0,2.0,1.0,2.0,2.0,20.0,10.0,10.0,10.0,0.0,30.0,3.0,2.0,0.0,0.0,7.0,6.0,1.0,8.0,1.0,6.0,10.0,1.0,0.0,2.0,2.0,2.0,25.0,5.0,3.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,4.0,0.0,6.0,3.0,3.0,9.0,3.0,0.0,0.0,7.0,34.0,0.0,0.0,35.0,0.0,2.0,10.0,6.0,3.0,0.0,0.0,0.0,53.0,3.0,1.0,6.0,22.0,7.0,7.0,3.0,12.0,0.0,28.0,0.0,0.0,2.0,1.0,4.0,2.0,31.0,0.0,3.0,3.0,15.0,4.0,9.0,12.0,1.0,2.0,0.0,35.0
2010-49,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
