date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu game,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-40,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,36.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,0.0,7.0,5.0,5.0,23.0,45.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,71.0,11.0,0.0,11.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,19.0,30.0,0.0,0.0,0.0,0.0,77.0,3.0,0.0,14.0,12.0,8.0,16.0,0.0,0.0,0.0,6.0,20.0,0.0,6.0,4.0,4.0,0.0,46.0,0.0,5.0,4.0,14.0,5.0,7.0,5.0,6.0,6.0,61.0
2010-41,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,36.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,0.0,7.0,5.0,5.0,23.0,45.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,71.0,11.0,0.0,11.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,19.0,30.0,0.0,0.0,0.0,0.0,77.0,3.0,0.0,14.0,12.0,8.0,16.0,0.0,0.0,0.0,6.0,20.0,0.0,6.0,4.0,4.0,0.0,46.0,0.0,5.0,4.0,14.0,5.0,7.0,5.0,6.0,6.0,61.0
2010-42,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,36.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,0.0,7.0,5.0,5.0,23.0,45.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,71.0,11.0,0.0,11.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,19.0,30.0,0.0,0.0,0.0,0.0,77.0,3.0,0.0,14.0,12.0,8.0,16.0,0.0,0.0,0.0,6.0,20.0,0.0,6.0,4.0,4.0,0.0,46.0,0.0,5.0,4.0,14.0,5.0,7.0,5.0,6.0,6.0,61.0
2010-43,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,36.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,0.0,7.0,5.0,5.0,23.0,45.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,71.0,11.0,0.0,11.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,19.0,30.0,0.0,0.0,0.0,0.0,77.0,3.0,0.0,14.0,12.0,8.0,16.0,0.0,0.0,0.0,6.0,20.0,0.0,6.0,4.0,4.0,0.0,46.0,0.0,5.0,4.0,14.0,5.0,7.0,5.0,6.0,6.0,61.0
2010-44,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,36.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,0.0,7.0,5.0,5.0,23.0,45.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,71.0,11.0,0.0,11.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,19.0,30.0,0.0,0.0,0.0,0.0,77.0,3.0,0.0,14.0,12.0,8.0,16.0,0.0,0.0,0.0,6.0,20.0,0.0,6.0,4.0,4.0,0.0,46.0,0.0,5.0,4.0,14.0,5.0,7.0,5.0,6.0,6.0,61.0
2010-45,12.0,0.0,55.0,0.0,28.0,0.0,0.0,4.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,35.0,4.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,7.0,12.0,4.0,5.0,2.0,14.0,5.0,5.0,23.0,20.0,10.0,20.0,10.0,15.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,44.0,11.0,0.0,11.0,0.0,7.0,7.0,7.0,100.0,33.0,0.0,33.0,3.0,15.0,0.0,19.0,4.0,11.0,14.0,4.0,1.0,0.0,0.0,80.0,0.0,3.0,22.0,12.0,8.0,16.0,0.0,16.0,6.0,0.0,9.0,6.0,4.0,0.0,18.0,0.0,42.0,0.0,11.0,5.0,10.0,5.0,24.0,0.0,12.0,0.0,44.0
2010-46,12.0,0.0,55.0,0.0,28.0,0.0,0.0,4.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,35.0,4.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,7.0,12.0,4.0,5.0,2.0,14.0,5.0,5.0,23.0,20.0,10.0,20.0,10.0,15.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,44.0,11.0,0.0,11.0,0.0,7.0,7.0,7.0,100.0,33.0,0.0,33.0,3.0,15.0,0.0,19.0,4.0,11.0,14.0,4.0,1.0,0.0,0.0,80.0,0.0,3.0,22.0,12.0,8.0,16.0,0.0,16.0,6.0,0.0,9.0,6.0,4.0,0.0,18.0,0.0,42.0,0.0,11.0,5.0,10.0,5.0,24.0,0.0,12.0,0.0,44.0
2010-47,12.0,0.0,55.0,0.0,28.0,0.0,0.0,4.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,35.0,4.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,7.0,12.0,4.0,5.0,2.0,14.0,5.0,5.0,23.0,20.0,10.0,20.0,10.0,15.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,44.0,11.0,0.0,11.0,0.0,7.0,7.0,7.0,100.0,33.0,0.0,33.0,3.0,15.0,0.0,19.0,4.0,11.0,14.0,4.0,1.0,0.0,0.0,80.0,0.0,3.0,22.0,12.0,8.0,16.0,0.0,16.0,6.0,0.0,9.0,6.0,4.0,0.0,18.0,0.0,42.0,0.0,11.0,5.0,10.0,5.0,24.0,0.0,12.0,0.0,44.0
2010-48,12.0,0.0,55.0,0.0,28.0,0.0,0.0,4.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,35.0,4.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,7.0,12.0,4.0,5.0,2.0,14.0,5.0,5.0,23.0,20.0,10.0,20.0,10.0,15.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,44.0,11.0,0.0,11.0,0.0,7.0,7.0,7.0,100.0,33.0,0.0,33.0,3.0,15.0,0.0,19.0,4.0,11.0,14.0,4.0,1.0,0.0,0.0,80.0,0.0,3.0,22.0,12.0,8.0,16.0,0.0,16.0,6.0,0.0,9.0,6.0,4.0,0.0,18.0,0.0,42.0,0.0,11.0,5.0,10.0,5.0,24.0,0.0,12.0,0.0,44.0
2010-49,4.0,34.0,17.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,23.0,0.0,0.0,0.0,1.0,30.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,3.0,3.0,6.0,19.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,34.0,7.0,7.0,0.0,0.0,4.0,0.0,4.0,21.0,0.0,0.0,0.0,2.0,6.0,5.0,3.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,83.0,0.0,0.0,4.0,15.0,7.0,5.0,0.0,10.0,4.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0,36.0,0.0,2.0,5.0,0.0,3.0,3.0,0.0,4.0,0.0,54.0
