date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,2018 flu,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,flu 2019,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,sc flu,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,flu in sc,get over the flu,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-40,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,65.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,57.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,55.0,0.0,22.0,0.0,0.0,91.0,0.0,40.0,41.0,0.0,0.0,16.0,0.0,16.0,0.0,5.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,57.0
2010-41,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,65.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,57.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,55.0,0.0,22.0,0.0,0.0,91.0,0.0,40.0,41.0,0.0,0.0,16.0,0.0,16.0,0.0,5.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,57.0
2010-42,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,65.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,57.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,55.0,0.0,22.0,0.0,0.0,91.0,0.0,40.0,41.0,0.0,0.0,16.0,0.0,16.0,0.0,5.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,57.0
2010-43,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,65.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,57.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,55.0,0.0,22.0,0.0,0.0,91.0,0.0,40.0,41.0,0.0,0.0,16.0,0.0,16.0,0.0,5.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,57.0
2010-44,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,65.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,57.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,55.0,0.0,22.0,0.0,0.0,91.0,0.0,40.0,41.0,0.0,0.0,16.0,0.0,16.0,0.0,5.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,57.0
2010-45,10.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,2.0,0.0,0.0,10.0,0.0,0.0,7.0,7.0,13.0,0.0,9.0,0.0,22.0,0.0,0.0,22.0,35.0,34.0,0.0,35.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,35.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,65.0,87.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,25.0,25.0
2010-46,10.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,2.0,0.0,0.0,10.0,0.0,0.0,7.0,7.0,13.0,0.0,9.0,0.0,22.0,0.0,0.0,22.0,35.0,34.0,0.0,35.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,35.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,65.0,87.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,25.0,25.0
2010-47,10.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,2.0,0.0,0.0,10.0,0.0,0.0,7.0,7.0,13.0,0.0,9.0,0.0,22.0,0.0,0.0,22.0,35.0,34.0,0.0,35.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,35.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,65.0,87.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,25.0,25.0
2010-48,10.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,2.0,0.0,0.0,10.0,0.0,0.0,7.0,7.0,13.0,0.0,9.0,0.0,22.0,0.0,0.0,22.0,35.0,34.0,0.0,35.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,35.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,65.0,87.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,25.0,25.0
2010-49,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2010-50,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2010-51,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2010-52,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2011-01,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2011-02,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2011-03,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2011-04,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
2011-05,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,19.0,19.0,0.0,8.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,11.0,50.0
