date,flu,treating flu,medicine for the flu,high fever,is the flu contagious,get over the flu,medicine for flu,how to get rid of the flu,fever cough,pneumonia,fever flu,flu type a,normal body,signs of flu,symptoms of the flu,cold or flu,stomach flu,flu 2018,cold versus flu,incubation period for flu,how long flu,treating the flu,flu treatments,flu complications,flu contagious,contagious flu,how to treat flu,flu fever,symptoms of bronchitis,cure the flu,flu vs cold,flu contagious period,bronchitis,flu test,signs of the flu,the flu virus,flu cough,treat flu,ear thermometer,taking temperature,treatment for flu,over the counter flu,reduce a fever,flu and cold,fight the flu,flu vs. cold,cure flu,human temperature,how to treat the flu,flu length,remedies for flu,how long does flu last,break a fever,flu shots,symptoms of flu,treat the flu,flu headache,flu report,incubation period for the flu,influenza a and b,how long is the flu contagious,normal body temperature,tamiflu,flu germs,flu lasts,thermoscan,flu treatment,is flu contagious,flu care,flu children,swine flu,cold vs flu,flu like symptoms,flu recovery,flu versus cold,exposed to flu,body temperature,influenza type a,flu medicine,symptoms,flu texas,the flu symptoms,flu shot,flu or cold,the flu,cold vs. flu,flu a symptoms,flu in children,do i have the flu,i have the flu,influenza incubation period,flu season,oscillococcinum,what is the flu,low body,remedies for the flu
2010-40,10.0,0.0,0.0,36.0,5.0,0.0,5.0,5.0,10.0,33.0,2.0,1.0,3.0,4.0,8.0,4.0,40.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,9.0,5.0,1.0,0.0,0.0,32.0,7.0,12.0,5.0,7.0,9.0,18.0,18.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,4.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,17.0,0.0,13.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,68.0,0.0,1.0,9.0,1.0,7.0,0.0,3.0,3.0,10.0,1.0,1.0,6.0,3.0,15.0,11.0,0.0
2010-41,10.0,0.0,0.0,36.0,5.0,0.0,5.0,5.0,10.0,33.0,2.0,1.0,3.0,4.0,8.0,4.0,40.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,9.0,5.0,1.0,0.0,0.0,32.0,7.0,12.0,5.0,7.0,9.0,18.0,18.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,4.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,17.0,0.0,13.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,68.0,0.0,1.0,9.0,1.0,7.0,0.0,3.0,3.0,10.0,1.0,1.0,6.0,3.0,15.0,11.0,0.0
2010-42,10.0,0.0,0.0,36.0,5.0,0.0,5.0,5.0,10.0,33.0,2.0,1.0,3.0,4.0,8.0,4.0,40.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,9.0,5.0,1.0,0.0,0.0,32.0,7.0,12.0,5.0,7.0,9.0,18.0,18.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,4.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,17.0,0.0,13.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,68.0,0.0,1.0,9.0,1.0,7.0,0.0,3.0,3.0,10.0,1.0,1.0,6.0,3.0,15.0,11.0,0.0
2010-43,10.0,0.0,0.0,36.0,5.0,0.0,5.0,5.0,10.0,33.0,2.0,1.0,3.0,4.0,8.0,4.0,40.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,9.0,5.0,1.0,0.0,0.0,32.0,7.0,12.0,5.0,7.0,9.0,18.0,18.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,4.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,17.0,0.0,13.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,68.0,0.0,1.0,9.0,1.0,7.0,0.0,3.0,3.0,10.0,1.0,1.0,6.0,3.0,15.0,11.0,0.0
2010-44,10.0,0.0,0.0,36.0,5.0,0.0,5.0,5.0,10.0,33.0,2.0,1.0,3.0,4.0,8.0,4.0,40.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,9.0,5.0,1.0,0.0,0.0,32.0,7.0,12.0,5.0,7.0,9.0,18.0,18.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,4.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,17.0,0.0,13.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,68.0,0.0,1.0,9.0,1.0,7.0,0.0,3.0,3.0,10.0,1.0,1.0,6.0,3.0,15.0,11.0,0.0
2010-45,10.0,5.0,5.0,65.0,0.0,0.0,10.0,5.0,25.0,42.0,3.0,1.0,4.0,7.0,9.0,3.0,39.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,11.0,10.0,5.0,10.0,3.0,1.0,1.0,0.0,36.0,5.0,0.0,3.0,7.0,14.0,14.0,9.0,18.0,3.0,3.0,22.0,0.0,0.0,40.0,27.0,27.0,0.0,6.0,10.0,9.0,6.0,6.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,4.0,21.0,0.0,0.0,2.0,12.0,2.0,2.0,0.0,0.0,3.0,46.0,0.0,0.0,67.0,0.0,2.0,4.0,0.0,7.0,0.0,7.0,3.0,0.0,3.0,0.0,2.0,4.0,10.0,27.0,3.0
2010-46,10.0,5.0,5.0,65.0,0.0,0.0,10.0,5.0,25.0,42.0,3.0,1.0,4.0,7.0,9.0,3.0,39.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,11.0,10.0,5.0,10.0,3.0,1.0,1.0,0.0,36.0,5.0,0.0,3.0,7.0,14.0,14.0,9.0,18.0,3.0,3.0,22.0,0.0,0.0,40.0,27.0,27.0,0.0,6.0,10.0,9.0,6.0,6.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,4.0,21.0,0.0,0.0,2.0,12.0,2.0,2.0,0.0,0.0,3.0,46.0,0.0,0.0,67.0,0.0,2.0,4.0,0.0,7.0,0.0,7.0,3.0,0.0,3.0,0.0,2.0,4.0,10.0,27.0,3.0
2010-47,10.0,5.0,5.0,65.0,0.0,0.0,10.0,5.0,25.0,42.0,3.0,1.0,4.0,7.0,9.0,3.0,39.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,11.0,10.0,5.0,10.0,3.0,1.0,1.0,0.0,36.0,5.0,0.0,3.0,7.0,14.0,14.0,9.0,18.0,3.0,3.0,22.0,0.0,0.0,40.0,27.0,27.0,0.0,6.0,10.0,9.0,6.0,6.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,4.0,21.0,0.0,0.0,2.0,12.0,2.0,2.0,0.0,0.0,3.0,46.0,0.0,0.0,67.0,0.0,2.0,4.0,0.0,7.0,0.0,7.0,3.0,0.0,3.0,0.0,2.0,4.0,10.0,27.0,3.0
2010-48,10.0,5.0,5.0,65.0,0.0,0.0,10.0,5.0,25.0,42.0,3.0,1.0,4.0,7.0,9.0,3.0,39.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,11.0,10.0,5.0,10.0,3.0,1.0,1.0,0.0,36.0,5.0,0.0,3.0,7.0,14.0,14.0,9.0,18.0,3.0,3.0,22.0,0.0,0.0,40.0,27.0,27.0,0.0,6.0,10.0,9.0,6.0,6.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,4.0,21.0,0.0,0.0,2.0,12.0,2.0,2.0,0.0,0.0,3.0,46.0,0.0,0.0,67.0,0.0,2.0,4.0,0.0,7.0,0.0,7.0,3.0,0.0,3.0,0.0,2.0,4.0,10.0,27.0,3.0
2010-49,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
