date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,flu utah,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,food poisoning,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,flu in utah,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-40,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,23.0,0.0,11.0,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,46.0,0.0,46.0,0.0,35.0,10.0,15.0,10.0,0.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,55.0,0.0,55.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,52.0,0.0,59.0,30.0,74.0
2010-41,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,23.0,0.0,11.0,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,46.0,0.0,46.0,0.0,35.0,10.0,15.0,10.0,0.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,55.0,0.0,55.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,52.0,0.0,59.0,30.0,74.0
2010-42,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,23.0,0.0,11.0,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,46.0,0.0,46.0,0.0,35.0,10.0,15.0,10.0,0.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,55.0,0.0,55.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,52.0,0.0,59.0,30.0,74.0
2010-43,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,23.0,0.0,11.0,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,46.0,0.0,46.0,0.0,35.0,10.0,15.0,10.0,0.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,55.0,0.0,55.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,52.0,0.0,59.0,30.0,74.0
2010-44,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,23.0,0.0,11.0,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,46.0,0.0,46.0,0.0,35.0,10.0,15.0,10.0,0.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,55.0,0.0,55.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,52.0,0.0,59.0,30.0,74.0
2010-45,18.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,45.0,26.0,0.0,0.0,5.0,31.0,0.0,21.0,21.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.0,10.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2010-46,18.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,45.0,26.0,0.0,0.0,5.0,31.0,0.0,21.0,21.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.0,10.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2010-47,18.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,45.0,26.0,0.0,0.0,5.0,31.0,0.0,21.0,21.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.0,10.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2010-48,18.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,45.0,26.0,0.0,0.0,5.0,31.0,0.0,21.0,21.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.0,10.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2010-49,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,45.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,47.0,47.0,19.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,8.0,10.0,28.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,0.0,21.0,21.0,28.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,26.0,0.0,0.0,0.0,15.0,0.0,74.0
