date,alabama_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,symptoms,signs of flu,flu test,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,tamiflu,treatment for flu,taking temperature,exposed to flu,flu length,flu alabama,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,oscillococcinum,cold or flu,flu remedies,flu in alabama,flu complications,signs of the flu,how to get rid of the flu,body temperature,target_1,target_2,target_4,target_8
2010-40,2.13477,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,10.0,10.0,9.0,9.0,29.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.05999,1.9422400000000002,2.83371,4.44043
2010-41,2.05999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,10.0,10.0,9.0,9.0,29.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.9422400000000002,2.2765,3.46224,5.8109699999999975
2010-42,1.9422400000000002,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,10.0,10.0,9.0,9.0,29.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.2765,2.83371,3.5324800000000005,10.4359
2010-43,2.2765,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,10.0,10.0,9.0,9.0,29.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.83371,3.46224,4.27655,13.0878
2010-44,2.83371,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,10.0,10.0,9.0,9.0,29.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.46224,3.5324800000000005,4.44043,11.6592
2010-45,3.46224,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,10.0,1.0,0.0,0.0,10.0,6.0,0.0,17.0,0.0,0.0,28.0,28.0,0.0,13.0,0.0,40.0,0.0,42.0,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,67.0,0.0,17.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,10.0,12.0,12.0,12.0,37.0,0.0,83.0,1.0,0.0,26.0,0.0,0.0,26.0,0.0,15.0,20.0,0.0,16.0,3.0,3.0,0.0,0.0,6.0,40.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,69.0,3.5324800000000005,4.27655,5.8109699999999975,9.73755
2010-46,3.5324800000000005,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,10.0,1.0,0.0,0.0,10.0,6.0,0.0,17.0,0.0,0.0,28.0,28.0,0.0,13.0,0.0,40.0,0.0,42.0,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,67.0,0.0,17.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,10.0,12.0,12.0,12.0,37.0,0.0,83.0,1.0,0.0,26.0,0.0,0.0,26.0,0.0,15.0,20.0,0.0,16.0,3.0,3.0,0.0,0.0,6.0,40.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,69.0,4.27655,4.44043,10.4359,11.944
2010-47,4.27655,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,10.0,1.0,0.0,0.0,10.0,6.0,0.0,17.0,0.0,0.0,28.0,28.0,0.0,13.0,0.0,40.0,0.0,42.0,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,67.0,0.0,17.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,10.0,12.0,12.0,12.0,37.0,0.0,83.0,1.0,0.0,26.0,0.0,0.0,26.0,0.0,15.0,20.0,0.0,16.0,3.0,3.0,0.0,0.0,6.0,40.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,69.0,4.44043,5.8109699999999975,13.0878,13.1063
2010-48,4.44043,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,10.0,1.0,0.0,0.0,10.0,6.0,0.0,17.0,0.0,0.0,28.0,28.0,0.0,13.0,0.0,40.0,0.0,42.0,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,67.0,0.0,17.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,10.0,12.0,12.0,12.0,37.0,0.0,83.0,1.0,0.0,26.0,0.0,0.0,26.0,0.0,15.0,20.0,0.0,16.0,3.0,3.0,0.0,0.0,6.0,40.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,69.0,5.8109699999999975,10.4359,11.6592,14.7376
2010-49,5.8109699999999975,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,28.0,0.0,0.0,0.0,2.0,30.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,5.0,13.0,0.0,10.0,6.0,0.0,0.0,6.0,0.0,79.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,5.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,72.0,10.4359,13.0878,9.73755,12.5984
2010-50,10.4359,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,28.0,0.0,0.0,0.0,2.0,30.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,5.0,13.0,0.0,10.0,6.0,0.0,0.0,6.0,0.0,79.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,5.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,72.0,13.0878,11.6592,11.944,11.5078
