date,colorado_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,colorado flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu shot walgreens,flu denver,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,symptoms,fever,signs of flu,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature,target
2010-40,0.660684,19.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,2.0,24.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,20.0,30.0,0.0,20.0,2.0,20.0,2.0,2.0,0.0,22.0,22.0,22.0,0.0,30.0,40.0,0.0,22.0,0.0,0.0,44.0,51.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,6.0,33.0,0.0,34.0,0.0,0.0,10.0,0.0,77.0,13.0,0.0,99.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,14.0,0.0,14.0,47.0,0.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,10.0,10.0,49.0,0.628621
2010-41,0.628621,19.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,2.0,24.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,20.0,30.0,0.0,20.0,2.0,20.0,2.0,2.0,0.0,22.0,22.0,22.0,0.0,30.0,40.0,0.0,22.0,0.0,0.0,44.0,51.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,6.0,33.0,0.0,34.0,0.0,0.0,10.0,0.0,77.0,13.0,0.0,99.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,14.0,0.0,14.0,47.0,0.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,10.0,10.0,49.0,0.80402
2010-42,0.80402,19.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,2.0,24.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,20.0,30.0,0.0,20.0,2.0,20.0,2.0,2.0,0.0,22.0,22.0,22.0,0.0,30.0,40.0,0.0,22.0,0.0,0.0,44.0,51.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,6.0,33.0,0.0,34.0,0.0,0.0,10.0,0.0,77.0,13.0,0.0,99.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,14.0,0.0,14.0,47.0,0.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,10.0,10.0,49.0,0.909658
2010-43,0.909658,19.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,2.0,24.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,20.0,30.0,0.0,20.0,2.0,20.0,2.0,2.0,0.0,22.0,22.0,22.0,0.0,30.0,40.0,0.0,22.0,0.0,0.0,44.0,51.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,6.0,33.0,0.0,34.0,0.0,0.0,10.0,0.0,77.0,13.0,0.0,99.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,14.0,0.0,14.0,47.0,0.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,10.0,10.0,49.0,0.9717049999999999
2010-44,0.9717049999999999,19.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,2.0,24.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,20.0,30.0,0.0,20.0,2.0,20.0,2.0,2.0,0.0,22.0,22.0,22.0,0.0,30.0,40.0,0.0,22.0,0.0,0.0,44.0,51.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,6.0,33.0,0.0,34.0,0.0,0.0,10.0,0.0,77.0,13.0,0.0,99.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,14.0,0.0,14.0,47.0,0.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,10.0,10.0,49.0,0.719015
2010-45,0.719015,14.0,0.0,0.0,45.0,0.0,22.0,0.0,0.0,5.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,46.0,33.0,16.0,0.0,0.0,8.0,0.0,0.0,2.0,16.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,19.0,39.0,0.0,58.0,0.0,6.0,0.0,2.0,0.0,22.0,22.0,22.0,0.0,20.0,50.0,0.0,22.0,0.0,0.0,44.0,100.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,55.0,5.0,19.0,0.0,0.0,19.0,0.0,81.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,28.0,49.0,5.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.696032
2010-46,0.696032,14.0,0.0,0.0,45.0,0.0,22.0,0.0,0.0,5.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,46.0,33.0,16.0,0.0,0.0,8.0,0.0,0.0,2.0,16.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,19.0,39.0,0.0,58.0,0.0,6.0,0.0,2.0,0.0,22.0,22.0,22.0,0.0,20.0,50.0,0.0,22.0,0.0,0.0,44.0,100.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,55.0,5.0,19.0,0.0,0.0,19.0,0.0,81.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,28.0,49.0,5.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.754401
2010-47,0.754401,14.0,0.0,0.0,45.0,0.0,22.0,0.0,0.0,5.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,46.0,33.0,16.0,0.0,0.0,8.0,0.0,0.0,2.0,16.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,19.0,39.0,0.0,58.0,0.0,6.0,0.0,2.0,0.0,22.0,22.0,22.0,0.0,20.0,50.0,0.0,22.0,0.0,0.0,44.0,100.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,55.0,5.0,19.0,0.0,0.0,19.0,0.0,81.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,28.0,49.0,5.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.8497290000000001
2010-48,0.8497290000000001,14.0,0.0,0.0,45.0,0.0,22.0,0.0,0.0,5.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,46.0,33.0,16.0,0.0,0.0,8.0,0.0,0.0,2.0,16.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,19.0,39.0,0.0,58.0,0.0,6.0,0.0,2.0,0.0,22.0,22.0,22.0,0.0,20.0,50.0,0.0,22.0,0.0,0.0,44.0,100.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,55.0,5.0,19.0,0.0,0.0,19.0,0.0,81.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,28.0,49.0,5.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.809504
2010-49,0.809504,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,24.0,10.0,0.0,10.0,4.0,0.0,0.0,1.0,9.0,0.0,5.0,0.0,4.0,0.0,12.0,4.0,0.0,23.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,41.0,12.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,14.0,43.0,0.0,3.0,0.0,26.0,3.0,6.0,0.0,0.0,8.0,0.0,80.0,12.0,0.0,57.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,50.0,0.0,8.0,3.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,28.0,0.901601
