date,connecticut_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu connecticut,flu headache,flu vs. cold,ct flu,high fever,cvs flu shot,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu in ct,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu clinic,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature,target_1,target_2,target_4,target_8
2010-40,0.0783085,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0,17.0,33.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,36.0,18.0,0.0,0.0,36.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,9.0,0.0,56.0,0.0,19.0,13.0,0.0,19.0,19.0,0.0,0.0,16.0,0.0,16.0,0.23809499999999997,0.374158,0.39674299999999996,0.44299399999999994
2010-41,0.23809499999999997,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0,17.0,33.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,36.0,18.0,0.0,0.0,36.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,9.0,0.0,56.0,0.0,19.0,13.0,0.0,19.0,19.0,0.0,0.0,16.0,0.0,16.0,0.374158,0.333542,0.319562,0.6548970000000001
2010-42,0.374158,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0,17.0,33.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,36.0,18.0,0.0,0.0,36.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,9.0,0.0,56.0,0.0,19.0,13.0,0.0,19.0,19.0,0.0,0.0,16.0,0.0,16.0,0.333542,0.39674299999999996,0.618847,0.659413
2010-43,0.333542,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0,17.0,33.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,36.0,18.0,0.0,0.0,36.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,9.0,0.0,56.0,0.0,19.0,13.0,0.0,19.0,19.0,0.0,0.0,16.0,0.0,16.0,0.39674299999999996,0.319562,0.716612,0.8735629999999999
2010-44,0.39674299999999996,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0,17.0,33.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,36.0,18.0,0.0,0.0,36.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,9.0,0.0,56.0,0.0,19.0,13.0,0.0,19.0,19.0,0.0,0.0,16.0,0.0,16.0,0.319562,0.618847,0.44299399999999994,0.8535780000000001
2010-45,0.319562,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,0.0,0.0,0.0,3.0,45.0,5.0,3.0,0.0,0.0,6.0,4.0,0.0,10.0,0.0,13.0,27.0,0.0,0.0,26.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,34.0,0.0,0.0,0.0,22.0,0.0,9.0,10.0,9.0,0.0,43.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,15.0,15.0,0.0,69.0,0.618847,0.716612,0.6548970000000001,0.923191
2010-46,0.618847,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,0.0,0.0,0.0,3.0,45.0,5.0,3.0,0.0,0.0,6.0,4.0,0.0,10.0,0.0,13.0,27.0,0.0,0.0,26.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,34.0,0.0,0.0,0.0,22.0,0.0,9.0,10.0,9.0,0.0,43.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,15.0,15.0,0.0,69.0,0.716612,0.44299399999999994,0.659413,1.0464799999999999
2010-47,0.716612,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,0.0,0.0,0.0,3.0,45.0,5.0,3.0,0.0,0.0,6.0,4.0,0.0,10.0,0.0,13.0,27.0,0.0,0.0,26.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,34.0,0.0,0.0,0.0,22.0,0.0,9.0,10.0,9.0,0.0,43.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,15.0,15.0,0.0,69.0,0.44299399999999994,0.6548970000000001,0.8735629999999999,1.18359
2010-48,0.44299399999999994,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,0.0,0.0,0.0,3.0,45.0,5.0,3.0,0.0,0.0,6.0,4.0,0.0,10.0,0.0,13.0,27.0,0.0,0.0,26.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,34.0,0.0,0.0,0.0,22.0,0.0,9.0,10.0,9.0,0.0,43.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,15.0,15.0,0.0,69.0,0.6548970000000001,0.659413,0.8535780000000001,1.0716299999999999
2010-49,0.6548970000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,4.0,0.0,0.0,6.0,6.0,0.0,8.0,0.0,8.0,34.0,0.0,0.0,0.0,0.0,21.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,9.0,0.0,9.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,44.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,74.0,0.659413,0.8735629999999999,0.923191,1.64619
