date,district_of_columbia_flu,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,dc flu,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,flu shot cvs,flu game,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,spanish flu,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,cold symptoms,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature,target
2010-40,2.80877,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,12.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,23.0,0.0,19.0,19.0,0.0,0.0,21.0,51.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,9.0,9.0,7.0,0.0,14.0,17.0,6.0,20.0,6.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,20.0,0.0,31.0,0.0,0.0,47.0,15.0,15.0,0.0,15.0,24.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,10.0,0.0,72.0,2.89079
2010-41,2.89079,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,12.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,23.0,0.0,19.0,19.0,0.0,0.0,21.0,51.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,9.0,9.0,7.0,0.0,14.0,17.0,6.0,20.0,6.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,20.0,0.0,31.0,0.0,0.0,47.0,15.0,15.0,0.0,15.0,24.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,10.0,0.0,72.0,2.4104200000000002
2010-42,2.4104200000000002,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,12.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,23.0,0.0,19.0,19.0,0.0,0.0,21.0,51.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,9.0,9.0,7.0,0.0,14.0,17.0,6.0,20.0,6.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,20.0,0.0,31.0,0.0,0.0,47.0,15.0,15.0,0.0,15.0,24.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,10.0,0.0,72.0,3.11632
2010-43,3.11632,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,12.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,23.0,0.0,19.0,19.0,0.0,0.0,21.0,51.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,9.0,9.0,7.0,0.0,14.0,17.0,6.0,20.0,6.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,20.0,0.0,31.0,0.0,0.0,47.0,15.0,15.0,0.0,15.0,24.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,10.0,0.0,72.0,2.99118
2010-44,2.99118,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,12.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,23.0,0.0,19.0,19.0,0.0,0.0,21.0,51.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,9.0,9.0,7.0,0.0,14.0,17.0,6.0,20.0,6.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,20.0,0.0,31.0,0.0,0.0,47.0,15.0,15.0,0.0,15.0,24.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,10.0,0.0,72.0,2.32951
2010-45,2.32951,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,11.0,14.0,0.0,10.0,12.0,0.0,1.0,0.0,14.0,0.0,14.0,26.0,0.0,0.0,10.0,0.0,32.0,13.0,19.0,2.0,1.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,41.0,21.0,21.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,33.0,60.0,0.0,9.0,9.0,7.0,0.0,14.0,49.0,17.0,14.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0,0.0,31.0,16.0,16.0,31.0,44.0,0.0,0.0,15.0,51.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,57.0,1.5844
2010-46,1.5844,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,11.0,14.0,0.0,10.0,12.0,0.0,1.0,0.0,14.0,0.0,14.0,26.0,0.0,0.0,10.0,0.0,32.0,13.0,19.0,2.0,1.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,41.0,21.0,21.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,33.0,60.0,0.0,9.0,9.0,7.0,0.0,14.0,49.0,17.0,14.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0,0.0,31.0,16.0,16.0,31.0,44.0,0.0,0.0,15.0,51.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,57.0,3.3351900000000003
2010-47,3.3351900000000003,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,11.0,14.0,0.0,10.0,12.0,0.0,1.0,0.0,14.0,0.0,14.0,26.0,0.0,0.0,10.0,0.0,32.0,13.0,19.0,2.0,1.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,41.0,21.0,21.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,33.0,60.0,0.0,9.0,9.0,7.0,0.0,14.0,49.0,17.0,14.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0,0.0,31.0,16.0,16.0,31.0,44.0,0.0,0.0,15.0,51.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,57.0,4.1589599999999995
2010-48,4.1589599999999995,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,11.0,14.0,0.0,10.0,12.0,0.0,1.0,0.0,14.0,0.0,14.0,26.0,0.0,0.0,10.0,0.0,32.0,13.0,19.0,2.0,1.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,41.0,21.0,21.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,33.0,60.0,0.0,9.0,9.0,7.0,0.0,14.0,49.0,17.0,14.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0,0.0,31.0,16.0,16.0,31.0,44.0,0.0,0.0,15.0,51.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,57.0,3.26052
2010-49,3.26052,6.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,6.0,0.0,4.0,7.0,0.0,0.0,0.0,7.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,34.0,0.0,27.0,2.0,0.0,0.0,3.0,0.0,0.0,21.0,20.0,0.0,0.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,55.0,0.0,0.0,9.0,0.0,7.0,0.0,22.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,34.0,0.0,4.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,44.0,4.33125
