date,kansas_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,flu in kansas,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,free flu shots,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature,target_1,target_2,target_4,target_8
2010-40,0.44222700000000004,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,19.0,0.0,73.0,37.0,0.0,0.0,19.0,0.0,0.0,0.0,81.0,0.0,54.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,78.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,75.0,0.57749,0.47975,0.481289,0.719424
2010-41,0.57749,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,19.0,0.0,73.0,37.0,0.0,0.0,19.0,0.0,0.0,0.0,81.0,0.0,54.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,78.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,75.0,0.47975,0.538071,0.724993,0.8284370000000001
2010-42,0.47975,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,19.0,0.0,73.0,37.0,0.0,0.0,19.0,0.0,0.0,0.0,81.0,0.0,54.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,78.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,75.0,0.538071,0.481289,0.595801,0.8626
2010-43,0.538071,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,19.0,0.0,73.0,37.0,0.0,0.0,19.0,0.0,0.0,0.0,81.0,0.0,54.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,78.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,75.0,0.481289,0.724993,0.890511,0.968867
2010-44,0.481289,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,19.0,0.0,73.0,37.0,0.0,0.0,19.0,0.0,0.0,0.0,81.0,0.0,54.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,78.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,75.0,0.724993,0.595801,0.719424,1.36456
2010-45,0.724993,10.0,0.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,3.0,27.0,14.0,14.0,0.0,0.0,0.0,0.0,45.0,30.0,30.0,30.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,49.0,50.0,0.0,58.0,10.0,34.0,19.0,0.0,0.0,19.0,32.0,32.0,0.0,0.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,49.0,0.0,10.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,38.0,0.595801,0.890511,0.8284370000000001,1.05792
2010-46,0.595801,10.0,0.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,3.0,27.0,14.0,14.0,0.0,0.0,0.0,0.0,45.0,30.0,30.0,30.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,49.0,50.0,0.0,58.0,10.0,34.0,19.0,0.0,0.0,19.0,32.0,32.0,0.0,0.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,49.0,0.0,10.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,38.0,0.890511,0.719424,0.8626,1.06197
2010-47,0.890511,10.0,0.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,3.0,27.0,14.0,14.0,0.0,0.0,0.0,0.0,45.0,30.0,30.0,30.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,49.0,50.0,0.0,58.0,10.0,34.0,19.0,0.0,0.0,19.0,32.0,32.0,0.0,0.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,49.0,0.0,10.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,38.0,0.719424,0.8284370000000001,0.968867,1.60295
2010-48,0.719424,10.0,0.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,3.0,27.0,14.0,14.0,0.0,0.0,0.0,0.0,45.0,30.0,30.0,30.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,49.0,50.0,0.0,58.0,10.0,34.0,19.0,0.0,0.0,19.0,32.0,32.0,0.0,0.0,0.0,54.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,49.0,0.0,10.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,38.0,0.8284370000000001,0.8626,1.36456,2.8456900000000003
2010-49,0.8284370000000001,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,43.0,0.0,0.0,0.0,59.0,0.0,0.0,12.0,12.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,30.0,0.8626,0.968867,1.05792,3.3140199999999997
