date,michigan_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,michigan flu,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,flu in michigan,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu,target_1,target_2,target_4,target_8
2010-40,0.6718310000000001,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,58.0,7.0,0.0,0.0,2.0,2.0,0.0,49.0,29.0,6.0,11.0,6.0,10.0,7.0,0.0,0.0,0.0,11.0,6.0,6.0,25.0,25.0,0.0,0.0,0.0,51.0,17.0,51.0,0.0,30.0,0.0,0.0,0.0,43.0,0.0,22.0,14.0,29.0,29.0,14.0,0.0,0.0,17.0,17.0,3.0,2.0,0.0,49.0,0.0,0.0,66.0,33.0,4.0,0.0,16.0,8.0,11.0,30.0,5.0,0.0,0.0,19.0,19.0,0.0,51.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,5.0,3.0,22.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.585011,0.524238,0.863417,0.564609
2010-41,0.585011,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,58.0,7.0,0.0,0.0,2.0,2.0,0.0,49.0,29.0,6.0,11.0,6.0,10.0,7.0,0.0,0.0,0.0,11.0,6.0,6.0,25.0,25.0,0.0,0.0,0.0,51.0,17.0,51.0,0.0,30.0,0.0,0.0,0.0,43.0,0.0,22.0,14.0,29.0,29.0,14.0,0.0,0.0,17.0,17.0,3.0,2.0,0.0,49.0,0.0,0.0,66.0,33.0,4.0,0.0,16.0,8.0,11.0,30.0,5.0,0.0,0.0,19.0,19.0,0.0,51.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,5.0,3.0,22.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.524238,0.921435,0.806639,0.563399
2010-42,0.524238,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,58.0,7.0,0.0,0.0,2.0,2.0,0.0,49.0,29.0,6.0,11.0,6.0,10.0,7.0,0.0,0.0,0.0,11.0,6.0,6.0,25.0,25.0,0.0,0.0,0.0,51.0,17.0,51.0,0.0,30.0,0.0,0.0,0.0,43.0,0.0,22.0,14.0,29.0,29.0,14.0,0.0,0.0,17.0,17.0,3.0,2.0,0.0,49.0,0.0,0.0,66.0,33.0,4.0,0.0,16.0,8.0,11.0,30.0,5.0,0.0,0.0,19.0,19.0,0.0,51.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,5.0,3.0,22.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.921435,0.863417,0.6554810000000001,0.755685
2010-43,0.921435,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,58.0,7.0,0.0,0.0,2.0,2.0,0.0,49.0,29.0,6.0,11.0,6.0,10.0,7.0,0.0,0.0,0.0,11.0,6.0,6.0,25.0,25.0,0.0,0.0,0.0,51.0,17.0,51.0,0.0,30.0,0.0,0.0,0.0,43.0,0.0,22.0,14.0,29.0,29.0,14.0,0.0,0.0,17.0,17.0,3.0,2.0,0.0,49.0,0.0,0.0,66.0,33.0,4.0,0.0,16.0,8.0,11.0,30.0,5.0,0.0,0.0,19.0,19.0,0.0,51.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,5.0,3.0,22.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.863417,0.806639,0.8551780000000001,0.6839189999999999
2010-44,0.863417,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,58.0,7.0,0.0,0.0,2.0,2.0,0.0,49.0,29.0,6.0,11.0,6.0,10.0,7.0,0.0,0.0,0.0,11.0,6.0,6.0,25.0,25.0,0.0,0.0,0.0,51.0,17.0,51.0,0.0,30.0,0.0,0.0,0.0,43.0,0.0,22.0,14.0,29.0,29.0,14.0,0.0,0.0,17.0,17.0,3.0,2.0,0.0,49.0,0.0,0.0,66.0,33.0,4.0,0.0,16.0,8.0,11.0,30.0,5.0,0.0,0.0,19.0,19.0,0.0,51.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,5.0,3.0,22.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.806639,0.6554810000000001,0.564609,0.899631
2010-45,0.806639,16.0,0.0,49.0,0.0,0.0,7.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,15.0,0.0,10.0,9.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,36.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,18.0,18.0,0.0,18.0,0.0,2.0,0.0,44.0,0.0,0.0,69.0,0.0,4.0,4.0,41.0,4.0,31.0,22.0,6.0,8.0,0.0,19.0,19.0,19.0,72.0,0.0,0.0,18.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,34.0,33.0,3.0,3.0,3.0,45.0,0.0,23.0,34.0,0.0,0.0,39.0,0.0,0.6554810000000001,0.8551780000000001,0.563399,0.6870390000000001
2010-46,0.6554810000000001,16.0,0.0,49.0,0.0,0.0,7.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,15.0,0.0,10.0,9.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,36.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,18.0,18.0,0.0,18.0,0.0,2.0,0.0,44.0,0.0,0.0,69.0,0.0,4.0,4.0,41.0,4.0,31.0,22.0,6.0,8.0,0.0,19.0,19.0,19.0,72.0,0.0,0.0,18.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,34.0,33.0,3.0,3.0,3.0,45.0,0.0,23.0,34.0,0.0,0.0,39.0,0.0,0.8551780000000001,0.564609,0.755685,0.8336620000000001
2010-47,0.8551780000000001,16.0,0.0,49.0,0.0,0.0,7.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,15.0,0.0,10.0,9.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,36.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,18.0,18.0,0.0,18.0,0.0,2.0,0.0,44.0,0.0,0.0,69.0,0.0,4.0,4.0,41.0,4.0,31.0,22.0,6.0,8.0,0.0,19.0,19.0,19.0,72.0,0.0,0.0,18.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,34.0,33.0,3.0,3.0,3.0,45.0,0.0,23.0,34.0,0.0,0.0,39.0,0.0,0.564609,0.563399,0.6839189999999999,1.0462
2010-48,0.564609,16.0,0.0,49.0,0.0,0.0,7.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,15.0,0.0,10.0,9.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,36.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,18.0,18.0,0.0,18.0,0.0,2.0,0.0,44.0,0.0,0.0,69.0,0.0,4.0,4.0,41.0,4.0,31.0,22.0,6.0,8.0,0.0,19.0,19.0,19.0,72.0,0.0,0.0,18.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,34.0,33.0,3.0,3.0,3.0,45.0,0.0,23.0,34.0,0.0,0.0,39.0,0.0,0.563399,0.755685,0.899631,1.5903100000000001
2010-49,0.563399,8.0,0.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,7.0,8.0,5.0,0.0,8.0,6.0,0.0,0.0,0.0,16.0,5.0,8.0,0.0,12.0,0.0,0.0,0.0,41.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,0.0,33.0,0.0,16.0,15.0,0.0,4.0,7.0,23.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,37.0,12.0,0.0,8.0,11.0,22.0,0.0,0.0,0.0,10.0,0.0,0.0,49.0,0.0,4.0,2.0,0.0,16.0,10.0,10.0,0.0,0.0,0.0,0.0,0.755685,0.6839189999999999,0.6870390000000001,1.73742
