date,mississippi_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,flu like symptoms,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,type b flu,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,flu cough,over the counter flu,contagious flu,flu mississippi,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,tamiflu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,type a flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu,target
2010-40,2.9098,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,43.0,0.0,43.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,22.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.97075
2010-41,2.97075,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,43.0,0.0,43.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,22.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.98141
2010-42,2.98141,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,43.0,0.0,43.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,22.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.14804
2010-43,3.14804,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,43.0,0.0,43.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,22.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.3557
2010-44,3.3557,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,43.0,0.0,43.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,22.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.93095
2010-45,3.93095,12.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,6.0,0.0,0.0,22.0,12.0,0.0,0.0,25.0,12.0,0.0,40.0,0.0,0.0,29.0,0.0,57.0,29.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,33.0,0.0,0.0,0.0,61.0,0.0,0.0,22.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,0.0,0.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.46575
2010-46,4.46575,12.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,6.0,0.0,0.0,22.0,12.0,0.0,0.0,25.0,12.0,0.0,40.0,0.0,0.0,29.0,0.0,57.0,29.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,33.0,0.0,0.0,0.0,61.0,0.0,0.0,22.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,0.0,0.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.8381099999999995
2010-47,4.8381099999999995,12.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,6.0,0.0,0.0,22.0,12.0,0.0,0.0,25.0,12.0,0.0,40.0,0.0,0.0,29.0,0.0,57.0,29.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,33.0,0.0,0.0,0.0,61.0,0.0,0.0,22.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,0.0,0.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.88509
2010-48,4.88509,12.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,6.0,0.0,0.0,22.0,12.0,0.0,0.0,25.0,12.0,0.0,40.0,0.0,0.0,29.0,0.0,57.0,29.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,33.0,0.0,0.0,0.0,61.0,0.0,0.0,22.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,0.0,0.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.33836
2010-49,5.33836,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,19.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,18.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,8.81573
