date,missouri_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,flu 2019,incubation period for flu,reduce a fever,flu missouri,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,flu shot walgreens,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,st louis flu,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,exposed to flu,free flu shots,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature,target
2010-40,1.10176,16.0,0.0,53.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,2.0,40.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,11.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,50.0,14.0,14.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,33.0,4.0,16.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,9.0,0.0,14.0,14.0,0.0,0.0,15.0,0.0,15.0,38.0,0.0,9.0,0.0,32.0,0.9305209999999999
2010-41,0.9305209999999999,16.0,0.0,53.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,2.0,40.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,11.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,50.0,14.0,14.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,33.0,4.0,16.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,9.0,0.0,14.0,14.0,0.0,0.0,15.0,0.0,15.0,38.0,0.0,9.0,0.0,32.0,0.9898899999999999
2010-42,0.9898899999999999,16.0,0.0,53.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,2.0,40.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,11.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,50.0,14.0,14.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,33.0,4.0,16.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,9.0,0.0,14.0,14.0,0.0,0.0,15.0,0.0,15.0,38.0,0.0,9.0,0.0,32.0,0.9597129999999999
2010-43,0.9597129999999999,16.0,0.0,53.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,2.0,40.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,11.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,50.0,14.0,14.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,33.0,4.0,16.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,9.0,0.0,14.0,14.0,0.0,0.0,15.0,0.0,15.0,38.0,0.0,9.0,0.0,32.0,1.1676799999999998
2010-44,1.1676799999999998,16.0,0.0,53.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,2.0,40.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,11.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,50.0,14.0,14.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,33.0,4.0,16.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,9.0,0.0,14.0,14.0,0.0,0.0,15.0,0.0,15.0,38.0,0.0,9.0,0.0,32.0,1.22374
2010-45,1.22374,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,6.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,12.0,14.0,28.0,14.0,21.0,2.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,31.0,62.0,16.0,0.0,0.0,0.0,16.0,21.0,0.0,21.0,0.0,0.0,0.0,18.0,22.0,8.0,78.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,9.0,13.0,0.0,0.0,28.0,0.0,14.0,15.0,0.0,30.0,0.0,18.0,0.0,0.0,36.0,1.20367
2010-46,1.20367,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,6.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,12.0,14.0,28.0,14.0,21.0,2.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,31.0,62.0,16.0,0.0,0.0,0.0,16.0,21.0,0.0,21.0,0.0,0.0,0.0,18.0,22.0,8.0,78.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,9.0,13.0,0.0,0.0,28.0,0.0,14.0,15.0,0.0,30.0,0.0,18.0,0.0,0.0,36.0,1.4140700000000002
2010-47,1.4140700000000002,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,6.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,12.0,14.0,28.0,14.0,21.0,2.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,31.0,62.0,16.0,0.0,0.0,0.0,16.0,21.0,0.0,21.0,0.0,0.0,0.0,18.0,22.0,8.0,78.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,9.0,13.0,0.0,0.0,28.0,0.0,14.0,15.0,0.0,30.0,0.0,18.0,0.0,0.0,36.0,1.56732
2010-48,1.56732,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,6.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,12.0,14.0,28.0,14.0,21.0,2.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,31.0,62.0,16.0,0.0,0.0,0.0,16.0,21.0,0.0,21.0,0.0,0.0,0.0,18.0,22.0,8.0,78.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,9.0,13.0,0.0,0.0,28.0,0.0,14.0,15.0,0.0,30.0,0.0,18.0,0.0,0.0,36.0,1.37036
2010-49,1.37036,5.0,0.0,0.0,44.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,12.0,1.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,19.0,32.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,15.0,3.0,37.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,49.0,1.41003
2010-50,1.41003,5.0,0.0,0.0,44.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,12.0,1.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,19.0,32.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,15.0,3.0,37.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,49.0,2.34292
2010-51,2.34292,5.0,0.0,0.0,44.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,12.0,1.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,19.0,32.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,15.0,3.0,37.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,49.0,2.6802900000000003
