date,new_jersey_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,nj flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu in nj,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,cold,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,fever,over the counter flu medicine,the flu symptoms,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,symptoms of bronchitis,what is the flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature,target_1,target_2,target_4,target_8
2010-40,2.31534,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,23.0,0.0,0.0,0.0,5.0,42.0,3.0,1.0,0.0,0.0,8.0,4.0,4.0,0.0,5.0,10.0,0.0,6.0,0.0,11.0,0.0,0.0,22.0,33.0,0.0,33.0,11.0,23.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,10.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,30.0,1.0,0.0,48.0,0.0,2.0,10.0,17.0,0.0,0.0,0.0,1.0,62.0,4.0,4.0,27.0,8.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,50.0,29.0,8.0,8.0,17.0,11.0,100.0,0.0,11.0,5.0,38.0,2.47836,2.24812,1.82877,2.6011599999999997
2010-41,2.47836,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,23.0,0.0,0.0,0.0,5.0,42.0,3.0,1.0,0.0,0.0,8.0,4.0,4.0,0.0,5.0,10.0,0.0,6.0,0.0,11.0,0.0,0.0,22.0,33.0,0.0,33.0,11.0,23.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,10.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,30.0,1.0,0.0,48.0,0.0,2.0,10.0,17.0,0.0,0.0,0.0,1.0,62.0,4.0,4.0,27.0,8.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,50.0,29.0,8.0,8.0,17.0,11.0,100.0,0.0,11.0,5.0,38.0,2.24812,2.7928599999999997,2.2031,2.65371
2010-42,2.24812,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,23.0,0.0,0.0,0.0,5.0,42.0,3.0,1.0,0.0,0.0,8.0,4.0,4.0,0.0,5.0,10.0,0.0,6.0,0.0,11.0,0.0,0.0,22.0,33.0,0.0,33.0,11.0,23.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,10.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,30.0,1.0,0.0,48.0,0.0,2.0,10.0,17.0,0.0,0.0,0.0,1.0,62.0,4.0,4.0,27.0,8.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,50.0,29.0,8.0,8.0,17.0,11.0,100.0,0.0,11.0,5.0,38.0,2.7928599999999997,1.82877,2.1371599999999997,3.20073
2010-43,2.7928599999999997,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,23.0,0.0,0.0,0.0,5.0,42.0,3.0,1.0,0.0,0.0,8.0,4.0,4.0,0.0,5.0,10.0,0.0,6.0,0.0,11.0,0.0,0.0,22.0,33.0,0.0,33.0,11.0,23.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,10.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,30.0,1.0,0.0,48.0,0.0,2.0,10.0,17.0,0.0,0.0,0.0,1.0,62.0,4.0,4.0,27.0,8.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,50.0,29.0,8.0,8.0,17.0,11.0,100.0,0.0,11.0,5.0,38.0,1.82877,2.2031,2.41758,4.6438
2010-44,1.82877,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,23.0,0.0,0.0,0.0,5.0,42.0,3.0,1.0,0.0,0.0,8.0,4.0,4.0,0.0,5.0,10.0,0.0,6.0,0.0,11.0,0.0,0.0,22.0,33.0,0.0,33.0,11.0,23.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,10.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,30.0,1.0,0.0,48.0,0.0,2.0,10.0,17.0,0.0,0.0,0.0,1.0,62.0,4.0,4.0,27.0,8.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,50.0,29.0,8.0,8.0,17.0,11.0,100.0,0.0,11.0,5.0,38.0,2.2031,2.1371599999999997,2.6011599999999997,4.9135800000000005
2010-45,2.2031,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,23.0,0.0,0.0,3.0,53.0,5.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,9.0,7.0,0.0,4.0,0.0,8.0,0.0,0.0,20.0,66.0,0.0,22.0,22.0,11.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,36.0,0.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,56.0,0.0,4.0,12.0,9.0,5.0,0.0,0.0,0.0,48.0,4.0,6.0,23.0,8.0,10.0,0.0,5.0,14.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,32.0,8.0,12.0,17.0,17.0,22.0,33.0,0.0,33.0,0.0,59.0,2.1371599999999997,2.41758,2.65371,3.9527099999999997
2010-46,2.1371599999999997,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,23.0,0.0,0.0,3.0,53.0,5.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,9.0,7.0,0.0,4.0,0.0,8.0,0.0,0.0,20.0,66.0,0.0,22.0,22.0,11.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,36.0,0.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,56.0,0.0,4.0,12.0,9.0,5.0,0.0,0.0,0.0,48.0,4.0,6.0,23.0,8.0,10.0,0.0,5.0,14.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,32.0,8.0,12.0,17.0,17.0,22.0,33.0,0.0,33.0,0.0,59.0,2.41758,2.6011599999999997,3.20073,4.97268
2010-47,2.41758,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,23.0,0.0,0.0,3.0,53.0,5.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,9.0,7.0,0.0,4.0,0.0,8.0,0.0,0.0,20.0,66.0,0.0,22.0,22.0,11.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,36.0,0.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,56.0,0.0,4.0,12.0,9.0,5.0,0.0,0.0,0.0,48.0,4.0,6.0,23.0,8.0,10.0,0.0,5.0,14.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,32.0,8.0,12.0,17.0,17.0,22.0,33.0,0.0,33.0,0.0,59.0,2.6011599999999997,2.65371,4.6438,5.12435
2010-48,2.6011599999999997,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,23.0,0.0,0.0,3.0,53.0,5.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,9.0,7.0,0.0,4.0,0.0,8.0,0.0,0.0,20.0,66.0,0.0,22.0,22.0,11.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,36.0,0.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,56.0,0.0,4.0,12.0,9.0,5.0,0.0,0.0,0.0,48.0,4.0,6.0,23.0,8.0,10.0,0.0,5.0,14.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,32.0,8.0,12.0,17.0,17.0,22.0,33.0,0.0,33.0,0.0,59.0,2.65371,3.20073,4.9135800000000005,5.902909999999999
2010-49,2.65371,7.0,0.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,9.0,2.0,2.0,0.0,4.0,0.0,0.0,13.0,65.0,9.0,17.0,0.0,4.0,0.0,0.0,0.0,33.0,16.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,14.0,7.0,4.0,0.0,0.0,1.0,55.0,0.0,15.0,13.0,5.0,4.0,0.0,8.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,7.0,13.0,10.0,0.0,0.0,0.0,9.0,0.0,55.0,3.20073,4.6438,3.9527099999999997,5.5993
