date,north_carolina_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,nc flu,how long does the flu last,flu virus,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,cdc flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature,target_1,target_2,target_4,target_8
2010-40,0.5314300000000001,12.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,3.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,8.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,6.0,6.0,0.0,23.0,12.0,0.0,0.0,7.0,48.0,0.5365300000000001,0.457107,0.649925,0.6577930000000001
2010-41,0.5365300000000001,12.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,3.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,8.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,6.0,6.0,0.0,23.0,12.0,0.0,0.0,7.0,48.0,0.457107,0.511163,0.476862,0.613611
2010-42,0.457107,12.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,3.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,8.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,6.0,6.0,0.0,23.0,12.0,0.0,0.0,7.0,48.0,0.511163,0.649925,0.48456899999999997,0.628731
2010-43,0.511163,12.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,3.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,8.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,6.0,6.0,0.0,23.0,12.0,0.0,0.0,7.0,48.0,0.649925,0.476862,0.63197,0.944729
2010-44,0.649925,12.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,3.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,8.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,6.0,6.0,0.0,23.0,12.0,0.0,0.0,7.0,48.0,0.476862,0.48456899999999997,0.6577930000000001,1.58986
2010-45,0.476862,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,46.0,3.0,3.0,0.0,1.0,8.0,6.0,0.0,6.0,0.0,9.0,13.0,0.0,0.0,13.0,0.0,0.0,21.0,0.0,0.0,18.0,17.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,51.0,17.0,0.0,17.0,0.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,33.0,4.0,10.0,16.0,0.0,7.0,0.0,0.0,5.0,0.0,10.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,7.0,54.0,0.0,6.0,3.0,0.0,31.0,25.0,0.0,8.0,0.0,51.0,0.48456899999999997,0.63197,0.613611,1.5266
2010-46,0.48456899999999997,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,46.0,3.0,3.0,0.0,1.0,8.0,6.0,0.0,6.0,0.0,9.0,13.0,0.0,0.0,13.0,0.0,0.0,21.0,0.0,0.0,18.0,17.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,51.0,17.0,0.0,17.0,0.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,33.0,4.0,10.0,16.0,0.0,7.0,0.0,0.0,5.0,0.0,10.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,7.0,54.0,0.0,6.0,3.0,0.0,31.0,25.0,0.0,8.0,0.0,51.0,0.63197,0.6577930000000001,0.628731,2.53445
2010-47,0.63197,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,46.0,3.0,3.0,0.0,1.0,8.0,6.0,0.0,6.0,0.0,9.0,13.0,0.0,0.0,13.0,0.0,0.0,21.0,0.0,0.0,18.0,17.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,51.0,17.0,0.0,17.0,0.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,33.0,4.0,10.0,16.0,0.0,7.0,0.0,0.0,5.0,0.0,10.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,7.0,54.0,0.0,6.0,3.0,0.0,31.0,25.0,0.0,8.0,0.0,51.0,0.6577930000000001,0.613611,0.944729,3.98145
2010-48,0.6577930000000001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,46.0,3.0,3.0,0.0,1.0,8.0,6.0,0.0,6.0,0.0,9.0,13.0,0.0,0.0,13.0,0.0,0.0,21.0,0.0,0.0,18.0,17.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,51.0,17.0,0.0,17.0,0.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,33.0,4.0,10.0,16.0,0.0,7.0,0.0,0.0,5.0,0.0,10.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,7.0,54.0,0.0,6.0,3.0,0.0,31.0,25.0,0.0,8.0,0.0,51.0,0.613611,0.628731,1.58986,4.8954900000000015
2010-49,0.613611,7.0,0.0,25.0,52.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,2.0,0.0,0.0,10.0,5.0,0.0,13.0,2.0,10.0,0.0,0.0,0.0,7.0,0.0,4.0,11.0,7.0,9.0,36.0,9.0,14.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,18.0,9.0,9.0,9.0,0.0,10.0,15.0,5.0,0.0,35.0,0.0,0.0,0.0,0.0,3.0,11.0,5.0,17.0,13.0,12.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,23.0,19.0,7.0,21.0,0.0,0.0,0.0,0.0,37.0,0.0,7.0,3.0,7.0,3.0,37.0,0.0,2.0,8.0,6.0,19.0,6.0,6.0,4.0,4.0,43.0,0.628731,0.944729,1.5266,5.62213
