date,north_dakota_flu,flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,flu treatment,man flu,is the flu contagious,flu shot,flu vs cold,flu symptoms 2018,human temperature,high fever,cold vs flu,dog flu,influenza symptoms,the flu virus,side effects of flu shot,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,taking temperature,keto flu,flu contagious,bronchitis,flu symptoms 2017,symptoms of bronchitis,oscillococcinum,flu medicine,flu shot side effects,body temperature,target
2010-40,0.671355,35.0,0.0,52.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,66.0,0.0,0.0,90.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,43.0,0.721961
2010-41,0.721961,35.0,0.0,52.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,66.0,0.0,0.0,90.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,43.0,0.567477
2010-42,0.567477,35.0,0.0,52.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,66.0,0.0,0.0,90.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,43.0,0.339239
2010-43,0.339239,35.0,0.0,52.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,66.0,0.0,0.0,90.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,43.0,0.713749
2010-44,0.713749,35.0,0.0,52.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,66.0,0.0,0.0,90.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,43.0,0.7581100000000001
2010-45,0.7581100000000001,39.0,0.0,31.0,0.0,0.0,100.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,89.0,0.0,0.0,23.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,100.0,0.0,17.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.0,0.0,0.0,100.0,0.0,0.0,43.0,0.644192
2010-46,0.644192,39.0,0.0,31.0,0.0,0.0,100.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,89.0,0.0,0.0,23.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,100.0,0.0,17.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.0,0.0,0.0,100.0,0.0,0.0,43.0,0.590551
2010-47,0.590551,39.0,0.0,31.0,0.0,0.0,100.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,89.0,0.0,0.0,23.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,100.0,0.0,17.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.0,0.0,0.0,100.0,0.0,0.0,43.0,0.347088
2010-48,0.347088,39.0,0.0,31.0,0.0,0.0,100.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,89.0,0.0,0.0,23.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,100.0,0.0,17.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.0,0.0,0.0,100.0,0.0,0.0,43.0,0.23753000000000002
2010-49,0.23753000000000002,7.0,0.0,59.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,57.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.0,0.317628
