date,ohio_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,flu ohio,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu and fever,flu care,flu in ohio,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,fever,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature,target_1,target_2,target_4,target_8
2010-40,0.22825700000000002,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,21.0,21.0,0.0,0.0,10.0,1.0,0.0,3.0,12.0,25.0,7.0,8.0,0.0,37.0,0.0,19.0,25.0,25.0,0.0,50.0,1.0,29.0,0.0,0.0,18.0,18.0,28.0,14.0,19.0,19.0,12.0,0.0,0.0,0.0,14.0,0.0,44.0,44.0,0.0,0.0,28.0,0.0,18.0,18.0,0.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,26.0,13.0,13.0,0.0,13.0,6.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,38.0,32.0,38.0,25.0,13.0,13.0,0.0,7.0,7.0,61.0,0.361628,0.52356,0.8317979999999999,0.349567
2010-41,0.361628,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,21.0,21.0,0.0,0.0,10.0,1.0,0.0,3.0,12.0,25.0,7.0,8.0,0.0,37.0,0.0,19.0,25.0,25.0,0.0,50.0,1.0,29.0,0.0,0.0,18.0,18.0,28.0,14.0,19.0,19.0,12.0,0.0,0.0,0.0,14.0,0.0,44.0,44.0,0.0,0.0,28.0,0.0,18.0,18.0,0.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,26.0,13.0,13.0,0.0,13.0,6.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,38.0,32.0,38.0,25.0,13.0,13.0,0.0,7.0,7.0,61.0,0.52356,0.329518,0.5180100000000001,0.342466
2010-42,0.52356,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,21.0,21.0,0.0,0.0,10.0,1.0,0.0,3.0,12.0,25.0,7.0,8.0,0.0,37.0,0.0,19.0,25.0,25.0,0.0,50.0,1.0,29.0,0.0,0.0,18.0,18.0,28.0,14.0,19.0,19.0,12.0,0.0,0.0,0.0,14.0,0.0,44.0,44.0,0.0,0.0,28.0,0.0,18.0,18.0,0.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,26.0,13.0,13.0,0.0,13.0,6.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,38.0,32.0,38.0,25.0,13.0,13.0,0.0,7.0,7.0,61.0,0.329518,0.8317979999999999,0.533199,0.446457
2010-43,0.329518,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,21.0,21.0,0.0,0.0,10.0,1.0,0.0,3.0,12.0,25.0,7.0,8.0,0.0,37.0,0.0,19.0,25.0,25.0,0.0,50.0,1.0,29.0,0.0,0.0,18.0,18.0,28.0,14.0,19.0,19.0,12.0,0.0,0.0,0.0,14.0,0.0,44.0,44.0,0.0,0.0,28.0,0.0,18.0,18.0,0.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,26.0,13.0,13.0,0.0,13.0,6.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,38.0,32.0,38.0,25.0,13.0,13.0,0.0,7.0,7.0,61.0,0.8317979999999999,0.5180100000000001,0.454502,0.598156
2010-44,0.8317979999999999,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,21.0,21.0,0.0,0.0,10.0,1.0,0.0,3.0,12.0,25.0,7.0,8.0,0.0,37.0,0.0,19.0,25.0,25.0,0.0,50.0,1.0,29.0,0.0,0.0,18.0,18.0,28.0,14.0,19.0,19.0,12.0,0.0,0.0,0.0,14.0,0.0,44.0,44.0,0.0,0.0,28.0,0.0,18.0,18.0,0.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,26.0,13.0,13.0,0.0,13.0,6.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,38.0,32.0,38.0,25.0,13.0,13.0,0.0,7.0,7.0,61.0,0.5180100000000001,0.533199,0.349567,0.721306
2010-45,0.5180100000000001,14.0,0.0,41.0,80.0,0.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,11.0,0.0,0.0,11.0,2.0,0.0,3.0,7.0,9.0,0.0,7.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,23.0,9.0,6.0,33.0,3.0,15.0,0.0,0.0,12.0,0.0,47.0,0.0,0.0,2.0,20.0,13.0,13.0,13.0,10.0,0.0,13.0,13.0,0.0,0.0,21.0,0.0,0.0,39.0,39.0,13.0,19.0,13.0,13.0,26.0,0.0,7.0,89.0,0.533199,0.454502,0.342466,0.914853
2010-46,0.533199,14.0,0.0,41.0,80.0,0.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,11.0,0.0,0.0,11.0,2.0,0.0,3.0,7.0,9.0,0.0,7.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,23.0,9.0,6.0,33.0,3.0,15.0,0.0,0.0,12.0,0.0,47.0,0.0,0.0,2.0,20.0,13.0,13.0,13.0,10.0,0.0,13.0,13.0,0.0,0.0,21.0,0.0,0.0,39.0,39.0,13.0,19.0,13.0,13.0,26.0,0.0,7.0,89.0,0.454502,0.349567,0.446457,1.17144
2010-47,0.454502,14.0,0.0,41.0,80.0,0.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,11.0,0.0,0.0,11.0,2.0,0.0,3.0,7.0,9.0,0.0,7.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,23.0,9.0,6.0,33.0,3.0,15.0,0.0,0.0,12.0,0.0,47.0,0.0,0.0,2.0,20.0,13.0,13.0,13.0,10.0,0.0,13.0,13.0,0.0,0.0,21.0,0.0,0.0,39.0,39.0,13.0,19.0,13.0,13.0,26.0,0.0,7.0,89.0,0.349567,0.342466,0.598156,1.6396400000000002
2010-48,0.349567,14.0,0.0,41.0,80.0,0.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,11.0,0.0,0.0,11.0,2.0,0.0,3.0,7.0,9.0,0.0,7.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,23.0,9.0,6.0,33.0,3.0,15.0,0.0,0.0,12.0,0.0,47.0,0.0,0.0,2.0,20.0,13.0,13.0,13.0,10.0,0.0,13.0,13.0,0.0,0.0,21.0,0.0,0.0,39.0,39.0,13.0,19.0,13.0,13.0,26.0,0.0,7.0,89.0,0.342466,0.446457,0.721306,2.40387
2010-49,0.342466,7.0,24.0,25.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,45.0,19.0,13.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,11.0,8.0,61.0,8.0,15.0,1.0,2.0,0.0,1.0,0.0,6.0,6.0,0.0,19.0,38.0,0.0,0.0,0.0,0.0,14.0,14.0,27.0,0.0,0.0,0.0,28.0,0.0,14.0,6.0,4.0,34.0,4.0,4.0,7.0,0.0,4.0,0.0,53.0,0.0,0.0,2.0,0.0,16.0,8.0,0.0,8.0,4.0,0.0,8.0,8.0,0.0,4.0,0.0,0.0,27.0,12.0,12.0,0.0,16.0,0.0,8.0,8.0,0.0,46.0,0.446457,0.598156,0.914853,3.4932
