date,pennsylvania_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,2018 flu,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,human temperature,high fever,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu pa,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,symptoms,signs of flu,the flu symptoms,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,treatment for flu,cdc flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature,target
2010-40,0.703292,18.0,0.0,0.0,0.0,47.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,52.0,0.0,20.0,40.0,0.0,0.0,6.0,25.0,0.0,6.0,11.0,6.0,0.0,0.0,0.0,84.0,0.0,7.0,14.0,7.0,0.0,0.0,8.0,6.0,0.0,18.0,6.0,18.0,6.0,4.0,0.0,49.0,0.0,19.0,28.0,19.0,19.0,21.0,43.0,0.0,0.0,0.0,86.0,0.910726
2010-41,0.910726,18.0,0.0,0.0,0.0,47.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,52.0,0.0,20.0,40.0,0.0,0.0,6.0,25.0,0.0,6.0,11.0,6.0,0.0,0.0,0.0,84.0,0.0,7.0,14.0,7.0,0.0,0.0,8.0,6.0,0.0,18.0,6.0,18.0,6.0,4.0,0.0,49.0,0.0,19.0,28.0,19.0,19.0,21.0,43.0,0.0,0.0,0.0,86.0,0.881081
2010-42,0.881081,18.0,0.0,0.0,0.0,47.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,52.0,0.0,20.0,40.0,0.0,0.0,6.0,25.0,0.0,6.0,11.0,6.0,0.0,0.0,0.0,84.0,0.0,7.0,14.0,7.0,0.0,0.0,8.0,6.0,0.0,18.0,6.0,18.0,6.0,4.0,0.0,49.0,0.0,19.0,28.0,19.0,19.0,21.0,43.0,0.0,0.0,0.0,86.0,0.72118
2010-43,0.72118,18.0,0.0,0.0,0.0,47.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,52.0,0.0,20.0,40.0,0.0,0.0,6.0,25.0,0.0,6.0,11.0,6.0,0.0,0.0,0.0,84.0,0.0,7.0,14.0,7.0,0.0,0.0,8.0,6.0,0.0,18.0,6.0,18.0,6.0,4.0,0.0,49.0,0.0,19.0,28.0,19.0,19.0,21.0,43.0,0.0,0.0,0.0,86.0,0.991455
2010-44,0.991455,18.0,0.0,0.0,0.0,47.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,52.0,0.0,20.0,40.0,0.0,0.0,6.0,25.0,0.0,6.0,11.0,6.0,0.0,0.0,0.0,84.0,0.0,7.0,14.0,7.0,0.0,0.0,8.0,6.0,0.0,18.0,6.0,18.0,6.0,4.0,0.0,49.0,0.0,19.0,28.0,19.0,19.0,21.0,43.0,0.0,0.0,0.0,86.0,1.03377
2010-45,1.03377,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,4.0,1.0,1.0,1.0,13.0,3.0,0.0,9.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,17.0,6.0,0.0,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,6.0,53.0,3.0,9.0,10.0,9.0,6.0,0.0,0.0,75.0,0.0,17.0,10.0,0.0,3.0,4.0,4.0,6.0,0.0,15.0,6.0,9.0,6.0,3.0,2.0,51.0,2.0,24.0,19.0,14.0,0.0,16.0,16.0,0.0,0.0,0.0,33.0,0.9463370000000001
2010-46,0.9463370000000001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,4.0,1.0,1.0,1.0,13.0,3.0,0.0,9.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,17.0,6.0,0.0,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,6.0,53.0,3.0,9.0,10.0,9.0,6.0,0.0,0.0,75.0,0.0,17.0,10.0,0.0,3.0,4.0,4.0,6.0,0.0,15.0,6.0,9.0,6.0,3.0,2.0,51.0,2.0,24.0,19.0,14.0,0.0,16.0,16.0,0.0,0.0,0.0,33.0,1.10846
2010-47,1.10846,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,4.0,1.0,1.0,1.0,13.0,3.0,0.0,9.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,17.0,6.0,0.0,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,6.0,53.0,3.0,9.0,10.0,9.0,6.0,0.0,0.0,75.0,0.0,17.0,10.0,0.0,3.0,4.0,4.0,6.0,0.0,15.0,6.0,9.0,6.0,3.0,2.0,51.0,2.0,24.0,19.0,14.0,0.0,16.0,16.0,0.0,0.0,0.0,33.0,1.20878
2010-48,1.20878,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,4.0,1.0,1.0,1.0,13.0,3.0,0.0,9.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,17.0,6.0,0.0,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,6.0,53.0,3.0,9.0,10.0,9.0,6.0,0.0,0.0,75.0,0.0,17.0,10.0,0.0,3.0,4.0,4.0,6.0,0.0,15.0,6.0,9.0,6.0,3.0,2.0,51.0,2.0,24.0,19.0,14.0,0.0,16.0,16.0,0.0,0.0,0.0,33.0,1.22407
2010-49,1.22407,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,44.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,3.0,13.0,3.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,11.0,0.0,5.0,0.0,19.0,7.0,3.0,10.0,2.0,0.0,0.0,0.0,77.0,0.0,8.0,18.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,7.0,7.0,2.0,0.0,47.0,0.0,32.0,19.0,5.0,0.0,9.0,0.0,6.0,0.0,0.0,68.0,1.3566799999999999
