date,washington_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,washington state flu,treat the flu,seattle flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,stomach flu symptoms,what is the flu,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature,target_1,target_2,target_4,target_8
2010-40,0.510041,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,35.0,0.0,5.0,0.0,0.0,0.0,47.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,25.0,13.0,13.0,0.0,0.0,0.0,9.0,9.0,29.0,7.0,29.0,0.0,4.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,38.0,0.0,5.0,0.0,9.0,0.0,0.0,12.0,41.0,4.0,10.0,0.0,0.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,52.0,0.0,0.0,26.0,20.0,0.0,0.0,61.0,0.0,5.0,18.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,50.0,1.04007,0.904393,0.78637,0.9817670000000001
2010-41,1.04007,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,35.0,0.0,5.0,0.0,0.0,0.0,47.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,25.0,13.0,13.0,0.0,0.0,0.0,9.0,9.0,29.0,7.0,29.0,0.0,4.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,38.0,0.0,5.0,0.0,9.0,0.0,0.0,12.0,41.0,4.0,10.0,0.0,0.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,52.0,0.0,0.0,26.0,20.0,0.0,0.0,61.0,0.0,5.0,18.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,50.0,0.904393,0.95511,1.06724,0.9646299999999999
2010-42,0.904393,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,35.0,0.0,5.0,0.0,0.0,0.0,47.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,25.0,13.0,13.0,0.0,0.0,0.0,9.0,9.0,29.0,7.0,29.0,0.0,4.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,38.0,0.0,5.0,0.0,9.0,0.0,0.0,12.0,41.0,4.0,10.0,0.0,0.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,52.0,0.0,0.0,26.0,20.0,0.0,0.0,61.0,0.0,5.0,18.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,50.0,0.95511,0.78637,1.33132,0.6475489999999999
2010-43,0.95511,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,35.0,0.0,5.0,0.0,0.0,0.0,47.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,25.0,13.0,13.0,0.0,0.0,0.0,9.0,9.0,29.0,7.0,29.0,0.0,4.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,38.0,0.0,5.0,0.0,9.0,0.0,0.0,12.0,41.0,4.0,10.0,0.0,0.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,52.0,0.0,0.0,26.0,20.0,0.0,0.0,61.0,0.0,5.0,18.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,50.0,0.78637,1.06724,1.87333,0.38709699999999997
2010-44,0.78637,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,35.0,0.0,5.0,0.0,0.0,0.0,47.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,25.0,13.0,13.0,0.0,0.0,0.0,9.0,9.0,29.0,7.0,29.0,0.0,4.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,38.0,0.0,5.0,0.0,9.0,0.0,0.0,12.0,41.0,4.0,10.0,0.0,0.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,52.0,0.0,0.0,26.0,20.0,0.0,0.0,61.0,0.0,5.0,18.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,50.0,1.06724,1.33132,0.9817670000000001,2.45902
2010-45,1.06724,16.0,50.0,0.0,100.0,0.0,7.0,0.0,0.0,2.0,16.0,0.0,5.0,0.0,0.0,0.0,59.0,5.0,2.0,0.0,1.0,13.0,5.0,0.0,15.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,7.0,7.0,0.0,14.0,0.0,0.0,35.0,17.0,0.0,0.0,11.0,33.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,38.0,0.0,5.0,9.0,9.0,0.0,46.0,9.0,34.0,11.0,10.0,10.0,20.0,10.0,0.0,77.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,48.0,0.0,0.0,26.0,0.0,13.0,0.0,52.0,0.0,8.0,34.0,17.0,17.0,52.0,35.0,0.0,0.0,0.0,45.0,1.33132,1.87333,0.9646299999999999,1.5224
2010-46,1.33132,16.0,50.0,0.0,100.0,0.0,7.0,0.0,0.0,2.0,16.0,0.0,5.0,0.0,0.0,0.0,59.0,5.0,2.0,0.0,1.0,13.0,5.0,0.0,15.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,7.0,7.0,0.0,14.0,0.0,0.0,35.0,17.0,0.0,0.0,11.0,33.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,38.0,0.0,5.0,9.0,9.0,0.0,46.0,9.0,34.0,11.0,10.0,10.0,20.0,10.0,0.0,77.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,48.0,0.0,0.0,26.0,0.0,13.0,0.0,52.0,0.0,8.0,34.0,17.0,17.0,52.0,35.0,0.0,0.0,0.0,45.0,1.87333,0.9817670000000001,0.6475489999999999,1.21906
2010-47,1.87333,16.0,50.0,0.0,100.0,0.0,7.0,0.0,0.0,2.0,16.0,0.0,5.0,0.0,0.0,0.0,59.0,5.0,2.0,0.0,1.0,13.0,5.0,0.0,15.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,7.0,7.0,0.0,14.0,0.0,0.0,35.0,17.0,0.0,0.0,11.0,33.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,38.0,0.0,5.0,9.0,9.0,0.0,46.0,9.0,34.0,11.0,10.0,10.0,20.0,10.0,0.0,77.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,48.0,0.0,0.0,26.0,0.0,13.0,0.0,52.0,0.0,8.0,34.0,17.0,17.0,52.0,35.0,0.0,0.0,0.0,45.0,0.9817670000000001,0.9646299999999999,0.38709699999999997,0.721046
2010-48,0.9817670000000001,16.0,50.0,0.0,100.0,0.0,7.0,0.0,0.0,2.0,16.0,0.0,5.0,0.0,0.0,0.0,59.0,5.0,2.0,0.0,1.0,13.0,5.0,0.0,15.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,7.0,7.0,0.0,14.0,0.0,0.0,35.0,17.0,0.0,0.0,11.0,33.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,38.0,0.0,5.0,9.0,9.0,0.0,46.0,9.0,34.0,11.0,10.0,10.0,20.0,10.0,0.0,77.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,48.0,0.0,0.0,26.0,0.0,13.0,0.0,52.0,0.0,8.0,34.0,17.0,17.0,52.0,35.0,0.0,0.0,0.0,45.0,0.9646299999999999,0.6475489999999999,2.45902,1.81388
2010-49,0.9646299999999999,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,0.6475489999999999,0.38709699999999997,1.5224,2.81109
