date,wyoming_flu,flu,bird flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,the flu,flu symptoms,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,is the flu contagious,flu vs cold,flu symptoms 2018,human temperature,high fever,spanish flu,cold vs flu,influenza symptoms,the flu virus,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,keto flu,flu contagious,bronchitis,oscillococcinum,flu medicine,body temperature,target
2010-40,0.632911,15.0,0.0,0.0,28.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,30.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,0.440621
2010-41,0.440621,15.0,0.0,0.0,28.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,30.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,0.44179799999999997
2010-42,0.44179799999999997,15.0,0.0,0.0,28.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,30.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,0.490305
2010-43,0.490305,15.0,0.0,0.0,28.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,30.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,0.5666359999999999
2010-44,0.5666359999999999,15.0,0.0,0.0,28.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,30.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,0.46333599999999997
2010-45,0.46333599999999997,10.0,0.0,0.0,17.0,47.0,0.0,0.0,12.0,13.0,47.0,0.0,0.0,0.0,0.0,33.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.744725
2010-46,0.744725,10.0,0.0,0.0,17.0,47.0,0.0,0.0,12.0,13.0,47.0,0.0,0.0,0.0,0.0,33.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.500147
2010-47,0.500147,10.0,0.0,0.0,17.0,47.0,0.0,0.0,12.0,13.0,47.0,0.0,0.0,0.0,0.0,33.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.593776
2010-48,0.593776,10.0,0.0,0.0,17.0,47.0,0.0,0.0,12.0,13.0,47.0,0.0,0.0,0.0,0.0,33.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.41832299999999994
2010-49,0.41832299999999994,8.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,43.0,0.0,0.0,0.0,61.0,0.0,100.0,0.0,0.0,72.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,90.0,20.0,0.0,0.0,0.0,0.311785
